id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 10996.3085957, 19627410411.1962, 0.339066, 0.917948, 18.2939, 2019-06-25T01:59:28, 1561427968000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 308.882861005, 8291635405.17573, -0.231442, -0.222439, 13.2241, 2019-06-25T01:59:16, 1561427956000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.4626688412, 1673886468.86916, -0.216995, -1.79457, 4.40927, 2019-06-25T01:59:02, 1561427942000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 135.386872395, 3948435298.31258, 0.52672, -1.64267, 1.01, 2019-06-25T01:59:02, 1561427942000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 471.627514521, 1905046950.44193, -0.161799, -1.43187, 9.51426, 2019-06-25T01:59:06, 1561427946000, 1h
null, EOS, EOS, USD, coinmarketcap, 7.18632733518, 2297269888.57564, 0.510144, -1.72758, 1.20878, 2019-06-25T01:59:04, 1561427944000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 37.2498849259, 331615317.237875, 0.256189, 0.0670638, 9.17537, 2019-06-25T01:59:05, 1561427945000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 235.066146578, 443460563.214084, 0.342012, -1.35622, 5.89493, 2019-06-25T01:59:11, 1561427951000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.0381735075235, 919525863.327476, -0.00696361, 1.75546, 12.9921, 2019-06-25T01:59:06, 1561427946000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.0967430589744, 137801953.447633, 0.298202, -0.0178456, 4.18596, 2019-06-25T01:59:04, 1561427944000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.126430945807, 384247957.561176, -0.432456, -1.72006, -2.92392, 2019-06-25T01:59:02, 1561427942000, 1h
null, Monero, XMR, USD, coinmarketcap, 117.057172044, 133051350.820733, -0.150231, 1.03528, 18.6492, 2019-06-25T01:59:02, 1561427942000, 1h
null, Dash, DASH, USD, coinmarketcap, 176.090651829, 345416720.724433, -0.0767339, 0.147411, 10.3994, 2019-06-25T01:59:02, 1561427942000, 1h
null, NEO, NEO, USD, coinmarketcap, 17.9237438481, 705168671.314857, 0.576972, 5.66696, 27.2436, 2019-06-25T01:59:03, 1561427943000, 1h
null, Cosmos, ATOM, USD, coinmarketcap, 6.61932711115, 59162281.3479769, 0.516395, -3.69734, -4.59826, 2019-06-25T01:59:12, 1561427952000, 1h
null, IOTA, MIOTA, USD, coinmarketcap, 0.453134149266, 21293352.0267213, 0.262723, -0.106812, 3.35927, 2019-06-25T01:59:03, 1561427943000, 1h
null, Ethereum Classic, ETC, USD, coinmarketcap, 9.26570268014, 780200269.220377, 0.218485, 0.0875619, 5.69866, 2019-06-25T01:59:03, 1561427943000, 1h
null, NEM, XEM, USD, coinmarketcap, 0.0906276947828, 30979402.4484056, 0.343439, -1.01743, 0.646634, 2019-06-25T01:59:02, 1561427942000, 1h
null, Ontology, ONT, USD, coinmarketcap, 1.57907847412, 149903880.174628, 0.427436, 1.62553, 3.61301, 2019-06-25T01:59:08, 1561427948000, 1h
null, Tezos, XTZ, USD, coinmarketcap, 1.15910027521, 5540630.94975096, 1.30968, -2.98172, -12.3046, 2019-06-25T01:59:04, 1561427944000, 1h
null, Zcash, ZEC, USD, coinmarketcap, 108.416930673, 392381060.898719, -0.366041, -1.92699, 6.40844, 2019-06-25T01:59:03, 1561427943000, 1h
null, Bitcoin Gold, BTG, USD, coinmarketcap, 30.3314433805, 18962056.8418873, -0.431633, -2.13232, 9.00772, 2019-06-25T01:59:06, 1561427946000, 1h
null, Dogecoin, DOGE, USD, coinmarketcap, 0.00338533526293, 43705363.3409527, 0.848261, 2.05586, 6.22815, 2019-06-25T01:59:01, 1561427941000, 1h
null, Qtum, QTUM, USD, coinmarketcap, 4.21610346685, 274408981.992059, 1.57948, 8.18456, 16.8079, 2019-06-25T01:59:04, 1561427944000, 1h
null, VeChain, VET, USD, coinmarketcap, 0.00698880163736, 72206587.5059502, 0.168377, -2.59497, -5.27597, 2019-06-25T01:59:10, 1561427950000, 1h
null, Decred, DCR, USD, coinmarketcap, 32.3735047116, 21290937.5959642, -1.55417, -2.0191, 10.8186, 2019-06-25T01:59:02, 1561427942000, 1h
null, Ravencoin, RVN, USD, coinmarketcap, 0.0654158145806, 36124721.4619858, -0.769317, 4.9847, 6.00745, 2019-06-25T01:59:08, 1561427948000, 1h
null, Lisk, LSK, USD, coinmarketcap, 2.09812562377, 10410487.2064248, -0.178553, 1.06383, -0.278129, 2019-06-25T01:59:02, 1561427942000, 1h
null, Bitcoin Diamond, BCD, USD, coinmarketcap, 1.30261398864, 7568542.90210454, 0.612239, -1.71083, -4.91503, 2019-06-25T01:59:05, 1561427945000, 1h
null, Waves, WAVES, USD, coinmarketcap, 2.35524688156, 16211839.6686885, -0.726046, -0.0830955, -3.50211, 2019-06-25T01:59:02, 1561427942000, 1h
null, Bytecoin, BCN, USD, coinmarketcap, 0.000998901253314, 51031.2682496511, -6.50288, -2.46054, -3.01681, 2019-06-25T01:59:01, 1561427941000, 1h
null, Nano, NANO, USD, coinmarketcap, 1.45612848103, 4866433.09290226, 0.177628, -2.85499, -6.74556, 2019-06-25T01:59:03, 1561427943000, 1h
null, BitShares, BTS, USD, coinmarketcap, 0.0703795447901, 15391976.9215753, 1.26737, 7.43069, 9.77773, 2019-06-25T01:59:01, 1561427941000, 1h
null, Bytom, BTM, USD, coinmarketcap, 0.187778455165, 31461659.6006054, 0.0154227, -2.47639, -7.59575, 2019-06-25T01:59:04, 1561427944000, 1h
null, HyperCash, HC, USD, coinmarketcap, 4.17300464973, 12956682.8223262, -0.960455, 11.6476, 43.2077, 2019-06-25T01:59:04, 1561427944000, 1h
null, MonaCoin, MONA, USD, coinmarketcap, 2.71121511255, 12142550.1789263, -0.392167, 1.15104, 18.5005, 2019-06-25T01:59:01, 1561427941000, 1h
null, DigiByte, DGB, USD, coinmarketcap, 0.0141409247839, 1225085.23772173, 0.526656, 0.715511, 10.8627, 2019-06-25T01:59:01, 1561427941000, 1h
null, ICON, ICX, USD, coinmarketcap, 0.344048214092, 9116218.6134718, 0.0208091, 1.38593, -5.85078, 2019-06-25T01:59:05, 1561427945000, 1h
null, Aeternity, AE, USD, coinmarketcap, 0.600521574645, 84177483.8930913, 1.21011, 15.9847, 12.1484, 2019-06-25T01:59:03, 1561427943000, 1h
null, Komodo, KMD, USD, coinmarketcap, 1.39475632099, 4007647.17911244, -0.732706, 2.36491, -14.5041, 2019-06-25T01:59:02, 1561427942000, 1h
null, Verge, XVG, USD, coinmarketcap, 0.00924586474331, 3396471.27486013, 0.0401959, -3.40909, -0.244113, 2019-06-25T01:59:02, 1561427942000, 1h
null, GXChain, GXC, USD, coinmarketcap, 2.40801449042, 49756404.8897989, -0.59353, -9.25902, 3.66553, 2019-06-25T01:59:03, 1561427943000, 1h
null, Metaverse ETP, ETP, USD, coinmarketcap, 1.90382664168, 28378086.0351666, -0.0766719, 3.7999, 0.653594, 2019-06-25T01:59:03, 1561427943000, 1h
null, Siacoin, SC, USD, coinmarketcap, 0.00320119375861, 2739052.00066894, 0.60151, 0.093814, 0.000457438, 2019-06-25T01:59:01, 1561427941000, 1h
