id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 2856041.494450647, 0, 0, 0, 2019-06-23T01:59:27, 1561255167000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.028897263992026086, 1005120.197011485, 0.6117, -1.5913, -5.0575, 2019-06-23T01:59:20, 1561255160000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.000044308044694053766, 338172.99150642304, -0.5604, 0.1704, -4.7451, 2019-06-23T01:59:04, 1561255144000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.01333964117354326, 517209.368672777, 0.0491, -3.3761, -13.9564, 2019-06-23T01:59:03, 1561255143000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.044729302272195286, 334726.225103937, -0.6895, 2.3658, -6.1375, 2019-06-23T01:59:05, 1561255145000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0006979388232145439, 343034.5973655441, -0.515, -1.0873, -10.3381, 2019-06-23T01:59:04, 1561255144000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.003599999846073544, 41135.675523887025, -0.2472, -6.6721, -2.7291, 2019-06-23T01:59:04, 1561255144000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.022446381455968615, 75053.02702506805, -0.965, 1.4501, -5.7334, 2019-06-23T01:59:09, 1561255149000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.000012175429836431874, 47053.23109529147, -1.1417, -1.6396, -14.7017, 2019-06-23T01:59:02, 1561255142000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000008894567650446264, 22997.336078830594, -0.8052, -0.57, -14.1317, 2019-06-23T01:59:04, 1561255144000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.0000034362448488577054, 88637.98016571377, -0.9942, 3.0472, -7.0783, 2019-06-23T01:59:05, 1561255145000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.01077150800283175, 13839.278062952666, 0.1058, -0.2717, 1.173, 2019-06-23T01:59:01, 1561255141000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.01648244370769296, 45637.81644494242, -0.8136, -1.0409, -6.0748, 2019-06-23T01:59:02, 1561255142000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.000044277188795865995, 3948.9857769603373, -0.4429, 4.5235, -10.4993, 2019-06-23T01:59:03, 1561255143000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.0006290314619102283, 7813.257110748967, 0.0215, -3.7625, -9.9304, 2019-06-23T01:59:10, 1561255150000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.0016348481628128148, 99138.32237137009, -1.5636, 17.1957, 3.3961, 2019-06-23T01:59:02, 1561255142000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.0008582155288141062, 104176.91632946409, -0.4291, -1.7973, -11.8632, 2019-06-23T01:59:02, 1561255142000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.000008660744530136668, 3135.049662936111, -0.1442, -1.5074, -10.3925, 2019-06-23T01:59:01, 1561255141000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.00011482068257329853, 945.4261285154372, 0.3142, -1.7475, -18.4579, 2019-06-23T01:59:04, 1561255144000, 1h
null, Ontology, ONT, BTC, coinmarketcap, 0.00014823639887370663, 25248.844782737222, -1.2177, 4.5978, -8.7156, 2019-06-23T01:59:06, 1561255146000, 1h
null, Zcash, ZEC, BTC, coinmarketcap, 0.010673150443271988, 68279.99884970076, 0.0638, -3.0153, 2.1788, 2019-06-23T01:59:03, 1561255143000, 1h
