id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 34.4851947886932, 59744999.93325955, -0.0166, 0.8829, 10.0491, 2019-06-20T08:59:24, 1561021164000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 21307293.225172184, 0, 0, 0, 2019-06-20T08:59:20, 1561021160000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.0016088140541939697, 4324454.835104368, -0.1868, 0.0877, 3.3174, 2019-06-20T08:59:04, 1561021144000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.5063308010282613, 16380735.93037365, 0.4363, 0.577, -2.8755, 2019-06-20T08:59:05, 1561021145000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.5417023310501115, 4736121.706238819, 0.0543, -0.2717, 0.0096, 2019-06-20T08:59:04, 1561021144000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.025467955154516227, 6003995.41579082, 0.1533, -0.2744, 1.262, 2019-06-20T08:59:05, 1561021145000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.12838293548220014, 1853139.6330814464, -0.3454, -2.1425, -5.5283, 2019-06-20T08:59:03, 1561021143000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.8347539538132703, 1038046.4166395632, 0.0949, 0.077, 8.0619, 2019-06-20T08:59:08, 1561021148000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.00045728519152607867, 1056871.5483379532, -0.3599, -2.2021, -6.0047, 2019-06-20T08:59:02, 1561021142000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.0003292617759807248, 502283.86349567166, -0.1893, -2.2549, -8.8945, 2019-06-20T08:59:03, 1561021143000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.0001240222705770583, 1988078.2494730712, -0.1409, 0.0756, -3.5105, 2019-06-20T08:59:04, 1561021144000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.37680864079369114, 569275.8692634784, 0.5618, 2.264, 7.7686, 2019-06-20T08:59:01, 1561021141000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.5962956822195881, 1012060.8296736929, -0.3795, 0.4238, -1.1726, 2019-06-20T08:59:02, 1561021142000, 1h
null, Cosmos, ATOM, ETH, coinmarketcap, 0.024447949846202976, 165511.9296739265, 0.2965, -2.9398, 3.4678, 2019-06-20T08:59:08, 1561021148000, 1h
null, IOTA, MIOTA, ETH, coinmarketcap, 0.00160984925364417, 150572.45987517576, -0.0038, -0.3918, -4.2906, 2019-06-20T08:59:02, 1561021142000, 1h
null, NEO, NEO, ETH, coinmarketcap, 0.05032105022973724, 1313406.8630919403, -0.3675, -2.7831, 0.5888, 2019-06-20T08:59:03, 1561021143000, 1h
null, Ethereum Classic, ETC, ETH, coinmarketcap, 0.03144738941597611, 2205850.099401774, -0.0534, -0.8962, -4.4792, 2019-06-20T08:59:03, 1561021143000, 1h
null, NEM, XEM, ETH, coinmarketcap, 0.00032339552160944816, 59967.76224730675, 0.1251, -0.5877, -2.5832, 2019-06-20T08:59:01, 1561021141000, 1h
null, Tezos, XTZ, ETH, coinmarketcap, 0.00439582185740517, 25941.18992583217, -0.1457, -4.4119, -10.1651, 2019-06-20T08:59:03, 1561021143000, 1h
null, Zcash, ZEC, ETH, coinmarketcap, 0.4010610825909058, 1263885.2928666861, 0.3037, -5.3293, 17.5621, 2019-06-20T08:59:02, 1561021142000, 1h
null, Ontology, ONT, ETH, coinmarketcap, 0.005406042870641012, 532550.4605928385, 0.7952, 0.3032, -1.2384, 2019-06-20T08:59:05, 1561021145000, 1h
null, Bitcoin Gold, BTG, ETH, coinmarketcap, 0.10328212280267877, 75339.45270792281, 1.4321, 3.8299, 1.9794, 2019-06-20T08:59:03, 1561021143000, 1h
null, VeChain, VET, ETH, coinmarketcap, 0.00002692025808980738, 73083.67760393875, 0.4209, -2.2122, -7.9872, 2019-06-20T08:59:06, 1561021146000, 1h
null, Dogecoin, DOGE, ETH, coinmarketcap, 0.000011769603190576484, 127705.16959682631, 0.4741, 0.885, -0.1544, 2019-06-20T08:59:02, 1561021142000, 1h
null, Qtum, QTUM, ETH, coinmarketcap, 0.01303722899357251, 753993.535682371, -1.2026, -4.9255, 5.2617, 2019-06-20T08:59:03, 1561021143000, 1h
null, Decred, DCR, ETH, coinmarketcap, 0.10277581207196648, 9013.029071552593, -1.3491, -3.3862, -5.6021, 2019-06-20T08:59:01, 1561021141000, 1h
null, Lisk, LSK, ETH, coinmarketcap, 0.007675816525065839, 29557.108919462058, -0.4872, -1.3399, -4.5973, 2019-06-20T08:59:02, 1561021142000, 1h
null, Waves, WAVES, ETH, coinmarketcap, 0.009028562052650338, 58463.41593094141, -0.009, 1.0489, -4.7019, 2019-06-20T08:59:02, 1561021142000, 1h
null, Bitcoin Diamond, BCD, ETH, coinmarketcap, 0.004730456977985901, 14204.359815120351, -0.3158, -1.7164, -0.5953, 2019-06-20T08:59:03, 1561021143000, 1h
null, Ravencoin, RVN, ETH, coinmarketcap, 0.0002318168685936526, 75433.65247209836, -0.5074, -3.5549, -7.6541, 2019-06-20T08:59:05, 1561021145000, 1h
null, Nano, NANO, ETH, coinmarketcap, 0.005680771921201921, 23158.608861677898, 0.5014, 0.2567, -9.4881, 2019-06-20T08:59:02, 1561021142000, 1h
null, Bytom, BTM, ETH, coinmarketcap, 0.0006955038932853668, 42940.47896200589, -0.6665, -2.4834, 24.4052, 2019-06-20T08:59:02, 1561021142000, 1h
null, Bytecoin, BCN, ETH, coinmarketcap, 0.0000037564550373545585, 236.38874054265892, 0.1032, -2.5133, 3.2313, 2019-06-20T08:59:01, 1561021141000, 1h
null, DigiByte, DGB, ETH, coinmarketcap, 0.000055422947734179525, 12037.655480542993, -1.6094, 8.5022, 15.4228, 2019-06-20T08:59:01, 1561021141000, 1h
null, ICON, ICX, ETH, coinmarketcap, 0.0013492553317902304, 33094.774985866214, 0.3182, 0.0126, -10.9607, 2019-06-20T08:59:03, 1561021143000, 1h
null, Komodo, KMD, ETH, coinmarketcap, 0.0055211046199377485, 11515.83441112648, 0.1658, -5.9311, -13.1942, 2019-06-20T08:59:02, 1561021142000, 1h
