id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 2087949.1985969038, 0, 0, 0, 2019-06-21T21:59:24, 1561154364000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.029598193501662005, 936054.8919038426, 1.2223, 3.9025, -3.0874, 2019-06-21T21:59:21, 1561154361000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.00004460517878820068, 162208.28374191865, -0.0708, -1.8358, -5.1271, 2019-06-21T21:59:05, 1561154345000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.013902000128689071, 443243.2723985272, -0.1536, -2.3921, -9.639, 2019-06-21T21:59:06, 1561154346000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.04370342290477593, 185585.17150958508, -0.1924, -0.0895, -9.8261, 2019-06-21T21:59:04, 1561154344000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0007096654638272403, 242251.50921605082, -0.0534, -1.045, -7.0476, 2019-06-21T21:59:05, 1561154345000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0038398398143420134, 44670.77324637997, -0.1997, -0.6149, 0.3539, 2019-06-21T21:59:04, 1561154344000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.022238773366065764, 49481.27181598028, -0.1011, -2.4641, -10.5043, 2019-06-21T21:59:10, 1561154350000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.00001249915979677966, 28286.997389686338, 0.0441, -3.4069, -13.9804, 2019-06-21T21:59:03, 1561154343000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.00000902310128357207, 14789.170978408896, -0.1434, -3.043, -13.0457, 2019-06-21T21:59:04, 1561154344000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.000003361385390748515, 57044.42603452845, -0.1087, -2.8975, -10.432, 2019-06-21T21:59:06, 1561154346000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010888551599106587, 15496.215542424588, -0.3065, -2.2911, 4.2347, 2019-06-21T21:59:02, 1561154342000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.01670229323515988, 31294.88484650433, 0.2695, -1.8788, -6.7981, 2019-06-21T21:59:02, 1561154342000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.0006509993144960076, 6932.518618624803, -0.1195, -3.892, -9.4032, 2019-06-21T21:59:10, 1561154350000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.00004292880204772788, 2814.84460823664, -0.1887, -3.5772, -14.6792, 2019-06-21T21:59:03, 1561154343000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.0014053255828365835, 43151.00953175249, 0.1026, -0.8927, -8.0691, 2019-06-21T21:59:03, 1561154343000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.000875992802136042, 82709.53851025594, 0.411, -2.1402, -11.5534, 2019-06-21T21:59:03, 1561154343000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.000008825905170741598, 3025.226542612477, -0.1058, -2.5013, -11.0666, 2019-06-21T21:59:02, 1561154342000, 1h
null, Zcash, ZEC, BTC, coinmarketcap, 0.01118174363046104, 50432.5716006913, -0.7034, -3.5198, 6.2905, 2019-06-21T21:59:03, 1561154343000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.00011556246072368018, 907.0486108641348, 0.0021, -4.1478, -20.1784, 2019-06-21T21:59:04, 1561154344000, 1h
null, Ontology, ONT, BTC, coinmarketcap, 0.00014316909736550933, 17383.45853323535, 0.3897, -2.7694, -13.0057, 2019-06-21T21:59:09, 1561154349000, 1h
null, Bitcoin Gold, BTG, BTC, coinmarketcap, 0.002875116193199569, 1960.7431856967144, -0.2027, -4.0821, -8.5996, 2019-06-21T21:59:04, 1561154344000, 1h
null, VeChain, VET, BTC, coinmarketcap, 7.014485161343299E-7, 3107.3930736747275, -0.2556, -4.5506, -18.2452, 2019-06-21T21:59:09, 1561154349000, 1h
null, Dogecoin, DOGE, BTC, coinmarketcap, 3.2021552611921556E-7, 4297.694181195386, -0.7083, -4.0591, -11.9644, 2019-06-21T21:59:03, 1561154343000, 1h
null, Qtum, QTUM, BTC, coinmarketcap, 0.00035810556532152646, 22364.276833662505, -0.0277, -2.0242, -9.3364, 2019-06-21T21:59:04, 1561154344000, 1h
