id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 34.256510385442404, 82287143.10114783, 0.453, -2.0207, 2.555, 2019-06-23T09:59:29, 1561283969000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 30392813.671457566, 0, 0, 0, 2019-06-23T09:59:17, 1561283957000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.0015296063090747979, 10826831.949346364, 0.3042, 2.6111, -0.3655, 2019-06-23T09:59:04, 1561283944000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.45144886514618926, 15709096.172425479, 0.5686, -2.0807, -10.005, 2019-06-23T09:59:06, 1561283946000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.5591256044529005, 11432861.024786605, -0.2356, 7.0923, -1.2954, 2019-06-23T09:59:04, 1561283944000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.023851539604063453, 10016674.794192972, 0.0412, 0.5378, -7.4885, 2019-06-23T09:59:03, 1561283943000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.12052385073866509, 1182267.909932568, -0.0657, -4.9527, -0.3669, 2019-06-23T09:59:03, 1561283943000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.7731836514955828, 2401294.60254723, 0.306, 5.235, -1.1696, 2019-06-23T09:59:07, 1561283947000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.00041595792354065736, 1738593.070410586, -0.4776, 0.3123, -11.7711, 2019-06-23T09:59:02, 1561283942000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.0003107336679666743, 862686.3980157619, -0.5436, 4.4811, -8.2235, 2019-06-23T09:59:03, 1561283943000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.0001177123435467705, 2830081.6775150946, 0.4776, 4.0942, -3.0483, 2019-06-23T09:59:05, 1561283945000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.3714595305316608, 422195.3808275681, 0.49, 0.3091, 5.855, 2019-06-23T09:59:01, 1561283941000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.5619561637958506, 1364366.2252839883, 0.1961, -2.2232, -3.2038, 2019-06-23T09:59:02, 1561283942000, 1h
null, Cosmos, ATOM, ETH, coinmarketcap, 0.02278836156127055, 225150.0763678359, 1.8231, 4.6237, -0.8539, 2019-06-23T09:59:07, 1561283947000, 1h
null, IOTA, MIOTA, ETH, coinmarketcap, 0.001502293332082578, 122101.52809435016, 0.2308, 4.3597, -8.9936, 2019-06-23T09:59:02, 1561283942000, 1h
null, NEO, NEO, ETH, coinmarketcap, 0.056948382509544995, 3586877.554343176, -1.572, 19.9156, 9.7836, 2019-06-23T09:59:02, 1561283942000, 1h
null, Ethereum Classic, ETC, ETH, coinmarketcap, 0.029666574723481377, 3327498.4817893226, 0.4105, 1.6257, -7.1673, 2019-06-23T09:59:03, 1561283943000, 1h
null, NEM, XEM, ETH, coinmarketcap, 0.0002977513715832431, 106229.00099266002, 0.5715, 2.231, -6.8692, 2019-06-23T09:59:02, 1561283942000, 1h
null, Tezos, XTZ, ETH, coinmarketcap, 0.003935712085310004, 30968.23767323752, 0.4361, 3.2381, -15.4806, 2019-06-23T09:59:02, 1561283942000, 1h
null, Ontology, ONT, ETH, coinmarketcap, 0.00516057264422038, 785495.4973481251, 0.0781, 7.3423, -3.2598, 2019-06-23T09:59:04, 1561283944000, 1h
null, Zcash, ZEC, ETH, coinmarketcap, 0.36356694004530316, 1928495.4003872187, 0.4814, -1.1827, 6.4425, 2019-06-23T09:59:02, 1561283942000, 1h
null, Bitcoin Gold, BTG, ETH, coinmarketcap, 0.09842401536944574, 98528.75602817429, 1.3852, 1.6237, -1.9469, 2019-06-23T09:59:03, 1561283943000, 1h
null, VeChain, VET, ETH, coinmarketcap, 0.00002290475972959268, 175113.5603610434, 0.9055, 4.3989, -14.3568, 2019-06-23T09:59:05, 1561283945000, 1h
null, Dogecoin, DOGE, ETH, coinmarketcap, 0.000010494823860298133, 158525.32489664285, 0.4506, -1.6239, -11.0217, 2019-06-23T09:59:03, 1561283943000, 1h
null, Qtum, QTUM, ETH, coinmarketcap, 0.012778140181322438, 1067819.237559979, 0.6446, 6.92, -2.2812, 2019-06-23T09:59:03, 1561283943000, 1h
null, Decred, DCR, ETH, coinmarketcap, 0.10021463428102464, 175994.7310116268, 1.9432, 3.0095, -5.0811, 2019-06-23T09:59:01, 1561283941000, 1h
null, Lisk, LSK, ETH, coinmarketcap, 0.0069245774057758265, 39537.248707876504, 0.1918, 1.6726, -11.1621, 2019-06-23T09:59:01, 1561283941000, 1h
null, Bitcoin Diamond, BCD, ETH, coinmarketcap, 0.004352240669977024, 51251.45491245334, 0.1379, 1.6782, -4.7651, 2019-06-23T09:59:02, 1561283942000, 1h
null, Ravencoin, RVN, ETH, coinmarketcap, 0.00020421064880534064, 98570.72108416735, -0.3791, 2.8978, -9.8571, 2019-06-23T09:59:05, 1561283945000, 1h
null, Waves, WAVES, ETH, coinmarketcap, 0.0077287561625541314, 72477.49592327212, 0.3197, 0.2119, -12.5382, 2019-06-23T09:59:02, 1561283942000, 1h
null, Nano, NANO, ETH, coinmarketcap, 0.005033100594593043, 31241.39637555002, 0.3686, 5.8961, -13.1633, 2019-06-23T09:59:02, 1561283942000, 1h
null, Bytom, BTM, ETH, coinmarketcap, 0.0006381490168576521, 102531.94346974535, 0.8169, 6.3681, 0.2537, 2019-06-23T09:59:02, 1561283942000, 1h
null, Bytecoin, BCN, ETH, coinmarketcap, 0.0000033748532553975456, 337.8093774386246, 2.9521, -1.6528, -7.0683, 2019-06-23T09:59, 1561283940000, 1h
null, BitShares, BTS, ETH, coinmarketcap, 0.00021097607279956613, 27662.600876349552, 0.9953, 0.3504, -10.3607, 2019-06-23T09:59:01, 1561283941000, 1h
null, DigiByte, DGB, ETH, coinmarketcap, 0.000046286479396001734, 5999.881714336111, -0.0286, 0.4237, -1.8007, 2019-06-23T09:59:01, 1561283941000, 1h
null, MonaCoin, MONA, ETH, coinmarketcap, 0.00835435243769171, 96164.72118598907, 1.382, -6.4683, 14.0641, 2019-06-23T09:59, 1561283940000, 1h
null, Komodo, KMD, ETH, coinmarketcap, 0.004655054934074512, 24056.025813930253, 0.9466, 2.4965, -20.1346, 2019-06-23T09:59:01, 1561283941000, 1h
null, ICON, ICX, ETH, coinmarketcap, 0.001124600536944037, 51159.288705008716, -0.3518, 3.0416, -18.5326, 2019-06-23T09:59:03, 1561283943000, 1h
null, HyperCash, HC, ETH, coinmarketcap, 0.012061366251237214, 61762.19188343717, 0.4737, 10.6381, 22.4701, 2019-06-23T09:59:02, 1561283942000, 1h
null, GXChain, GXC, ETH, coinmarketcap, 0.008572400804130178, 126159.43677698674, -0.3409, 15.6023, -1.322, 2019-06-23T09:59:02, 1561283942000, 1h
null, Verge, XVG, ETH, coinmarketcap, 0.00003053064856137173, 11171.153661870643, 2.1308, 4.1026, -10.1573, 2019-06-23T09:59:01, 1561283941000, 1h
null, Aeternity, AE, ETH, coinmarketcap, 0.0016882665596426995, 152719.28803947507, 1.5284, 0.669, -13.7626, 2019-06-23T09:59:02, 1561283942000, 1h
null, Metaverse ETP, ETP, ETH, coinmarketcap, 0.005940808673277, 125817.2758070343, -0.7285, -7.5411, -14.4846, 2019-06-23T09:59:02, 1561283942000, 1h
null, Siacoin, SC, ETH, coinmarketcap, 0.000010451464089838155, 14931.082774967492, 0.4031, 2.377, -12.6503, 2019-06-23T09:59:01, 1561283941000, 1h
null, Steem, STEEM, ETH, coinmarketcap, 0.0013116305295782717, 8011.402151835189, 0.5071, 2.7146, -13.2125, 2019-06-23T09:59:01, 1561283941000, 1h
null, Ardor, ARDR, ETH, coinmarketcap, 0.00038269706699214614, 8163.145196989756, 0.5899, -3.1056, 0.2605, 2019-06-23T09:59:01, 1561283941000, 1h
null, ABBC Coin, ABBC, ETH, coinmarketcap, 0.0007525822737449646, 168448.89688864446, -2.3237, 16.8618, 5.1981, 2019-06-23T09:59:07, 1561283947000, 1h
null, THETA, THETA, ETH, coinmarketcap, 0.0004280258708861211, 17115.603079761804, 2.2129, 4.9927, -9.8408, 2019-06-23T09:59:03, 1561283943000, 1h
null, Zcoin, XZC, ETH, coinmarketcap, 0.04387304846345009, 18322.9107833727, 6.6781, 4.7364, 1.3009, 2019-06-23T09:59:01, 1561283941000, 1h
null, Stratis, STRAT, ETH, coinmarketcap, 0.003106961745948948, 10106.977820661443, 1.1153, 3.8356, -19.7579, 2019-06-23T09:59:01, 1561283941000, 1h
null, Energi, NRG, ETH, coinmarketcap, 0.017335478585193027, 2513.1225003689747, 2.0264, 9.0297, 14.5218, 2019-06-23T09:59:06, 1561283946000, 1h
