id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 1915284.4113581933, 0, 0, 0, 2019-06-24T00:59:25, 1561337965000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.02826346028870753, 740557.1218713359, -0.7479, -1.7738, -5.092, 2019-06-24T00:59:20, 1561337960000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.00004332355399728844, 193640.2182651012, -0.1043, -2.6912, -8.0679, 2019-06-24T00:59:05, 1561337945000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.012635174532984008, 367555.97665813565, -0.1753, -5.1205, -15.9835, 2019-06-24T00:59:04, 1561337944000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.044096090975203596, 213539.2269674008, -0.0713, -1.7775, -6.7617, 2019-06-24T00:59:04, 1561337944000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.000673227344144411, 222912.59301661572, 0.3553, -3.8908, -12.951, 2019-06-24T00:59:03, 1561337943000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0033957327967814614, 34166.619329536254, 0.6265, -5.6717, -5.0777, 2019-06-24T00:59:02, 1561337942000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.021710510979031088, 43322.00506287634, -0.0275, -3.4982, -7.2433, 2019-06-24T00:59:07, 1561337947000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000008836716168712505, 22531.650079640007, 0.0592, -0.9555, -13.1313, 2019-06-24T00:59:02, 1561337942000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.00001182497411971909, 36255.79167530992, 0.3364, -3.1271, -17.2276, 2019-06-24T00:59:02, 1561337942000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.0000034293656338728445, 74332.0186268462, 0.5506, -0.7838, -6.0863, 2019-06-24T00:59:04, 1561337944000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010654853158222646, 12253.093196955124, -0.8042, -0.8239, 0.2938, 2019-06-24T00:59:02, 1561337942000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.016133042639318654, 34761.89030759783, 0.0381, -2.5872, -7.0343, 2019-06-24T00:59:02, 1561337942000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.000631395496733235, 6216.222880603951, 0.9479, 0.6725, -12.1732, 2019-06-24T00:59:07, 1561337947000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.00004174228766894379, 2544.7161466045523, -0.7411, -4.9205, -15.744, 2019-06-24T00:59:02, 1561337942000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.0015620349106161985, 67703.74117208699, 1.515, -4.9708, 0.1635, 2019-06-24T00:59:03, 1561337943000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.0008485251837716791, 88090.74206649666, -0.5738, -1.1334, -11.9963, 2019-06-24T00:59:03, 1561337943000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.000008395557233622929, 3129.259574433452, 0.7312, -2.9441, -13.9451, 2019-06-24T00:59:01, 1561337941000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.00010923606074741962, 478.49520106224224, 1.3104, -4.5291, -23.0861, 2019-06-24T00:59:03, 1561337943000, 1h
