id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 1847439.9735941482, 0, 0, 0, 2019-06-25T09:59:29, 1561456769000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.0276653269495446, 741887.6403739353, -0.2717, -2.7121, -5.5486, 2019-06-25T09:59:19, 1561456759000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.000041330694551958745, 135310.11776228418, -0.3948, -3.3051, -14.0121, 2019-06-25T09:59:03, 1561456743000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.042394199924110164, 163888.48929400154, -0.7921, -3.2306, -7.4946, 2019-06-25T09:59:06, 1561456746000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.011976132495415744, 363448.30472054455, -0.4227, -4.8621, -16.4392, 2019-06-25T09:59:02, 1561456742000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0006412557416064762, 196302.3763372421, -0.2931, -3.6545, -15.6087, 2019-06-25T09:59:05, 1561456745000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0032355841511439057, 30211.30285176679, 0.2736, -5.8987, -13.7253, 2019-06-25T09:59:05, 1561456745000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.02108630123810911, 36526.63187442653, -1.2057, -4.3609, -12.7215, 2019-06-25T09:59:11, 1561456751000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.000003481309699582557, 89433.2407609827, -1.3694, -2.6412, -3.8002, 2019-06-25T09:59:05, 1561456745000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000008556517622668007, 12734.550050266907, 0.0688, -3.3566, -13.5504, 2019-06-25T09:59:05, 1561456745000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.00001130616971612903, 36568.69717432917, -0.242, -4.117, -19.0286, 2019-06-25T09:59:02, 1561456742000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010215454621960504, 12149.461910812273, -0.1182, -4.5569, -3.8444, 2019-06-25T09:59:02, 1561456742000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.015674919296882427, 29029.190270564963, -0.1303, -3.0852, -9.1017, 2019-06-25T09:59:03, 1561456743000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.00003989353117504059, 2188.4578668521367, -0.4868, -4.8321, -15.543, 2019-06-25T09:59:04, 1561456744000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.0015632278309781807, 58337.1324586932, -0.5266, -3.7987, 4.5745, 2019-06-25T09:59:03, 1561456743000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.0005773182816357215, 5452.344365062165, -0.3689, -7.1971, -21.4153, 2019-06-25T09:59:11, 1561456751000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.000811913030541601, 68329.70364842059, -0.1185, -4.0421, -13.4982, 2019-06-25T09:59:03, 1561456743000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.000008134699650224772, 2415.9410736258183, -0.2655, -2.9337, -14.7469, 2019-06-25T09:59:02, 1561456742000, 1h
null, Ontology, ONT, BTC, coinmarketcap, 0.0001405948076851738, 14550.281673644015, -1.4583, -1.3787, -12.7046, 2019-06-25T09:59:07, 1561456747000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.00010193885121108338, 526.16862429992, -0.4357, -6.7999, -27.4588, 2019-06-25T09:59:05, 1561456745000, 1h
null, Zcash, ZEC, BTC, coinmarketcap, 0.009481027990730239, 29386.036620495463, -0.324, -5.4858, -16.4101, 2019-06-25T09:59:04, 1561456744000, 1h
null, VeChain, VET, BTC, coinmarketcap, 8.900826195742701E-7, 17573.075998535507, 6.6249, 33.1955, 12.8824, 2019-06-25T09:59:09, 1561456749000, 1h
null, Bitcoin Gold, BTG, BTC, coinmarketcap, 0.0026806404779530094, 1628.405512273772, -0.4177, -4.6437, -10.0243, 2019-06-25T09:59:05, 1561456745000, 1h
null, Dogecoin, DOGE, BTC, coinmarketcap, 2.9849700842717706E-7, 3663.425096650618, -0.0618, -2.2332, -12.9961, 2019-06-25T09:59:03, 1561456743000, 1h
null, Qtum, QTUM, BTC, coinmarketcap, 0.0003697257662181254, 23601.91096285438, -2.2086, 3.2461, -4.6323, 2019-06-25T09:59:05, 1561456745000, 1h
null, Decred, DCR, BTC, coinmarketcap, 0.0027972506855569535, 1599.05776308005, -0.1932, -8.0593, -11.8645, 2019-06-25T09:59:03, 1561456743000, 1h
null, Lisk, LSK, BTC, coinmarketcap, 0.0001843915381354158, 891.6659531131828, -0.7649, -5.1233, -17.6934, 2019-06-25T09:59:03, 1561456743000, 1h
null, Bitcoin Diamond, BCD, BTC, coinmarketcap, 0.0001165645619812126, 706.0988500130636, 0.0749, -3.9057, -19.0626, 2019-06-25T09:59:05, 1561456745000, 1h
null, Ravencoin, RVN, BTC, coinmarketcap, 0.0000056338142612108495, 2446.417318792867, 1.5797, -8.364, -14.6279, 2019-06-25T09:59:07, 1561456747000, 1h
