id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 36.44654286462639, 69269096.24401835, 0.2024, 3.4624, 6.8671, 2019-06-25T14:59:24, 1561474764000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 27429150.835076697, 0, 0, 0, 2019-06-25T14:59:17, 1561474757000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.0014985865658452735, 5172147.778244783, 0.057, -0.1871, -7.9862, 2019-06-25T14:59:05, 1561474745000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.516670007689693, 6294130.067260867, -0.3251, -0.8037, -2.3191, 2019-06-25T14:59:07, 1561474747000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.43060419152590645, 12906975.374424092, -0.275, -1.686, -12.7554, 2019-06-25T14:59:07, 1561474747000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.02300909326004438, 7270007.661569778, 0.085, -1.129, -10.7754, 2019-06-25T14:59:07, 1561474747000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.11732901484953781, 1106743.6201758652, 0.2384, -2.1296, -9.0549, 2019-06-25T14:59:06, 1561474746000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.7641856864869391, 1398454.8317502632, -0.1962, -0.5309, -8.063, 2019-06-25T14:59:11, 1561474751000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.0001250678211653476, 3155638.722466638, -0.0489, -0.3964, 1.8351, 2019-06-25T14:59:06, 1561474746000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.0003064607731351309, 438266.5906343154, 0.2885, -3.2189, -9.0295, 2019-06-25T14:59:06, 1561474746000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.00040514467075489056, 1426406.3284562167, 0.0771, -1.578, -14.436, 2019-06-25T14:59:04, 1561474744000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.3750363804009958, 455244.89831764443, 1.3598, 0.308, 3.4709, 2019-06-25T14:59:02, 1561474742000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.5737836566804143, 1054124.983720963, 0.754, 1.1453, -3.449, 2019-06-25T14:59:02, 1561474742000, 1h
null, NEO, NEO, ETH, coinmarketcap, 0.0574127249595138, 2115469.7926158737, -0.4233, -0.6872, 12.6494, 2019-06-25T14:59:05, 1561474745000, 1h
null, Cosmos, ATOM, ETH, coinmarketcap, 0.021144331048412197, 217501.81035462362, 0.2462, -2.1508, -15.0167, 2019-06-25T14:59:12, 1561474752000, 1h
null, IOTA, MIOTA, ETH, coinmarketcap, 0.001451985384073323, 77188.75829201542, 0.3241, -1.2167, -10.4031, 2019-06-25T14:59:05, 1561474745000, 1h
null, Ethereum Classic, ETC, ETH, coinmarketcap, 0.029460346135942922, 2421153.688460701, 0.7383, -2.0274, -7.5173, 2019-06-25T14:59:04, 1561474744000, 1h
null, Ontology, ONT, ETH, coinmarketcap, 0.005298670862246314, 650717.7362521004, 0.5199, 4.0971, -2.3487, 2019-06-25T14:59:08, 1561474748000, 1h
null, NEM, XEM, ETH, coinmarketcap, 0.000289975813631787, 91453.61520551257, -0.0138, -0.965, -10.5704, 2019-06-25T14:59:02, 1561474742000, 1h
null, Tezos, XTZ, ETH, coinmarketcap, 0.003584854101278327, 22748.48161220972, 0.4739, -5.1778, -24.4788, 2019-06-25T14:59:06, 1561474746000, 1h
null, Zcash, ZEC, ETH, coinmarketcap, 0.3455669861342291, 1098413.347986246, 0.9886, -1.5912, -13.0383, 2019-06-25T14:59:04, 1561474744000, 1h
null, Bitcoin Gold, BTG, ETH, coinmarketcap, 0.09757210987306578, 56137.12328308901, 0.3408, -0.9125, -3.5848, 2019-06-25T14:59:06, 1561474746000, 1h
null, VeChain, VET, ETH, coinmarketcap, 0.000029511995213717686, 752445.7712233327, -6.3343, 26.9209, 9.4155, 2019-06-25T14:59:10, 1561474750000, 1h
null, Qtum, QTUM, ETH, coinmarketcap, 0.014049038871465885, 905781.627514008, 0.5934, 9.8984, 5.6048, 2019-06-25T14:59:06, 1561474746000, 1h
null, Dogecoin, DOGE, ETH, coinmarketcap, 0.000010771002243148281, 128911.34529729742, 0.2362, -0.0818, -8.1164, 2019-06-25T14:59:02, 1561474742000, 1h
null, Decred, DCR, ETH, coinmarketcap, 0.10144036266144066, 50494.4618431672, 0.0004, -6.2632, -6.4201, 2019-06-25T14:59:03, 1561474743000, 1h
null, Bitcoin Diamond, BCD, ETH, coinmarketcap, 0.004232877585774721, 23841.827192288958, 0.9398, -1.6593, -12.4138, 2019-06-25T14:59:06, 1561474746000, 1h
null, Lisk, LSK, ETH, coinmarketcap, 0.006675484559772673, 33673.15092806836, 0.6248, -0.7675, -13.4054, 2019-06-25T14:59:02, 1561474742000, 1h
null, Ravencoin, RVN, ETH, coinmarketcap, 0.0002019651248129953, 80628.54407753694, 1.2128, -4.5779, -10.4805, 2019-06-25T14:59:08, 1561474748000, 1h
null, Waves, WAVES, ETH, coinmarketcap, 0.007391501487861081, 51624.49762825257, 0.7159, -4.3186, -17.3157, 2019-06-25T14:59:04, 1561474744000, 1h
null, HyperCash, HC, ETH, coinmarketcap, 0.01662993329068644, 125004.66222798346, 7.9623, 35.5055, 60.6594, 2019-06-25T14:59:05, 1561474745000, 1h
null, Bytecoin, BCN, ETH, coinmarketcap, 0.0000032603771929493287, 213.44241041038384, -2.2395, -0.0985, -12.8951, 2019-06-25T14:59:01, 1561474741000, 1h
null, Nano, NANO, ETH, coinmarketcap, 0.004762337549831267, 17419.997795106672, 1.1755, -0.6103, -16.691, 2019-06-25T14:59:04, 1561474744000, 1h
null, BitShares, BTS, ETH, coinmarketcap, 0.00022425559992258446, 36192.5436906524, 0.6197, -0.566, -2.9887, 2019-06-25T14:59:02, 1561474742000, 1h
null, Bytom, BTM, ETH, coinmarketcap, 0.0006055844202904537, 134473.68502541087, -0.4844, -0.1738, -15.0576, 2019-06-25T14:59:05, 1561474745000, 1h
