id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 12389.8375086, 31636530652.0493, -1.82462, 9.16736, 35.4125, 2019-06-26T12:59:28, 1561553968000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 331.486631696, 11883258094.5505, -0.173491, 5.80227, 23.6085, 2019-06-26T12:59:21, 1561553961000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.475398058543, 2655332698.54879, 0.535169, 1.36633, 10.0263, 2019-06-26T12:59:02, 1561553942000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 493.371238558, 2680468860.9143, 0.930684, 3.47289, 18.857, 2019-06-26T12:59:04, 1561553944000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 134.72143039, 4884928174.14678, 0.156233, -0.736338, -1.52456, 2019-06-26T12:59:03, 1561553943000, 1h
null, EOS, EOS, USD, coinmarketcap, 7.25968867152, 3342793884.71791, 0.330542, 0.742767, 5.75693, 2019-06-26T12:59:03, 1561553943000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 37.2917718749, 341888105.779507, 0.640153, 1.09, 5.64669, 2019-06-26T12:59:03, 1561553943000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 239.649315143, 611771566.848484, -0.118217, 0.238138, 6.7902, 2019-06-26T12:59:10, 1561553950000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.0386250024981, 1104112552.65168, -0.469533, -1.6668, 15.7389, 2019-06-26T12:59:04, 1561553944000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.098720274313, 291457857.133768, 0.665834, 2.55713, 9.22397, 2019-06-26T12:59:04, 1561553944000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.126571957717, 581562829.890379, 0.0695536, -0.415542, 1.00275, 2019-06-26T12:59:02, 1561553942000, 1h
null, Monero, XMR, USD, coinmarketcap, 102.591815509, 233819690.277528, -1.83299, -11.1737, 3.44623, 2019-06-26T12:59:01, 1561553941000, 1h
null, Dash, DASH, USD, coinmarketcap, 175.925259715, 432982088.597847, -0.978728, -1.53033, 10.2245, 2019-06-26T12:59:02, 1561553942000, 1h
null, NEO, NEO, USD, coinmarketcap, 19.6332780738, 1094524665.18964, 0.355124, 9.28849, 42.3746, 2019-06-26T12:59:03, 1561553943000, 1h
null, IOTA, MIOTA, USD, coinmarketcap, 0.463662895896, 35921437.1778462, -0.27063, 2.26289, 5.88905, 2019-06-26T12:59:02, 1561553942000, 1h
null, Cosmos, ATOM, USD, coinmarketcap, 6.70970708197, 85193855.4133988, 0.203291, 1.53933, 0.149499, 2019-06-26T12:59:11, 1561553951000, 1h
null, Ethereum Classic, ETC, USD, coinmarketcap, 9.35960462178, 916873778.391987, 0.181341, 1.84785, 9.81417, 2019-06-26T12:59:02, 1561553942000, 1h
null, NEM, XEM, USD, coinmarketcap, 0.0966042830362, 40944754.4428241, -0.764458, 5.94095, 11.0912, 2019-06-26T12:59:02, 1561553942000, 1h
null, Ontology, ONT, USD, coinmarketcap, 1.72209412029, 273709061.433428, -0.823238, 4.46985, 19.308, 2019-06-26T12:59:07, 1561553947000, 1h
null, Zcash, ZEC, USD, coinmarketcap, 105.422990178, 483157247.13545, -0.547411, -1.92502, -5.44861, 2019-06-26T12:59:03, 1561553943000, 1h
null, Tezos, XTZ, USD, coinmarketcap, 1.04610836704, 9870130.22785603, -2.76724, -7.73734, -15.5699, 2019-06-26T12:59:04, 1561553944000, 1h
null, Bitcoin Gold, BTG, USD, coinmarketcap, 31.789455324, 22432789.9586056, -0.792581, 4.67433, 18.3608, 2019-06-26T12:59:04, 1561553944000, 1h
null, Qtum, QTUM, USD, coinmarketcap, 5.59699173533, 878698833.246205, 0.722379, 28.1473, 54.2994, 2019-06-26T12:59:03, 1561553943000, 1h
null, VeChain, VET, USD, coinmarketcap, 0.00897088460473, 207349583.554237, -1.67926, -7.90266, 22.2859, 2019-06-26T12:59:09, 1561553949000, 1h
null, Dogecoin, DOGE, USD, coinmarketcap, 0.00329556806942, 49189351.1968073, -0.778148, -2.26741, 5.49413, 2019-06-26T12:59:02, 1561553942000, 1h
null, Decred, DCR, USD, coinmarketcap, 33.456760708, 38835919.6569556, -1.67829, 5.33421, 18.1836, 2019-06-26T12:59:02, 1561553942000, 1h
null, V Systems, VSYS, USD, coinmarketcap, 0.157655711923, 12974133.1536136, -0.33757, 7.00101, 22.4391, 2019-06-26T12:59:10, 1561553950000, 1h
null, Bitcoin Diamond, BCD, USD, coinmarketcap, 1.33837163174, 12588653.5746469, -0.849107, 1.50102, 4.17211, 2019-06-26T12:59:04, 1561553944000, 1h
null, HyperCash, HC, USD, coinmarketcap, 5.63236038173, 100189176.878853, -1.57992, 18.1397, 84.7576, 2019-06-26T12:59:03, 1561553943000, 1h
null, Lisk, LSK, USD, coinmarketcap, 2.02533878434, 11843141.709647, -1.13721, -2.70344, -2.59308, 2019-06-26T12:59:02, 1561553942000, 1h
null, Ravencoin, RVN, USD, coinmarketcap, 0.0617692286231, 36234179.1022128, 1.33645, -2.46398, -4.90216, 2019-06-26T12:59:07, 1561553947000, 1h
null, Waves, WAVES, USD, coinmarketcap, 2.29325718641, 28315876.1851623, -0.92546, -1.04225, -4.32994, 2019-06-26T12:59:02, 1561553942000, 1h
null, BitShares, BTS, USD, coinmarketcap, 0.0739034578205, 16302064.070996, 1.25529, 5.32799, 18.5226, 2019-06-26T12:59:01, 1561553941000, 1h
null, Bytom, BTM, USD, coinmarketcap, 0.194354798065, 52068899.0732976, 0.88663, 2.57965, 2.32242, 2019-06-26T12:59:03, 1561553943000, 1h
null, Nano, NANO, USD, coinmarketcap, 1.44713844134, 9788806.68959969, 0.970278, -1.9167, -4.99439, 2019-06-26T12:59:02, 1561553942000, 1h
null, MonaCoin, MONA, USD, coinmarketcap, 2.79383726501, 26513459.8828053, -1.24286, -1.45, 20.9182, 2019-06-26T12:59:01, 1561553941000, 1h
null, Bytecoin, BCN, USD, coinmarketcap, 0.000896663932838, 164063.789345782, -10.8622, -14.7786, -12.7178, 2019-06-26T12:59:01, 1561553941000, 1h
null, DigiByte, DGB, USD, coinmarketcap, 0.0145418077127, 2012571.57462361, -0.119696, 5.3833, 4.45493, 2019-06-26T12:59:01, 1561553941000, 1h
null, ICON, ICX, USD, coinmarketcap, 0.360009926089, 26183628.0515594, -2.11954, 4.78216, -1.16184, 2019-06-26T12:59:04, 1561553944000, 1h
null, Energi, NRG, USD, coinmarketcap, 8.92531328495, 2557111.84535384, 0.382843, 9.04068, 123.39, 2019-06-26T12:59:09, 1561553949000, 1h
null, ABBC Coin, ABBC, USD, coinmarketcap, 0.303454251858, 84841457.5035289, -1.52948, 19.5758, 72.7398, 2019-06-26T12:59:10, 1561553950000, 1h
null, Aeternity, AE, USD, coinmarketcap, 0.560165312738, 37544233.4713822, -0.112243, 0.597777, 5.85153, 2019-06-26T12:59:03, 1561553943000, 1h
null, Komodo, KMD, USD, coinmarketcap, 1.30158249609, 6139726.39878973, 0.284778, -4.16356, -15.9972, 2019-06-26T12:59:02, 1561553942000, 1h
null, Verge, XVG, USD, coinmarketcap, 0.00938310920015, 4508934.1500668, 1.1945, -0.458742, 3.25067, 2019-06-26T12:59:01, 1561553941000, 1h
null, Metaverse ETP, ETP, USD, coinmarketcap, 1.97910220559, 56955655.6318434, -1.2973, 1.03649, -2.70909, 2019-06-26T12:59:02, 1561553942000, 1h
null, Siacoin, SC, USD, coinmarketcap, 0.00342224097732, 3985650.34242133, -0.0655989, 3.95523, 9.65993, 2019-06-26T12:59:01, 1561553941000, 1h
null, GXChain, GXC, USD, coinmarketcap, 2.30498783032, 34641571.011551, 0.64117, -3.0459, -5.28246, 2019-06-26T12:59:03, 1561553943000, 1h
null, Steem, STEEM, USD, coinmarketcap, 0.426106145525, 3366270.46999706, -0.0789636, 2.63464, 2.44835, 2019-06-26T12:59:02, 1561553942000, 1h
null, Ardor, ARDR, USD, coinmarketcap, 0.125243105749, 4086031.47515238, 0.249376, 4.19252, -4.14673, 2019-06-26T12:59:02, 1561553942000, 1h
null, THETA, THETA, USD, coinmarketcap, 0.132502184034, 10427754.5331464, -0.0125588, -4.70435, -0.0714673, 2019-06-26T12:59:06, 1561553946000, 1h
null, Stratis, STRAT, USD, coinmarketcap, 0.985318645565, 4101016.37235386, 2.34519, 0.856216, 0.856122, 2019-06-26T12:59:02, 1561553942000, 1h
null, Zcoin, XZC, USD, coinmarketcap, 12.1616281854, 3145397.28216214, -0.202869, -4.46946, -11.6536, 2019-06-26T12:59:02, 1561553942000, 1h
null, Nebulas, NAS, USD, coinmarketcap, 1.71976621229, 14616500.6345382, -2.69226, 1.0959, 10.0286, 2019-06-26T12:59:03, 1561553943000, 1h
null, Grin, GRIN, USD, coinmarketcap, 5.68904653485, 49493825.1240114, 2.20671, 2.75938, -2.95172, 2019-06-26T12:59:10, 1561553950000, 1h
null, Project Pai, PAI, USD, coinmarketcap, 0.0532765092478, 6837857.68422207, -0.552549, -0.416837, 7.4025, 2019-06-26T12:59:08, 1561553948000, 1h
null, TrueChain, TRUE, USD, coinmarketcap, 0.943157640888, 62604440.7640956, 0.598477, -2.31979, -4.90833, 2019-06-26T12:59:06, 1561553946000, 1h
null, Elastos, ELA, USD, coinmarketcap, 4.52540409952, 14282177.211353, -1.26757, 10.6407, 20.0471, 2019-06-26T12:59:06, 1561553946000, 1h
null, Cryptonex, CNX, USD, coinmarketcap, 1.24409285543, 7074136.04631548, -1.38547, 3.69381, 2.01147, 2019-06-26T12:59:03, 1561553943000, 1h
null, ReddCoin, RDD, USD, coinmarketcap, 0.00242429300297, 1059858.60265103, 2.03023, 1.9007, 13.2486, 2019-06-26T12:59:01, 1561553941000, 1h
null, Horizen, ZEN, USD, coinmarketcap, 9.76045011671, 1205015.29571709, -1.25826, -2.89813, -11.1718, 2019-06-26T12:59:03, 1561553943000, 1h
null, NULS, NULS, USD, coinmarketcap, 0.919566056471, 10329983.3694196, 0.237147, -3.1101, -10.1825, 2019-06-26T12:59:04, 1561553944000, 1h
null, Beam, BEAM, USD, coinmarketcap, 2.47083628364, 74669411.7788179, 1.62399, 10.1696, 78.4152, 2019-06-26T12:59:10, 1561553950000, 1h
null, WaykiChain, WICC, USD, coinmarketcap, 0.312902968723, 4073589.10983006, 0.17094, 7.18889, 8.32022, 2019-06-26T12:59:05, 1561553945000, 1h
