id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 34.549766803116576, 64893424.269640535, 0.0759, -1.2892, 2.7998, 2019-06-23T20:59:28, 1561323568000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 25692064.99763212, 0, 0, 0, 2019-06-23T20:59:17, 1561323557000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.0015289252355503206, 7139507.978001738, -0.0992, -2.4724, -2.5464, 2019-06-23T20:59:02, 1561323542000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.44948041558502605, 12893654.625437194, -0.3377, -2.7493, -10.695, 2019-06-23T20:59:03, 1561323543000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.5386253682227904, 9028691.262173401, -0.6703, -1.1616, -3.1889, 2019-06-23T20:59:04, 1561323544000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.023552222881863573, 7874925.938746228, -0.3037, -2.8017, -9.1573, 2019-06-23T20:59:04, 1561323544000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.12113360709339327, 1107040.4583024553, -0.2647, -3.0909, 0.5961, 2019-06-23T20:59:03, 1561323543000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.7566523887661529, 1536183.891671973, 0.262, -2.6253, -3.4601, 2019-06-23T20:59:09, 1561323549000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.0003226096361084109, 741974.8836081455, 0.5215, 4.3968, -5.2088, 2019-06-23T20:59:03, 1561323543000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.00012212785101364777, 2462711.7119323695, 0.8142, 2.6331, -0.2222, 2019-06-23T20:59:04, 1561323544000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.0004179702523836126, 1291319.071125198, 0.2844, -1.429, -12.5171, 2019-06-23T20:59:02, 1561323542000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.37554838639359367, 394411.13284918806, 0.2319, 0.0996, 5.6768, 2019-06-23T20:59:01, 1561323541000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.5623859353933591, 1152808.679213627, -0.3501, -1.4775, -3.3893, 2019-06-23T20:59:02, 1561323542000, 1h
null, Cosmos, ATOM, ETH, coinmarketcap, 0.022431142487382694, 212277.44577626442, -0.4859, 2.6945, -5.1935, 2019-06-23T20:59:08, 1561323548000, 1h
null, IOTA, MIOTA, ETH, coinmarketcap, 0.0015034723695898664, 92265.58496971635, -0.1039, 0.9846, -9.6527, 2019-06-23T20:59:02, 1561323542000, 1h
null, NEO, NEO, ETH, coinmarketcap, 0.0548986942868026, 2547284.4541594083, 0.0466, -0.0982, 5.3726, 2019-06-23T20:59:02, 1561323542000, 1h
null, Ethereum Classic, ETC, ETH, coinmarketcap, 0.030400980768373775, 3068232.6349153398, -0.4051, 2.7318, -5.9133, 2019-06-23T20:59:02, 1561323542000, 1h
null, NEM, XEM, ETH, coinmarketcap, 0.0002949517960913409, 94698.88278830102, -0.1141, -0.6966, -9.3036, 2019-06-23T20:59:01, 1561323541000, 1h
null, Tezos, XTZ, ETH, coinmarketcap, 0.003852092452840721, 16665.27669781397, -0.8046, -2.5113, -18.5355, 2019-06-23T20:59:03, 1561323543000, 1h
null, Ontology, ONT, ETH, coinmarketcap, 0.005019398274460711, 521002.70079632086, -0.1671, -1.0692, -6.4553, 2019-06-23T20:59:05, 1561323545000, 1h
null, Zcash, ZEC, ETH, coinmarketcap, 0.36051278526723074, 1360808.890363229, -0.6875, -2.945, 4.0512, 2019-06-23T20:59:02, 1561323542000, 1h
null, Bitcoin Gold, BTG, ETH, coinmarketcap, 0.09686386794791424, 70316.0969251646, -0.2166, -3.0267, -4.2695, 2019-06-23T20:59:03, 1561323543000, 1h
null, Dogecoin, DOGE, ETH, coinmarketcap, 0.000010679780770247372, 136673.36712846556, -0.1578, 0.2696, -9.8373, 2019-06-23T20:59:02, 1561323542000, 1h
null, VeChain, VET, ETH, coinmarketcap, 0.000023066258447743566, 130747.90397767226, 0.0086, -3.1063, -14.8232, 2019-06-23T20:59:07, 1561323547000, 1h
null, Qtum, QTUM, ETH, coinmarketcap, 0.012579635241561757, 838673.0277753371, -0.1062, -1.1037, -7.4933, 2019-06-23T20:59:03, 1561323543000, 1h
null, Decred, DCR, ETH, coinmarketcap, 0.1010062817390651, 87438.38310303261, -0.4642, 2.0253, -3.2372, 2019-06-23T20:59:01, 1561323541000, 1h
null, Lisk, LSK, ETH, coinmarketcap, 0.006803073167343494, 35506.301651462156, 0.2902, -1.0002, -13.5865, 2019-06-23T20:59:01, 1561323541000, 1h
null, Bitcoin Diamond, BCD, ETH, coinmarketcap, 0.004322167290874671, 28210.67547377932, 0.5955, -1.2838, -5.8933, 2019-06-23T20:59:04, 1561323544000, 1h
null, Ravencoin, RVN, ETH, coinmarketcap, 0.00020196935089056132, 74505.64667248372, -0.6392, -2.5007, -12.5627, 2019-06-23T20:59:05, 1561323545000, 1h
null, Waves, WAVES, ETH, coinmarketcap, 0.0077022548943159646, 58096.16245880443, 0.6724, -3.0215, -13.4464, 2019-06-23T20:59:02, 1561323542000, 1h
null, Nano, NANO, ETH, coinmarketcap, 0.005034494394553329, 22958.427926615997, -0.473, 3.3564, -13.0845, 2019-06-23T20:59:02, 1561323542000, 1h
null, Bytom, BTM, ETH, coinmarketcap, 0.0006182730348926421, 77478.91815657582, -0.236, -1.3693, -12.6594, 2019-06-23T20:59:02, 1561323542000, 1h
null, Bytecoin, BCN, ETH, coinmarketcap, 0.000003169121317443379, 246.570704539388, -4.7541, -5.2534, -14.8052, 2019-06-23T20:59, 1561323540000, 1h
null, BitShares, BTS, ETH, coinmarketcap, 0.00020953036746689034, 23637.062176927506, -0.3025, 0.1097, -11.0587, 2019-06-23T20:59:01, 1561323541000, 1h
null, DigiByte, DGB, ETH, coinmarketcap, 0.000046144796924846715, 4128.703069463751, 0.5072, -0.3825, -2.923, 2019-06-23T20:59:01, 1561323541000, 1h
null, MonaCoin, MONA, ETH, coinmarketcap, 0.008350165243714892, 51245.60658235213, -0.2055, -2.223, 11.638, 2019-06-23T20:59, 1561323540000, 1h
null, Komodo, KMD, ETH, coinmarketcap, 0.0047078217702821445, 23667.128745514616, 0.0433, 4.9998, -20.1554, 2019-06-23T20:59:02, 1561323542000, 1h
null, ICON, ICX, ETH, coinmarketcap, 0.0011226459845966178, 36368.99980723311, -1.1157, -0.8116, -18.0572, 2019-06-23T20:59:03, 1561323543000, 1h
null, HyperCash, HC, ETH, coinmarketcap, 0.01208519364110854, 48611.84370316924, -0.412, 0.9325, 23.5553, 2019-06-23T20:59:03, 1561323543000, 1h
null, GXChain, GXC, ETH, coinmarketcap, 0.008517198739743574, 133154.413333626, -0.2346, 11.4162, 0.6469, 2019-06-23T20:59:02, 1561323542000, 1h
null, Verge, XVG, ETH, coinmarketcap, 0.00003119132843606504, 21075.53840335243, -1.0096, 4.972, -8.7361, 2019-06-23T20:59:01, 1561323541000, 1h
null, Aeternity, AE, ETH, coinmarketcap, 0.001669412719770794, 130224.74611414815, -0.1056, -2.2721, -14.9713, 2019-06-23T20:59:02, 1561323542000, 1h
null, Metaverse ETP, ETP, ETH, coinmarketcap, 0.006057177843975786, 79127.51186998801, -0.2235, -2.6179, -12.6576, 2019-06-23T20:59:02, 1561323542000, 1h
null, Siacoin, SC, ETH, coinmarketcap, 0.000010453147283650148, 8793.97097485604, -0.0826, 1.8004, -11.7045, 2019-06-23T20:59:01, 1561323541000, 1h
null, Steem, STEEM, ETH, coinmarketcap, 0.0013205304672921528, 5685.291626286998, 0.9474, 1.938, -14.1254, 2019-06-23T20:59:01, 1561323541000, 1h
null, THETA, THETA, ETH, coinmarketcap, 0.00043692893586771037, 11031.64969815757, 0.4709, 2.4598, -8.3614, 2019-06-23T20:59:04, 1561323544000, 1h
null, Ardor, ARDR, ETH, coinmarketcap, 0.00038047368912229725, 7363.02698739619, -0.3486, 0.087, -0.4307, 2019-06-23T20:59:01, 1561323541000, 1h
null, ABBC Coin, ABBC, ETH, coinmarketcap, 0.0007323306502298075, 168201.40052952195, 0.2875, 0.2421, 4.0613, 2019-06-23T20:59:08, 1561323548000, 1h
null, Zcoin, XZC, ETH, coinmarketcap, 0.04186881394770892, 14806.916172184434, 0.2387, -0.5788, -3.7529, 2019-06-23T20:59:02, 1561323542000, 1h
null, Energi, NRG, ETH, coinmarketcap, 0.01817638877763343, 2755.4149425753985, 0.2979, 4.5648, 19.3672, 2019-06-23T20:59:07, 1561323547000, 1h
null, Stratis, STRAT, ETH, coinmarketcap, 0.00315837045262504, 9529.8884716397, 0.401, 3.5129, -20.4237, 2019-06-23T20:59:02, 1561323542000, 1h
null, Nebulas, NAS, ETH, coinmarketcap, 0.00557358034155108, 46951.393927929385, -2.1642, 10.8745, -5.1505, 2019-06-23T20:59:02, 1561323542000, 1h
null, Grin, GRIN, ETH, coinmarketcap, 0.019589890976893117, 170837.866812471, 2.0807, 15.6948, 9.4571, 2019-06-23T20:59:08, 1561323548000, 1h
null, TrueChain, TRUE, ETH, coinmarketcap, 0.003214351600413996, 183451.99019682058, -0.3646, -2.5274, -17.0297, 2019-06-23T20:59:04, 1561323544000, 1h
null, Project Pai, PAI, ETH, coinmarketcap, 0.00016276855904500453, 9312.662623911903, 0.1587, 2.2748, -17.8131, 2019-06-23T20:59:06, 1561323546000, 1h
null, Horizen, ZEN, ETH, coinmarketcap, 0.03475793922339818, 2482.9396937834626, -0.7173, 0.0359, -8.7508, 2019-06-23T20:59:02, 1561323542000, 1h
null, NULS, NULS, ETH, coinmarketcap, 0.0031134710297219975, 32830.111608099614, -0.3632, 0.3367, -12.4863, 2019-06-23T20:59:03, 1561323543000, 1h
null, ReddCoin, RDD, ETH, coinmarketcap, 0.000007598459009500142, 1686.7248403767776, 1.3585, -1.1032, 5.9163, 2019-06-23T20:59, 1561323540000, 1h
null, Elastos, ELA, ETH, coinmarketcap, 0.013164787946533169, 30636.538955655764, -0.4453, 6.6177, -9.057, 2019-06-23T20:59:05, 1561323545000, 1h
null, Ark, ARK, ETH, coinmarketcap, 0.00170189584983981, 2757.4064167358215, -0.404, 2.5571, -19.6338, 2019-06-23T20:59:02, 1561323542000, 1h
null, Electroneum, ETN, ETH, coinmarketcap, 0.000018973514086982436, 920.8459375818463, 1.0093, 1.889, -16.5442, 2019-06-23T20:59:03, 1561323543000, 1h
null, Factom, FCT, ETH, coinmarketcap, 0.01848826918802521, 489.33729410440895, -0.8255, -3.3908, -14.1787, 2019-06-23T20:59:01, 1561323541000, 1h
null, WaykiChain, WICC, ETH, coinmarketcap, 0.0009125512012406818, 7450.8386522723285, 0.5726, -1.8302, -7.7705, 2019-06-23T20:59:04, 1561323544000, 1h
null, Thunder Token, TT, ETH, coinmarketcap, 0.00005725664957089434, 31756.582973938654, -0.245, -1.8312, -21.8636, 2019-06-23T20:59:10, 1561323550000, 1h
null, Beam, BEAM, ETH, coinmarketcap, 0.006642116936276498, 139572.84547925758, 12.4891, 39.6184, 97.4115, 2019-06-23T20:59:08, 1561323548000, 1h
null, Aion, AION, ETH, coinmarketcap, 0.00047742752209970277, 6294.119108385907, 0.4234, 0.6318, -26.9225, 2019-06-23T20:59:03, 1561323543000, 1h
null, Theta Fuel, TFUEL, ETH, coinmarketcap, 0.00003601277885899203, 12095.248222302636, -0.7619, -2.3562, -18.7488, 2019-06-23T20:59:08, 1561323548000, 1h
null, Newton, NEW, ETH, coinmarketcap, 0.000011586533775369715, 26729.54984141701, 0.0497, 0.9857, -16.7305, 2019-06-23T20:59:08, 1561323548000, 1h
null, Ether Zero, ETZ, ETH, coinmarketcap, 0.000842400063084536, 6897.507626635931, -1.444, -1.0699, -16.8732, 2019-06-23T20:59:06, 1561323546000, 1h
null, Wanchain, WAN, ETH, coinmarketcap, 0.0012856018572601619, 4383.153131476176, 0.0599, 1.7116, -20.5989, 2019-06-23T20:59:05, 1561323545000, 1h
null, PIVX, PIVX, ETH, coinmarketcap, 0.0023424566213640532, 1984.5129587215997, -1.2373, 0.7415, -16.3127, 2019-06-23T20:59:01, 1561323541000, 1h
null, Metadium, META, ETH, coinmarketcap, 0.00010621935233496602, 7709.205627236145, 0.3103, 6.3625, -10.6009, 2019-06-23T20:59:07, 1561323547000, 1h
null, MOAC, MOAC, ETH, coinmarketcap, 0.0021140686047451166, 72.07295525684462, 1.4359, -4.6047, -21.4721, 2019-06-23T20:59:04, 1561323544000, 1h
null, IPChain, IPC, ETH, coinmarketcap, 0.0016734758165135827, 6896.523588343876, -1.0282, -3.6763, -16.9688, 2019-06-23T20:59:04, 1561323544000, 1h
null, CyberMiles, CMT, ETH, coinmarketcap, 0.0001561479205840228, 39109.725245784866, -2.546, 8.5425, -19.824, 2019-06-23T20:59:04, 1561323544000, 1h
null, Nxt, NXT, ETH, coinmarketcap, 0.0001222960299941277, 3410.7416669866043, 0.03, -2.4409, -8.0575, 2019-06-23T20:59, 1561323540000, 1h
null, TomoChain, TOMO, ETH, coinmarketcap, 0.0019697434767156313, 5728.70561977132, -0.7275, -4.9448, 2.5595, 2019-06-23T20:59:05, 1561323545000, 1h
null, Unobtanium, UNO, ETH, coinmarketcap, 0.5075552207074063, 1.995975867535104, 0.0862, 0.0056, 4.1799, 2019-06-23T20:59, 1561323540000, 1h
null, PLATINCOIN, PLC, ETH, coinmarketcap, 0.1439016520840042, 14579.827736794801, 0.199, 32.5775, 27.6445, 2019-06-23T20:59:07, 1561323547000, 1h
null, CasinoCoin, CSC, ETH, coinmarketcap, 0.000002574792127901846, 112.78153379838854, 0.1645, 8.2833, -15.6957, 2019-06-23T20:59, 1561323540000, 1h
null, Groestlcoin, GRS, ETH, coinmarketcap, 0.0013595855260680192, 3931.6863638697173, -0.163, -2.0211, -14.964, 2019-06-23T20:59, 1561323540000, 1h
null, Vertcoin, VTC, ETH, coinmarketcap, 0.0019464584988804646, 1753.5698620463156, 0.1272, 2.854, -2.773, 2019-06-23T20:59, 1561323540000, 1h
null, Syscoin, SYS, ETH, coinmarketcap, 0.00017448142001313924, 1125.6931418129716, 3.314, 1.4334, -22.2965, 2019-06-23T20:59, 1561323540000, 1h
null, Skycoin, SKY, ETH, coinmarketcap, 0.006091056471247803, 2295.3861285622497, -0.5024, -1.2096, 1.8551, 2019-06-23T20:59:02, 1561323542000, 1h
null, Pirate Chain, ARRR, ETH, coinmarketcap, 0.0008868123096653491, 174.11603599060732, 1.8402, 19.372, 25.3411, 2019-06-23T20:59:08, 1561323548000, 1h
null, #MetaHash, MHC, ETH, coinmarketcap, 0.00007260774902747284, 917.0755022425337, -0.6953, -2.0239, -17.7031, 2019-06-23T20:59:08, 1561323548000, 1h
null, BHPCoin, BHP, ETH, coinmarketcap, 0.00507802427260876, 20676.57333224026, 0.9861, -4.8133, -14.9923, 2019-06-23T20:59:06, 1561323546000, 1h
null, Obyte, GBYTE, ETH, coinmarketcap, 0.11671322511360305, 101.44561580566976, -1.7661, 4.8846, -15.4277, 2019-06-23T20:59:02, 1561323542000, 1h
null, Einsteinium, EMC2, ETH, coinmarketcap, 0.000359996981017009, 2607.8957023457297, -0.3082, 1.3534, -18.5795, 2019-06-23T20:59, 1561323540000, 1h
null, Nexus, NXS, ETH, coinmarketcap, 0.0012333823979355546, 546.176770177813, 0.7428, -0.4109, -6.4363, 2019-06-23T20:59:01, 1561323541000, 1h
null, BOScoin, BOS, ETH, coinmarketcap, 0.00011779614654832124, 131.6997331268885, 0.3666, -8.8083, 45.2739, 2019-06-23T20:59:03, 1561323543000, 1h
null, IRISnet, IRIS, ETH, coinmarketcap, 0.00022192999990551892, 5414.415894228785, 0.3328, -1.3059, -11.3233, 2019-06-23T20:59:08, 1561323548000, 1h
null, SaluS, SLS, ETH, coinmarketcap, 0.07172743820036512, 31.206074701820746, 0.089, 5.9024, 10.9632, 2019-06-23T20:59:01, 1561323541000, 1h
null, TTC, TTC, ETH, coinmarketcap, 0.00035673937193820134, 5927.014682961685, 1.0137, 11.4557, -12.1695, 2019-06-23T20:59:07, 1561323547000, 1h
null, Quantum Resistant Ledger, QRL, ETH, coinmarketcap, 0.001035745866125041, 72.99644214243872, 0.4697, -3.249, -22.1131, 2019-06-23T20:59:02, 1561323542000, 1h
null, High Performance Blockchain, HPB, ETH, coinmarketcap, 0.001611775435532526, 18060.30944853996, -0.3725, 1.8986, -15.0133, 2019-06-23T20:59:04, 1561323544000, 1h
null, Apollo Currency, APL, ETH, coinmarketcap, 0.000004696456944649068, 75.0841819000218, -0.9502, -2.0147, -26.0021, 2019-06-23T20:59:06, 1561323546000, 1h
