id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 9251.96806076, 16035304784.3437, 0.10578, 1.2518, 13.781, 2019-06-20T13:59:26, 1561039166000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 267.94646213, 5802067565.81186, -0.0243411, -0.0666901, 3.43918, 2019-06-20T13:59:21, 1561039161000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.425829007257, 1185335279.85446, -0.85434, -1.59782, 5.78402, 2019-06-20T13:59:02, 1561039142000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 135.02359766, 4103673347.56227, -0.106001, -1.76717, -0.0215808, 2019-06-20T13:59:04, 1561039144000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 409.688429665, 1283010049.19651, 0.0112864, -1.53136, 1.59626, 2019-06-20T13:59:04, 1561039144000, 1h
null, EOS, EOS, USD, coinmarketcap, 6.7480487196, 1677799921.02964, -0.450982, -1.91283, 3.66457, 2019-06-20T13:59:05, 1561039145000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 35.8393084287, 529374506.209973, 3.25206, 1.6689, 1.24044, 2019-06-20T13:59:05, 1561039145000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 212.956534744, 302307570.536803, -3.55454, -4.9886, 2.28019, 2019-06-20T13:59:09, 1561039149000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.122170526972, 246373365.271745, -0.0601461, -2.5195, -3.2153, 2019-06-20T13:59:03, 1561039143000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.0883500569865, 145694094.229879, 0.330017, -2.44893, -4.89289, 2019-06-20T13:59:04, 1561039144000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.0327293034835, 529208178.038245, -1.09476, -2.09606, -1.36542, 2019-06-20T13:59:05, 1561039145000, 1h
null, Monero, XMR, USD, coinmarketcap, 102.76698516, 161374556.960029, -0.538033, 3.11086, 13.0418, 2019-06-20T13:59:02, 1561039142000, 1h
null, Dash, DASH, USD, coinmarketcap, 160.261118922, 257736000.390307, -0.221767, 0.183093, 2.60213, 2019-06-20T13:59:03, 1561039143000, 1h
null, Cosmos, ATOM, USD, coinmarketcap, 6.39230541121, 48110027.1954214, -0.469398, -4.3544, 2.5809, 2019-06-20T13:59:10, 1561039150000, 1h
null, IOTA, MIOTA, USD, coinmarketcap, 0.425893296463, 41961706.4638397, 0.179479, -3.18428, -3.04218, 2019-06-20T13:59:03, 1561039143000, 1h
