id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 9519.8583609, 18188403830.7397, -0.43771, 3.31606, 15.7092, 2019-06-21T00:59:29, 1561078769000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 272.381344783, 6394964816.85655, -0.0158682, 1.3951, 5.50493, 2019-06-21T00:59:20, 1561078760000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.429171695839, 1316443174.6601, -0.614113, -1.40173, 6.99616, 2019-06-21T00:59:03, 1561078743000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 135.286183905, 4046100090.88679, -0.268983, -2.17753, 2.81502, 2019-06-21T00:59:05, 1561078745000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 413.217833931, 1320100208.51419, -0.733648, -0.438468, -0.530454, 2019-06-21T00:59:06, 1561078746000, 1h
null, EOS, EOS, USD, coinmarketcap, 6.84361237144, 1967718283.22659, -0.119888, -0.367565, 5.47879, 2019-06-21T00:59:06, 1561078746000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 36.3884715456, 653061011.176864, -0.23177, 3.05572, 4.53711, 2019-06-21T00:59:05, 1561078745000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 217.921348038, 403944276.293576, -0.897567, -2.74558, 4.3322, 2019-06-21T00:59:11, 1561078751000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.121748158241, 273535451.018837, 0.116563, -1.7688, -2.73576, 2019-06-21T00:59:02, 1561078742000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.0867833601975, 164102091.689069, 0.222693, -3.52489, -3.92615, 2019-06-21T00:59:05, 1561078745000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.0326008777418, 587404206.996688, -0.222331, -2.45198, -0.534446, 2019-06-21T00:59:06, 1561078746000, 1h
null, Monero, XMR, USD, coinmarketcap, 105.464660247, 176271829.059218, 0.181979, 5.06531, 16.7563, 2019-06-21T00:59:02, 1561078742000, 1h
null, Dash, DASH, USD, coinmarketcap, 162.300562076, 250456890.142062, 0.295116, 0.431357, 4.74057, 2019-06-21T00:59:01, 1561078741000, 1h
null, Cosmos, ATOM, USD, coinmarketcap, 6.41986027111, 61985167.4816881, -0.537629, -3.0668, 1.87174, 2019-06-21T00:59:11, 1561078751000, 1h
null, IOTA, MIOTA, USD, coinmarketcap, 0.416619800014, 41291699.504827, -0.983777, -4.36669, -5.78506, 2019-06-21T00:59:04, 1561078744000, 1h
null, NEO, NEO, USD, coinmarketcap, 13.6347307158, 381678753.081318, 1.68901, -0.902501, 3.32412, 2019-06-21T00:59:04, 1561078744000, 1h
null, Ethereum Classic, ETC, USD, coinmarketcap, 8.5737301189, 639264334.245832, 0.0366587, 0.59625, 0.43818, 2019-06-21T00:59:04, 1561078744000, 1h
null, NEM, XEM, USD, coinmarketcap, 0.086057568937, 38223117.9969003, 0.284125, -1.01633, 0.234907, 2019-06-21T00:59:02, 1561078742000, 1h
null, Zcash, ZEC, USD, coinmarketcap, 109.407474188, 308538760.062581, -0.342296, -1.47266, 22.5969, 2019-06-21T00:59:03, 1561078743000, 1h
null, Tezos, XTZ, USD, coinmarketcap, 1.1023139848, 9264493.86840602, 0.80938, -7.60559, -13.5128, 2019-06-21T00:59:05, 1561078745000, 1h
null, Ontology, ONT, USD, coinmarketcap, 1.39199578419, 182040992.339637, -0.035176, -2.95502, -4.18626, 2019-06-21T00:59:07, 1561078747000, 1h
null, Bitcoin Gold, BTG, USD, coinmarketcap, 28.3328394346, 20061213.5337436, -0.287901, 2.14191, 6.36685, 2019-06-21T00:59:05, 1561078745000, 1h
null, VeChain, VET, USD, coinmarketcap, 0.00691458246632, 26900050.2547322, 0.0341228, -5.34881, -9.09221, 2019-06-21T00:59:09, 1561078749000, 1h
null, Dogecoin, DOGE, USD, coinmarketcap, 0.0031546813619, 35491187.6924651, 0.205595, 0.787691, 2.30173, 2019-06-21T00:59:02, 1561078742000, 1h
null, Qtum, QTUM, USD, coinmarketcap, 3.49913095984, 181377383.549571, 0.190066, -2.18286, 2.83934, 2019-06-21T00:59:04, 1561078744000, 1h
null, Decred, DCR, USD, coinmarketcap, 28.7625317386, 4724281.44624807, -0.404949, 1.18068, 2.54611, 2019-06-21T00:59:02, 1561078742000, 1h
null, Lisk, LSK, USD, coinmarketcap, 2.04553185272, 9012771.21396871, -1.69421, -1.40252, -2.0003, 2019-06-21T00:59:02, 1561078742000, 1h
null, Bitcoin Diamond, BCD, USD, coinmarketcap, 1.28717844812, 4208120.18670024, 1.70022, 0.452795, 4.54217, 2019-06-21T00:59:05, 1561078745000, 1h
