id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 33.909915417245315, 67031624.71240497, 0.1071, -3.2307, 3.6219, 2019-06-22T00:59:28, 1561165168000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 31035404.17173006, 0, 0, 0, 2019-06-22T00:59:19, 1561165159000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.001501877347520193, 5114604.81010899, -0.1677, -4.9148, -2.2663, 2019-06-22T00:59:03, 1561165143000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.46927177243853113, 14668442.391774364, 0.2212, -5.6342, -7.0031, 2019-06-22T00:59:06, 1561165146000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.4881653665962926, 6166230.253850039, 0.2583, -2.2656, -5.9873, 2019-06-22T00:59:07, 1561165147000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.02401473603866544, 8043689.830904581, 0.0103, -4.3408, -4.1664, 2019-06-22T00:59:07, 1561165147000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.13084559766107295, 1426441.9240418924, 0.2805, -2.0723, 5.2918, 2019-06-22T00:59:06, 1561165146000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.7538612022050953, 1596099.5413679972, 0.0211, -6.7861, -7.16, 2019-06-22T00:59:11, 1561165151000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.00042153176045572134, 895227.3709245444, 0.3276, -5.5812, -11.3192, 2019-06-22T00:59:04, 1561165144000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.00030551112788980704, 423123.7341740233, 0.027, -4.3278, -10.3541, 2019-06-22T00:59:05, 1561165145000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.00011368701653124542, 1894846.285583465, -0.0068, -5.1664, -7.6328, 2019-06-22T00:59:06, 1561165146000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.36529973945974775, 470762.4968333463, 0.0251, -5.638, 6.9153, 2019-06-22T00:59:02, 1561165142000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.5657084661648439, 1047346.028982007, 0.1178, -4.8757, -3.3201, 2019-06-22T00:59:03, 1561165143000, 1h
null, Cosmos, ATOM, ETH, coinmarketcap, 0.02221957332243989, 221997.9967568433, 0.2188, -6.117, -5.4719, 2019-06-22T00:59:11, 1561165151000, 1h
null, IOTA, MIOTA, ETH, coinmarketcap, 0.0014407110384923663, 87223.30339698437, -0.797, -6.239, -12.322, 2019-06-22T00:59:04, 1561165144000, 1h
null, NEO, NEO, ETH, coinmarketcap, 0.04741058084216311, 1384914.3267186463, -0.0565, -4.5528, -6.0509, 2019-06-22T00:59:04, 1561165144000, 1h
null, Ethereum Classic, ETC, ETH, coinmarketcap, 0.029897934400728934, 2699377.5035890127, 1.0135, -4.4343, -7.6961, 2019-06-22T00:59:04, 1561165144000, 1h
null, NEM, XEM, ETH, coinmarketcap, 0.0002993739286415044, 83599.60177585416, -0.2539, -5.2247, -7.5396, 2019-06-22T00:59:03, 1561165143000, 1h
null, Tezos, XTZ, ETH, coinmarketcap, 0.003983485236800428, 24669.31912712546, -1.0904, -2.2347, -15.496, 2019-06-22T00:59:05, 1561165145000, 1h
null, Zcash, ZEC, ETH, coinmarketcap, 0.37375480017505075, 1653419.7820067382, -0.0461, -7.0957, 8.6646, 2019-06-22T00:59:04, 1561165144000, 1h
null, Ontology, ONT, ETH, coinmarketcap, 0.0048193665877294825, 560995.5248188748, 0.3168, -5.891, -10.3559, 2019-06-22T00:59:07, 1561165147000, 1h
null, Bitcoin Gold, BTG, ETH, coinmarketcap, 0.09694133490175479, 64300.769559137414, -0.008, -6.8902, -5.6427, 2019-06-22T00:59:05, 1561165145000, 1h
null, Dogecoin, DOGE, ETH, coinmarketcap, 0.000010877067724761115, 142469.94537600866, -0.2461, -5.9998, -8.2993, 2019-06-22T00:59:02, 1561165142000, 1h
null, VeChain, VET, ETH, coinmarketcap, 0.000023128427100437597, 100197.85100572213, -1.8489, -8.673, -16.9682, 2019-06-22T00:59:10, 1561165150000, 1h
null, Qtum, QTUM, ETH, coinmarketcap, 0.012190635707432878, 749722.5949688964, 0.6271, -5.0831, -6.0517, 2019-06-22T00:59:05, 1561165145000, 1h
null, Decred, DCR, ETH, coinmarketcap, 0.10021704404540557, 21418.334575418703, 0.2826, -5.4745, -0.9393, 2019-06-22T00:59:03, 1561165143000, 1h
null, Lisk, LSK, ETH, coinmarketcap, 0.006922028162966536, 34326.387416722275, -1.6756, -8.2288, -10.3091, 2019-06-22T00:59:03, 1561165143000, 1h
null, Bitcoin Diamond, BCD, ETH, coinmarketcap, 0.004393940103492852, 17305.910454048197, -0.0531, -5.9675, -4.7143, 2019-06-22T00:59:05, 1561165145000, 1h
null, Ravencoin, RVN, ETH, coinmarketcap, 0.0002103049495674499, 58993.691849691124, -0.1092, -8.2863, -9.6661, 2019-06-22T00:59:08, 1561165148000, 1h
null, Waves, WAVES, ETH, coinmarketcap, 0.008011951592463372, 65846.20149011111, -0.3155, -8.024, -10.4737, 2019-06-22T00:59:03, 1561165143000, 1h
null, Nano, NANO, ETH, coinmarketcap, 0.0048545888431383135, 17319.225147708, -0.7187, -8.973, -19.2693, 2019-06-22T00:59:03, 1561165143000, 1h
null, MonaCoin, MONA, ETH, coinmarketcap, 0.009690800349482442, 306007.3431274396, 0.2358, 11.5067, 28.8169, 2019-06-22T00:59:02, 1561165142000, 1h
null, Bytom, BTM, ETH, coinmarketcap, 0.0006292018147609558, 206398.6606007147, 0.4317, -5.8011, -0.1441, 2019-06-22T00:59:04, 1561165144000, 1h
null, Bytecoin, BCN, ETH, coinmarketcap, 0.0000032883784382998946, 278.5812136030335, -1.8752, -9.5308, -10.6383, 2019-06-22T00:59:02, 1561165142000, 1h
null, BitShares, BTS, ETH, coinmarketcap, 0.00021756791307697834, 20655.60747696746, 0.4743, -3.9046, -7.8048, 2019-06-22T00:59:02, 1561165142000, 1h
null, DigiByte, DGB, ETH, coinmarketcap, 0.00004660828771667532, 5259.965124729361, 0.2609, -11.7068, -0.198, 2019-06-22T00:59:02, 1561165142000, 1h
null, Komodo, KMD, ETH, coinmarketcap, 0.004784337214534361, 13395.699807088584, -0.5144, -7.7718, -20.9765, 2019-06-22T00:59:03, 1561165143000, 1h
null, ICON, ICX, ETH, coinmarketcap, 0.001137898505287972, 40372.95849159847, -0.4242, -9.6408, -19.5312, 2019-06-22T00:59:05, 1561165145000, 1h
null, Metaverse ETP, ETP, ETH, coinmarketcap, 0.0066883086875957325, 294704.7345061752, 0.0164, -10.3314, -4.3067, 2019-06-22T00:59:04, 1561165144000, 1h
null, HyperCash, HC, ETH, coinmarketcap, 0.010991227142400696, 26913.33155070575, -1.4557, -9.2482, 7.6154, 2019-06-22T00:59:04, 1561165144000, 1h
null, Verge, XVG, ETH, coinmarketcap, 0.000029997284430406793, 8451.462626822267, -0.3607, -8.1865, -10.2715, 2019-06-22T00:59:02, 1561165142000, 1h
null, Aeternity, AE, ETH, coinmarketcap, 0.0017330414556805133, 77784.14983185541, -0.3534, -8.41, -13.1206, 2019-06-22T00:59:04, 1561165144000, 1h
null, GXChain, GXC, ETH, coinmarketcap, 0.0076818511755769306, 52067.024735247935, -0.2413, -7.587, -8.172, 2019-06-22T00:59:04, 1561165144000, 1h
null, Siacoin, SC, ETH, coinmarketcap, 0.000010477937005680494, 7671.278190811883, 0.308, -7.9352, -14.2218, 2019-06-22T00:59:03, 1561165143000, 1h
null, Steem, STEEM, ETH, coinmarketcap, 0.0013280426296885242, 6842.401874678457, 0.0192, -10.0602, -13.692, 2019-06-22T00:59:03, 1561165143000, 1h
null, Ardor, ARDR, ETH, coinmarketcap, 0.00039504475460902706, 7303.343152987679, 0.0326, -10.2798, 0.2946, 2019-06-22T00:59:03, 1561165143000, 1h
null, THETA, THETA, ETH, coinmarketcap, 0.00042424434248207433, 10368.16393552957, -0.0673, -9.4073, -14.2129, 2019-06-22T00:59:07, 1561165147000, 1h
