id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 34.78788539689462, 81231901.28330085, -0.4703, 2.1291, 6.2588, 2019-06-22T10:59:28, 1561201168000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 32434478.783985194, 0, 0, 0, 2019-06-22T10:59:15, 1561201155000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.0014850550158915891, 6647464.974259973, 0.0297, -3.284, -3.3558, 2019-06-22T10:59:03, 1561201143000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.4587820196690128, 15948493.323967157, -0.2998, -4.5096, -10.3135, 2019-06-22T10:59:04, 1561201144000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.4501626648264143, 6798417.649538631, -0.1782, -2.3794, -8.4637, 2019-06-22T10:59:05, 1561201145000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.02360388405527171, 9513333.091647053, -0.405, -3.8256, -6.6863, 2019-06-22T10:59:03, 1561201143000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.12782479388173934, 1521191.2888880852, 1.2035, -2.3329, 2.1587, 2019-06-22T10:59:04, 1561201144000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.7314001867962205, 1594360.3817226412, -0.2117, -5.8284, -9.0655, 2019-06-22T10:59:11, 1561201151000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.0004130733176946102, 990967.2252206447, -0.1718, -4.9279, -13.239, 2019-06-22T10:59:02, 1561201142000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.00029728864542876435, 462136.52577976126, 0.4013, -5.4518, -13.8208, 2019-06-22T10:59:03, 1561201143000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.00011290712796760709, 2204425.301557082, 0.3427, -3.1348, -8.362, 2019-06-22T10:59:04, 1561201144000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.36962709496211305, 462874.03142713185, 0.1252, -2.6913, 5.3273, 2019-06-22T10:59:01, 1561201141000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.576254086962455, 1372767.2342282603, -0.2246, 0.1496, -1.0202, 2019-06-22T10:59:02, 1561201142000, 1h
null, Cosmos, ATOM, ETH, coinmarketcap, 0.021900947039060193, 219763.49586844383, 1.1452, -4.6136, -7.0436, 2019-06-22T10:59:11, 1561201151000, 1h
null, IOTA, MIOTA, ETH, coinmarketcap, 0.0014434378992864328, 95926.83545835549, 0.7309, -4.2491, -12.1342, 2019-06-22T10:59:02, 1561201142000, 1h
null, NEO, NEO, ETH, coinmarketcap, 0.04738100947491691, 1558611.5654823687, -0.221, -1.6793, -9.5895, 2019-06-22T10:59:03, 1561201143000, 1h
null, Ethereum Classic, ETC, ETH, coinmarketcap, 0.02900642142924791, 3168077.207398652, -0.4823, -3.5849, -10.3562, 2019-06-22T10:59:03, 1561201143000, 1h
null, NEM, XEM, ETH, coinmarketcap, 0.00029097807447820844, 105931.21935136172, 0.2299, -4.2532, -9.9676, 2019-06-22T10:59:02, 1561201142000, 1h
null, Tezos, XTZ, ETH, coinmarketcap, 0.003807904829326135, 23285.356704148937, -0.3496, -9.7313, -18.1928, 2019-06-22T10:59:03, 1561201143000, 1h
null, Zcash, ZEC, ETH, coinmarketcap, 0.3669348445455777, 1909674.3751765904, -0.4133, -6.9368, 5.5642, 2019-06-22T10:59:03, 1561201143000, 1h
null, Ontology, ONT, ETH, coinmarketcap, 0.004804303549967805, 555280.1313110412, -0.0407, -4.0226, -11.7184, 2019-06-22T10:59:06, 1561201146000, 1h
null, Bitcoin Gold, BTG, ETH, coinmarketcap, 0.09614229695418541, 70129.32183184323, -0.9203, -3.628, -6.1654, 2019-06-22T10:59:04, 1561201144000, 1h
null, Dogecoin, DOGE, ETH, coinmarketcap, 0.000010607507545410543, 166175.26655560196, -0.4321, -4.3996, -10.1297, 2019-06-22T10:59:02, 1561201142000, 1h
null, VeChain, VET, ETH, coinmarketcap, 0.000021881792165375115, 125854.27421302666, -0.2255, -10.8943, -21.7875, 2019-06-22T10:59:08, 1561201148000, 1h
null, Qtum, QTUM, ETH, coinmarketcap, 0.011907485119085693, 843828.8039195037, -0.049, -4.2255, -10.4571, 2019-06-22T10:59:03, 1561201143000, 1h
null, Decred, DCR, ETH, coinmarketcap, 0.09714682207268659, 29736.144968675337, -0.2019, -6.4307, -4.5052, 2019-06-22T10:59:02, 1561201142000, 1h
null, Lisk, LSK, ETH, coinmarketcap, 0.007045503215621278, 37364.63664309638, 4.8197, -3.8864, -8.3354, 2019-06-22T10:59:02, 1561201142000, 1h
null, Bitcoin Diamond, BCD, ETH, coinmarketcap, 0.004265146631785157, 20846.415183045505, -0.0877, -6.9044, -7.8392, 2019-06-22T10:59:04, 1561201144000, 1h
null, Waves, WAVES, ETH, coinmarketcap, 0.0076965199540898884, 74704.77548243212, 0.0414, -8.4528, -14.2646, 2019-06-22T10:59:02, 1561201142000, 1h
null, Ravencoin, RVN, ETH, coinmarketcap, 0.00019805044014874472, 73035.40474339062, 0.0669, -8.6304, -16.4305, 2019-06-22T10:59:06, 1561201146000, 1h
