id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 10882.9948085, 20991681100.4666, -0.375647, -1.38164, 17.1569, 2019-06-24T23:59:26, 1561420766000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 307.052227374, 8644772224.73826, -0.570768, -2.31333, 12.5587, 2019-06-24T23:59:21, 1561420761000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.46026477138, 1808243109.01336, -0.01936, -3.86477, 4.57059, 2019-06-24T23:59:04, 1561420744000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 470.053525532, 2028630724.64139, 0.0135341, -3.33847, 9.05908, 2019-06-24T23:59:06, 1561420746000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 133.392086555, 4126289122.87117, -0.12419, -4.72363, -0.695805, 2019-06-24T23:59:04, 1561420744000, 1h
null, EOS, EOS, USD, coinmarketcap, 7.11910298021, 2381187463.69467, -0.195451, -4.05394, 0.297736, 2019-06-24T23:59:06, 1561420746000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 37.011153062, 335197351.257849, -0.0326749, -0.96241, 9.04527, 2019-06-24T23:59:05, 1561420745000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 232.867512303, 484198437.485762, -0.377371, -3.10536, 4.88632, 2019-06-24T23:59:11, 1561420751000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.0379158851789, 943316694.975855, -0.24109, 0.095956, 12.383, 2019-06-24T23:59:06, 1561420746000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.0961020820724, 149682585.98745, -0.0668326, -1.51251, 3.45187, 2019-06-24T23:59:05, 1561420745000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.126386628997, 392500392.56912, -0.0801332, -2.97129, -2.87718, 2019-06-24T23:59:03, 1561420743000, 1h
null, Monero, XMR, USD, coinmarketcap, 116.900699883, 138953310.313173, -0.516481, -1.17467, 18.7154, 2019-06-24T23:59:03, 1561420743000, 1h
null, Dash, DASH, USD, coinmarketcap, 175.500760856, 373946417.46446, 0.115619, -1.44987, 10.3073, 2019-06-24T23:59:04, 1561420744000, 1h
null, Cosmos, ATOM, USD, coinmarketcap, 6.56636571104, 60186287.5152344, -0.489636, -5.34394, -5.15697, 2019-06-24T23:59:11, 1561420751000, 1h
