id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 2741809.2943227664, 0, 0, 0, 2019-06-23T03:59:28, 1561262368000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.02889437492353125, 973120.6283249622, -0.4051, -1.1589, -4.6699, 2019-06-23T03:59:21, 1561262361000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.000044471867184730215, 340015.5309781862, -0.0094, 2.1776, -4.0799, 2019-06-23T03:59:02, 1561262342000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.013088998269871676, 501760.02134565345, -1.1583, -4.0799, -14.9051, 2019-06-23T03:59:04, 1561262344000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.04518136651758433, 340172.5145824166, 1.0438, 4.7111, -4.9619, 2019-06-23T03:59:05, 1561262345000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0006971177786207736, 332245.80811915564, -0.2993, -0.2606, -10.3437, 2019-06-23T03:59:06, 1561262346000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0034717694107167306, 38657.005180163105, -1.5078, -7.5974, -5.4947, 2019-06-23T03:59:04, 1561262344000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.022322991486885605, 73762.42145721386, 0.0259, 2.5255, -5.9912, 2019-06-23T03:59:11, 1561262351000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.000011996767634676949, 46850.63575040003, -0.459, -1.4283, -15.6023, 2019-06-23T03:59:03, 1561262343000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.0000034496157194996354, 89816.08558676126, -0.7051, 4.8948, -6.2595, 2019-06-23T03:59:05, 1561262345000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000008728761833904313, 22670.022062430522, -0.8568, -0.9533, -15.3151, 2019-06-23T03:59:04, 1561262344000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010693688492962412, 13207.466151281362, -0.1061, -0.6671, 0.7193, 2019-06-23T03:59:02, 1561262342000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.01631813820295711, 43996.15858765008, -0.7148, -1.08, -6.6698, 2019-06-23T03:59:04, 1561262344000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.00004277160700099087, 3887.415186759667, -0.9119, 2.1407, -13.3676, 2019-06-23T03:59:03, 1561262343000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.0006169225372140432, 7512.7406401889775, -1.0986, -4.0399, -11.2872, 2019-06-23T03:59:11, 1561262351000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.0016283089908984867, 98933.68241448075, -0.3436, 17.811, 3.7741, 2019-06-23T03:59:04, 1561262344000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.0008480673428164864, 100967.66872301775, -0.7598, -1.6584, -12.3693, 2019-06-23T03:59:03, 1561262343000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.000008563567367495177, 3370.656344807161, -0.9318, -0.9096, -10.8454, 2019-06-23T03:59:02, 1561262342000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.0001146543086379564, 957.2806139143654, 0.1632, 0.3447, -18.323, 2019-06-23T03:59:04, 1561262344000, 1h
null, Ontology, ONT, BTC, coinmarketcap, 0.00014908843259820896, 25117.02132584732, 0.1962, 5.5685, -7.8446, 2019-06-23T03:59:06, 1561262346000, 1h
null, Zcash, ZEC, BTC, coinmarketcap, 0.01045938899415697, 64775.24028565106, -0.9038, -3.0636, 0.7054, 2019-06-23T03:59:03, 1561262343000, 1h
null, Bitcoin Gold, BTG, BTC, coinmarketcap, 0.00282811524314641, 2926.6597701093997, -0.3349, -0.853, -6.4895, 2019-06-23T03:59:04, 1561262344000, 1h
null, Dogecoin, DOGE, BTC, coinmarketcap, 3.0339247213083344E-7, 5289.862752761321, -0.7923, -4.2891, -14.6853, 2019-06-23T03:59:02, 1561262342000, 1h
null, VeChain, VET, BTC, coinmarketcap, 6.427963598709205E-7, 5514.121945370279, -1.3938, -1.7427, -21.4888, 2019-06-23T03:59:09, 1561262349000, 1h
null, Qtum, QTUM, BTC, coinmarketcap, 0.0003660632976548189, 32156.86581689354, 0.2825, 4.1563, -7.5433, 2019-06-23T03:59:03, 1561262343000, 1h
null, Decred, DCR, BTC, coinmarketcap, 0.002833390775798595, 4729.530558364836, -1.5062, -2.6298, -9.5611, 2019-06-23T03:59:02, 1561262342000, 1h
null, Lisk, LSK, BTC, coinmarketcap, 0.00020006116822054835, 1228.3768915338896, 0.9851, -3.1547, -11.1658, 2019-06-23T03:59:02, 1561262342000, 1h
null, Bitcoin Diamond, BCD, BTC, coinmarketcap, 0.00012319014424781055, 1429.385203477175, -1.1969, -3.6671, -10.9915, 2019-06-23T03:59:04, 1561262344000, 1h
null, Waves, WAVES, BTC, coinmarketcap, 0.00022257338181110769, 2305.4029494373035, -0.8117, -2.6656, -16.8287, 2019-06-23T03:59:02, 1561262342000, 1h
null, Ravencoin, RVN, BTC, coinmarketcap, 0.0000056826165552935575, 3362.0784964979694, -4.3547, -5.4582, -17.48, 2019-06-23T03:59:06, 1561262346000, 1h
null, Nano, NANO, BTC, coinmarketcap, 0.00014112548231623166, 933.9839401426945, -3.1373, 1.3053, -20.2412, 2019-06-23T03:59:02, 1561262342000, 1h
null, Bytecoin, BCN, BTC, coinmarketcap, 9.792833892166163E-8, 12.364971830336524, -5.748, -0.5606, -11.3954, 2019-06-23T03:59:01, 1561262341000, 1h
null, Bytom, BTM, BTC, coinmarketcap, 0.00001770505798833301, 2894.384433697583, -1.1836, -1.3753, -6.5964, 2019-06-23T03:59:03, 1561262343000, 1h
null, DigiByte, DGB, BTC, coinmarketcap, 0.000001371523568394142, 207.14640357821537, -1.727, 2.3357, -4.079, 2019-06-23T03:59:02, 1561262342000, 1h
null, BitShares, BTS, BTC, coinmarketcap, 0.000005977554663211712, 852.0127711527672, -0.2126, -5.7824, -16.2456, 2019-06-23T03:59:01, 1561262341000, 1h
null, MonaCoin, MONA, BTC, coinmarketcap, 0.00024634657500767205, 3443.230579519069, -3.5143, -10.645, 10.7181, 2019-06-23T03:59:01, 1561262341000, 1h
null, HyperCash, HC, BTC, coinmarketcap, 0.000361396394367293, 1811.9326383559862, -1.0294, 15.1254, 22.7709, 2019-06-23T03:59:03, 1561262343000, 1h
null, ICON, ICX, BTC, coinmarketcap, 0.00003184522567046412, 1570.1546290784802, -1.3472, -2.4447, -24.0363, 2019-06-23T03:59:04, 1561262344000, 1h
null, Komodo, KMD, BTC, coinmarketcap, 0.00012464220184458456, 528.8534516396742, -2.3069, -10.0794, -29.7134, 2019-06-23T03:59:02, 1561262342000, 1h
null, Verge, XVG, BTC, coinmarketcap, 8.560860021811368E-7, 394.18450447310346, -0.5996, 0.7462, -16.9607, 2019-06-23T03:59:02, 1561262342000, 1h
null, Aeternity, AE, BTC, coinmarketcap, 0.00004833081921860687, 3975.166898491767, -0.735, -3.4678, -19.1118, 2019-06-23T03:59:03, 1561262343000, 1h
null, GXChain, GXC, BTC, coinmarketcap, 0.00021744649416958326, 1814.7070025536275, -1.8177, -0.6864, -18.4495, 2019-06-23T03:59:03, 1561262343000, 1h
null, Metaverse ETP, ETP, BTC, coinmarketcap, 0.00017584013539004826, 4389.696016050483, 0.3341, -10.037, -16.1241, 2019-06-23T03:59:03, 1561262343000, 1h
null, ABBC Coin, ABBC, BTC, coinmarketcap, 0.000024383101547098956, 4685.74863240822, -2.324, 35.0407, 12.5907, 2019-06-23T03:59:10, 1561262350000, 1h
null, Siacoin, SC, BTC, coinmarketcap, 2.899848728612335E-7, 524.856489302104, -1.2552, -4.8617, -20.6769, 2019-06-23T03:59:02, 1561262342000, 1h
null, Steem, STEEM, BTC, coinmarketcap, 0.00003702096109568136, 228.64279237837823, -1.7859, -2.5681, -17.9536, 2019-06-23T03:59:02, 1561262342000, 1h
null, Ardor, ARDR, BTC, coinmarketcap, 0.000011134629441607338, 400.468528091533, -0.664, -4.0132, -4.8542, 2019-06-23T03:59:02, 1561262342000, 1h
null, THETA, THETA, BTC, coinmarketcap, 0.000012126340823343669, 571.6800047622256, -1.5215, -0.5242, -16.764, 2019-06-23T03:59:05, 1561262345000, 1h
null, Zcoin, XZC, BTC, coinmarketcap, 0.0012065657860191475, 475.81242313376157, -2.3469, -3.9996, -7.2536, 2019-06-23T03:59:02, 1561262342000, 1h
null, Energi, NRG, BTC, coinmarketcap, 0.000512958102825552, 87.58224856083756, -0.2177, 19.3984, 16.4957, 2019-06-23T03:59:09, 1561262349000, 1h
null, Stratis, STRAT, BTC, coinmarketcap, 0.00008879288566958634, 334.6557194844548, -0.6974, -1.2107, -16.7645, 2019-06-23T03:59:02, 1561262342000, 1h
null, TrueChain, TRUE, BTC, coinmarketcap, 0.00009396254469643037, 6060.506563378141, -0.8415, -1.6282, -20.3803, 2019-06-23T03:59:06, 1561262346000, 1h
null, Nebulas, NAS, BTC, coinmarketcap, 0.0001466461939618079, 1055.095762532916, 0.4712, 5.8869, -18.4879, 2019-06-23T03:59:03, 1561262343000, 1h
null, Grin, GRIN, BTC, coinmarketcap, 0.0005062741810571081, 5827.277278124778, -0.965, 9.6051, -2.5811, 2019-06-23T03:59:11, 1561262351000, 1h
