id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 35.600635104025635, 69676286.5154244, 0.1814, 2.4193, 4.6448, 2019-06-24T21:59:29, 1561413569000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 27600873.989811715, 0, 0, 0, 2019-06-24T21:59:18, 1561413558000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.0014991943102320381, 6028489.040606161, 0.8275, -1.8049, -6.4051, 2019-06-24T21:59:03, 1561413543000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.5281057553168587, 6683490.859505347, 0.3835, -0.8334, -3.4044, 2019-06-24T21:59:05, 1561413545000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.432672584551912, 13321220.765283123, -0.3491, -3.5006, -12.3254, 2019-06-24T21:59:03, 1561413543000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.02313873576127278, 7633976.18573968, -0.3913, -1.7856, -11.1455, 2019-06-24T21:59:04, 1561413544000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.12029717157468622, 1150479.4545552647, -0.1345, 0.0515, -2.9293, 2019-06-24T21:59:03, 1561413543000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.7626617554123376, 1644612.1305771237, 0.6194, 0.1738, -6.5056, 2019-06-24T21:59:11, 1561413551000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.00012346652319158064, 3149809.4767838544, 0.2632, 1.4203, 0.1627, 2019-06-24T21:59:05, 1561413545000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.0003114419678199662, 542675.1456099431, 0.3191, -1.5166, -8.4729, 2019-06-24T21:59:04, 1561413544000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.00041563880609002537, 1271320.3322506337, 1.2494, -0.0334, -12.6183, 2019-06-24T21:59:02, 1561413542000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.38427530761362383, 473871.7889736556, 0.4137, 2.2311, 6.5358, 2019-06-24T21:59:02, 1561413542000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.5707009096797008, 1240605.6595726118, 0.1941, 1.2141, -2.0088, 2019-06-24T21:59:02, 1561413542000, 1h
null, Cosmos, ATOM, ETH, coinmarketcap, 0.0215218595974605, 191837.72882539188, 0.0855, -3.2934, -14.8485, 2019-06-24T21:59:10, 1561413550000, 1h
null, IOTA, MIOTA, ETH, coinmarketcap, 0.0014668024859986644, 82381.93851015295, -0.1223, -1.5726, -8.9399, 2019-06-24T21:59:03, 1561413543000, 1h
null, NEO, NEO, ETH, coinmarketcap, 0.05733326044875683, 2305217.2986362083, 0.0218, 4.7306, 10.2997, 2019-06-24T21:59:02, 1561413542000, 1h
null, Ethereum Classic, ETC, ETH, coinmarketcap, 0.029748733718513314, 2731044.694242352, -0.5434, -1.2801, -7.3294, 2019-06-24T21:59:03, 1561413543000, 1h
null, NEM, XEM, ETH, coinmarketcap, 0.00029278968876841806, 117691.07702313544, 0.4831, -0.4516, -11.8152, 2019-06-24T21:59:01, 1561413541000, 1h
null, Ontology, ONT, ETH, coinmarketcap, 0.005097650850391095, 515657.42584871495, 0.6108, 1.2197, -8.2022, 2019-06-24T21:59:05, 1561413545000, 1h
null, Tezos, XTZ, ETH, coinmarketcap, 0.003722132446865822, 17812.50872216621, -0.0433, -2.747, -22.8031, 2019-06-24T21:59:03, 1561413543000, 1h
null, Zcash, ZEC, ETH, coinmarketcap, 0.3540377583001881, 1451688.0353960844, 0.1104, -1.5247, -3.5471, 2019-06-24T21:59:02, 1561413542000, 1h
null, Bitcoin Gold, BTG, ETH, coinmarketcap, 0.09844872433881022, 65025.92008930773, 0.4903, 0.2703, -3.6954, 2019-06-24T21:59:04, 1561413544000, 1h
null, Qtum, QTUM, ETH, coinmarketcap, 0.01379730522605438, 931816.7209104169, 4.6457, 9.6181, 3.8758, 2019-06-24T21:59:03, 1561413543000, 1h
null, Dogecoin, DOGE, ETH, coinmarketcap, 0.000010875810692462291, 149026.56751782983, 0.2212, 2.0949, -6.8157, 2019-06-24T21:59:03, 1561413543000, 1h
null, VeChain, VET, ETH, coinmarketcap, 0.000022615430593374944, 179422.559610912, -0.9023, -1.9288, -16.9947, 2019-06-24T21:59:08, 1561413548000, 1h
