id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 2409369.7343277778, 0, 0, 0, 2019-06-23T08:59:29, 1561280369000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.02932286334700765, 889143.7219096074, 0.3071, 2.6882, -2.2159, 2019-06-23T08:59:22, 1561280362000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.00004481298426276584, 317192.13150364364, 0.3337, 5.2689, -2.6013, 2019-06-23T08:59:05, 1561280345000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.04599520696058909, 335943.0974541275, 0.913, 10.3671, -2.8036, 2019-06-23T08:59:05, 1561280345000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.013160070754122026, 459441.26536156324, -0.3304, -0.3013, -12.6965, 2019-06-23T08:59:04, 1561280344000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0006988098164180949, 293092.96623022703, -0.1994, 2.8006, -9.5328, 2019-06-23T08:59:05, 1561280345000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0035361280304022844, 34756.01468372536, 0.6193, -2.0715, -2.5403, 2019-06-23T08:59:03, 1561280343000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.02260838891426151, 69887.13964021728, 0.4942, 7.4966, -3.6643, 2019-06-23T08:59:08, 1561280348000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000009212497446593462, 25106.480802670845, -0.5168, 8.2917, -9.3144, 2019-06-23T08:59:02, 1561280342000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.000012229398743231624, 50520.18066627298, -0.4056, 3.0324, -13.4665, 2019-06-23T08:59:03, 1561280343000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.0000034393606135256367, 82546.88466644277, -0.2647, 6.2978, -5.5771, 2019-06-23T08:59:04, 1561280344000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010835266771649053, 12295.606250407258, -0.2297, 2.2724, 2.9598, 2019-06-23T08:59:01, 1561280341000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.016457205410909656, 40256.0417584846, 0.0546, 0.6123, -5.4408, 2019-06-23T08:59:03, 1561280343000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.0006605546373836943, 6311.12168381612, 2.9361, 6.292, -4.1527, 2019-06-23T08:59:07, 1561280347000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.000043920883532683904, 3569.0271528064295, 1.6649, 6.9655, -11.0767, 2019-06-23T08:59:02, 1561280342000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.0016937632992970655, 104917.95476818079, -0.7736, 24.6321, 8.9591, 2019-06-23T08:59:03, 1561280343000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.0008665367294597683, 97096.85376054747, -0.7691, 3.5424, -9.5561, 2019-06-23T08:59:03, 1561280343000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.000008685056498214443, 3165.6203148223985, 0.0493, 4.2314, -9.3081, 2019-06-23T08:59:02, 1561280342000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.00011480062907185755, 905.9328637693114, -0.3039, 5.0722, -17.7918, 2019-06-23T08:59:03, 1561280343000, 1h
null, Ontology, ONT, BTC, coinmarketcap, 0.00015138185879507219, 23625.160032125306, -0.1272, 10.2176, -5.3687, 2019-06-23T08:59:04, 1561280344000, 1h
null, Zcash, ZEC, BTC, coinmarketcap, 0.010603420815815959, 56284.97252496092, 0.4335, 1.16, 3.5065, 2019-06-23T08:59:03, 1561280343000, 1h
null, Bitcoin Gold, BTG, BTC, coinmarketcap, 0.0028482134183845298, 2857.618519045632, -0.1341, 3.1468, -5.3063, 2019-06-23T08:59:03, 1561280343000, 1h
null, VeChain, VET, BTC, coinmarketcap, 6.656105834981918E-7, 5173.723195327872, -0.8998, 6.0456, -17.042, 2019-06-23T08:59:08, 1561280348000, 1h
null, Dogecoin, DOGE, BTC, coinmarketcap, 3.05260733369676E-7, 4600.650200315858, 0.0584, -0.2594, -13.6201, 2019-06-23T08:59:04, 1561280344000, 1h
null, Qtum, QTUM, BTC, coinmarketcap, 0.0003726436953067936, 31027.68186037628, 0.4318, 8.8933, -4.7251, 2019-06-23T08:59:03, 1561280343000, 1h
null, Decred, DCR, BTC, coinmarketcap, 0.002894651948887525, 5018.069718622085, 0.6889, 4.0788, -8.4105, 2019-06-23T08:59:01, 1561280341000, 1h
null, Lisk, LSK, BTC, coinmarketcap, 0.00020263058365368187, 1159.47026749913, 0.238, 5.7228, -12.826, 2019-06-23T08:59:01, 1561280341000, 1h
null, Bitcoin Diamond, BCD, BTC, coinmarketcap, 0.00012754711804266247, 1483.0871862803474, 2.1839, 3.9798, -6.9143, 2019-06-23T08:59:03, 1561280343000, 1h
null, Ravencoin, RVN, BTC, coinmarketcap, 0.0000060064872920279666, 2957.9508294965553, -0.3109, 5.6978, -11.6582, 2019-06-23T08:59:04, 1561280344000, 1h
null, Waves, WAVES, BTC, coinmarketcap, 0.000225858598058161, 2107.068691130595, -0.0878, 2.4503, -14.8527, 2019-06-23T08:59:02, 1561280342000, 1h
null, Nano, NANO, BTC, coinmarketcap, 0.0001474672788522429, 896.0037643550469, 1.559, 8.411, -15.2549, 2019-06-23T08:59:02, 1561280342000, 1h
null, Bytom, BTM, BTC, coinmarketcap, 0.000018510498449608246, 2956.5822066389155, -0.2039, 7.5326, -2.5275, 2019-06-23T08:59:03, 1561280343000, 1h
null, Bytecoin, BCN, BTC, coinmarketcap, 9.271875174745689E-8, 9.92474031697132, -9.8509, -6.5904, -14.9026, 2019-06-23T08:59:01, 1561280341000, 1h
null, BitShares, BTS, BTC, coinmarketcap, 0.000006151289976296829, 814.303341101761, 1.1563, 1.6624, -12.8916, 2019-06-23T08:59:01, 1561280341000, 1h
null, DigiByte, DGB, BTC, coinmarketcap, 0.0000013564787964780919, 175.87556103108466, 0.006, 2.3238, -4.0351, 2019-06-23T08:59:01, 1561280341000, 1h
null, MonaCoin, MONA, BTC, coinmarketcap, 0.00024190488525500738, 2753.5612559825304, -2.8138, -5.7148, 10.0813, 2019-06-23T08:59, 1561280340000, 1h
null, ICON, ICX, BTC, coinmarketcap, 0.000033202051450262, 1506.1271480938904, 0.3586, 5.734, -19.8589, 2019-06-23T08:59:03, 1561280343000, 1h
null, Komodo, KMD, BTC, coinmarketcap, 0.00013513222645402032, 706.0096766222555, -0.2496, 2.8163, -22.7244, 2019-06-23T08:59:01, 1561280341000, 1h
null, HyperCash, HC, BTC, coinmarketcap, 0.0003505201961220032, 1797.4861208536133, -0.8015, 12.2539, 18.7185, 2019-06-23T08:59:02, 1561280342000, 1h
null, GXChain, GXC, BTC, coinmarketcap, 0.0002516996347499858, 3490.669447597488, -2.7818, 19.1708, -3.8614, 2019-06-23T08:59:02, 1561280342000, 1h
null, Verge, XVG, BTC, coinmarketcap, 8.738295457463129E-7, 329.7907140901492, -0.0114, 4.1348, -14.2209, 2019-06-23T08:59:01, 1561280341000, 1h
