id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 1715673.7402937408, 0, 0, 0, 2019-06-20T06:59:28, 1561013968000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.028945974918446245, 616014.8273384701, -0.243, -0.6861, -9.2088, 2019-06-20T06:59:17, 1561013957000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.0000466726663780877, 122814.70418511257, 0.1595, -0.6305, -5.9617, 2019-06-20T06:59:05, 1561013945000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.014576759177098336, 469771.2511362119, -0.2466, -0.8411, -12.3068, 2019-06-20T06:59:06, 1561013946000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.04463868983129803, 135780.19378389776, -0.2265, -1.2149, -8.9714, 2019-06-20T06:59:05, 1561013945000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0007375802745584009, 171361.60361911406, -0.0788, -1.2169, -7.8227, 2019-06-20T06:59:07, 1561013947000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.003723302412657123, 55392.66020067076, -1.2943, -1.9925, -13.7104, 2019-06-20T06:59:05, 1561013945000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.02403636719290894, 30044.72034207261, -0.2889, -1.5181, -0.6773, 2019-06-20T06:59:10, 1561013950000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.000013296405997943451, 33900.354549454634, -0.0887, -2.5, -14.2805, 2019-06-20T06:59:04, 1561013944000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000009531209505305586, 14009.641622336085, 0.3956, -3.0471, -17.6951, 2019-06-20T06:59:05, 1561013945000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.0000035897382823277093, 56594.86673538096, 0.0409, -0.6493, -12.5485, 2019-06-20T06:59:06, 1561013946000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010840644960894529, 16023.343009562432, 0.166, 1.0795, -2.5789, 2019-06-20T06:59:03, 1561013943000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.01741776329736889, 29204.742254589393, -0.1374, 0.4573, -9.3413, 2019-06-20T06:59:04, 1561013944000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.0007054945855640853, 4712.079465414053, -0.386, -4.445, -6.2222, 2019-06-20T06:59:10, 1561013950000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.00004657061003984969, 4203.957255113709, -1.0194, -1.2401, -13.1574, 2019-06-20T06:59:04, 1561013944000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.0014640764468769032, 37646.268827346634, -0.4198, -3.3341, -7.6863, 2019-06-20T06:59:04, 1561013944000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.0009136598064710539, 63707.07845272321, -0.16, -1.1414, -12.9879, 2019-06-20T06:59:05, 1561013945000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.000009381044169347195, 1753.7398505891954, 0.0779, -1.1091, -11.4094, 2019-06-20T06:59:03, 1561013943000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.00012673824740134, 756.7327544903261, -1.7612, -6.0412, -18.572, 2019-06-20T06:59:04, 1561013944000, 1h
null, Zcash, ZEC, BTC, coinmarketcap, 0.01158349202049559, 37422.568174066466, -1.646, -6.6576, 6.227, 2019-06-20T06:59:05, 1561013945000, 1h
null, Ontology, ONT, BTC, coinmarketcap, 0.00015549300997782955, 14453.091376507826, -0.7757, -1.3496, -10.8284, 2019-06-20T06:59:07, 1561013947000, 1h
