id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Grin, GRIN, BTC, coinmarketcap, 0.0005487973073708257, 4042.167589454148, -0.5541, -10.4532, 22.1491, 2019-06-21T06:59:11, 1561100351000, 1h
null, Project Pai, PAI, BTC, coinmarketcap, 0.000004823350470377331, 173.12766528089344, -0.1308, -7.9842, -21.4512, 2019-06-21T06:59:08, 1561100348000, 1h
null, ReddCoin, RDD, BTC, coinmarketcap, 2.2976392311657307E-7, 48.34701017961317, 3.8738, -1.2691, 7.6869, 2019-06-21T06:59:01, 1561100341000, 1h
null, Ark, ARK, BTC, coinmarketcap, 0.000054488284681834236, 122.4896267915329, -0.064, -9.3725, -23.0709, 2019-06-21T06:59:04, 1561100344000, 1h
null, Elastos, ELA, BTC, coinmarketcap, 0.0003832485387238539, 509.69829603714663, -1.6818, -5.3645, -14.3881, 2019-06-21T06:59:07, 1561100347000, 1h
null, Thunder Token, TT, BTC, coinmarketcap, 0.000001965138291984845, 977.8872597818499, 0.1665, -8.9858, -21.7107, 2019-06-21T06:59:11, 1561100351000, 1h
null, Factom, FCT, BTC, coinmarketcap, 0.0005925689840958708, 271.38360008846445, -0.048, -8.7358, -18.3521, 2019-06-21T06:59:02, 1561100342000, 1h
null, Electroneum, ETN, BTC, coinmarketcap, 5.837409179598229E-7, 25.841127006570982, -2.1983, -7.9987, -2.5645, 2019-06-21T06:59:06, 1561100346000, 1h
null, WaykiChain, WICC, BTC, coinmarketcap, 0.0000294227560462295, 282.0219562896683, 2.0498, -4.9648, -9.6265, 2019-06-21T06:59:06, 1561100346000, 1h
null, Aion, AION, BTC, coinmarketcap, 0.000015731342118562903, 260.51114937020554, -0.2006, -8.9276, -29.735, 2019-06-21T06:59:06, 1561100346000, 1h
null, Theta Fuel, TFUEL, BTC, coinmarketcap, 0.0000012515219345951653, 969.0798684555637, -0.4634, -8.9244, -21.657, 2019-06-21T06:59:11, 1561100351000, 1h
