id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 34.5291667119352, 59845181.9698363, 0.1302, 1.3194, 9.998, 2019-06-20T13:59:26, 1561039166000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 21653831.588927127, 0, 0, 0, 2019-06-20T13:59:21, 1561039161000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.0015892316840906819, 4423776.565033984, -0.8302, -1.5322, 2.2669, 2019-06-20T13:59:02, 1561039142000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.5039200614430595, 15315273.487624124, -0.0817, -1.7016, -3.3457, 2019-06-20T13:59:04, 1561039144000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.5289936146506418, 4788307.481268516, 0.0356, -1.4656, -1.7816, 2019-06-20T13:59:04, 1561039144000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.025184317292183685, 6261698.35456017, -0.4267, -1.8474, 0.2179, 2019-06-20T13:59:05, 1561039145000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.1337554828819191, 1975672.6847661664, 3.2772, 1.7367, -2.1256, 2019-06-20T13:59:05, 1561039145000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.7947727059022692, 1128238.7090826076, -3.5311, -4.9252, -1.1205, 2019-06-20T13:59:09, 1561039149000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.00045595125981818835, 919487.2860542255, -0.0358, -2.4544, -6.4332, 2019-06-20T13:59:03, 1561039143000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.00032973026135211695, 543743.3025676315, 0.3544, -2.3838, -8.055, 2019-06-20T13:59:04, 1561039144000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.00012214866814558154, 1975051.933253324, -1.0707, -2.0307, -4.6449, 2019-06-20T13:59:05, 1561039145000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.38353551803994484, 602264.1824684166, -0.5138, 3.1797, 9.2833, 2019-06-20T13:59:02, 1561039142000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.5981087327969491, 961893.6497294032, -0.1975, 0.2499, -0.8092, 2019-06-20T13:59:03, 1561039143000, 1h
null, Cosmos, ATOM, ETH, coinmarketcap, 0.023856651662407975, 179550.89540267855, -0.4452, -4.2906, -0.8297, 2019-06-20T13:59:10, 1561039150000, 1h
null, IOTA, MIOTA, ETH, coinmarketcap, 0.0015894716171186791, 156604.81623930187, 0.2039, -3.1197, -6.2659, 2019-06-20T13:59:03, 1561039143000, 1h
