id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 10731.4662419, 24987031759.2218, 0.656002, 10.4891, 23.8502, 2019-06-22T08:59:28, 1561193968000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 306.148015916, 10142641752.3853, 0.557277, 8.23516, 15.5968, 2019-06-22T08:59:17, 1561193957000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.458550860568, 2013493662.04288, 1.41061, 4.95261, 12.6602, 2019-06-22T08:59:04, 1561193944000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 141.975425233, 4909643576.59394, 0.731746, 3.49826, 4.82698, 2019-06-22T08:59:05, 1561193945000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 448.077891104, 2108105920.29412, 0.687192, 5.87882, 6.67782, 2019-06-22T08:59:05, 1561193945000, 1h
null, EOS, EOS, USD, coinmarketcap, 7.28908519266, 2951631075.17364, 0.378056, 4.21035, 8.90679, 2019-06-22T08:59:05, 1561193945000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 38.7265680359, 478941594.291585, 0.516512, 5.39237, 17.2578, 2019-06-22T08:59:05, 1561193945000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 226.229826254, 501436544.101597, 0.709656, 2.56826, 5.99552, 2019-06-22T08:59:10, 1561193950000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.127608519044, 302623449.478444, 0.61368, 3.38943, 1.22256, 2019-06-22T08:59:03, 1561193943000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.0913828576664, 143640167.771866, 0.471546, 1.90474, -0.0283293, 2019-06-22T08:59:05, 1561193945000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.0347870694341, 677385559.345028, 0.470135, 4.85292, 6.34146, 2019-06-22T08:59:05, 1561193945000, 1h
null, Monero, XMR, USD, coinmarketcap, 113.86856512, 148808229.875369, 0.683559, 5.22961, 23.1863, 2019-06-22T08:59:03, 1561193943000, 1h
null, Dash, DASH, USD, coinmarketcap, 174.251659076, 402179421.580311, 0.366313, 7.00314, 13.0521, 2019-06-22T08:59:03, 1561193943000, 1h
null, Cosmos, ATOM, USD, coinmarketcap, 6.65539225648, 70970087.4829884, 0.0613994, 3.1311, 6.60624, 2019-06-22T08:59:10, 1561193950000, 1h
