id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 1564508.9505838247, 0, 0, 0, 2019-06-19T17:59:30, 1560967170000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.029311381054690045, 621362.6262524113, 0.0535, -0.0456, -6.3175, 2019-06-19T17:59:22, 1560967162000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.00004735671700010352, 140176.06195162176, 0.3458, -0.8385, -4.0002, 2019-06-19T17:59:05, 1560967145000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.015071796723566044, 425407.9740675527, 0.1328, 2.2466, -12.1052, 2019-06-19T17:59:08, 1560967148000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.045191148611108414, 151911.39639403438, -0.03, -0.6821, -7.0021, 2019-06-19T17:59:05, 1560967145000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0007485519534279183, 174591.03535437697, -0.1183, -1.0504, -4.9511, 2019-06-19T17:59:04, 1560967144000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0038940892051168158, 54129.262793969865, 0.4739, 2.5452, -6.96, 2019-06-19T17:59:04, 1560967144000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.024665391786589073, 34899.19649084174, 0.3686, 0.9029, 5.3552, 2019-06-19T17:59:11, 1560967151000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.00001367048393117324, 26909.064777562122, 0.1509, -1.4346, -11.9316, 2019-06-19T17:59:03, 1560967143000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000009779486174073235, 13518.893534627945, -0.5943, -1.3544, -15.4403, 2019-06-19T17:59:05, 1560967145000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.0000036827715531292616, 55905.72209587608, 1.1058, 2.2131, -8.925, 2019-06-19T17:59:05, 1560967145000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010775380743026731, 25444.83178208752, -0.0875, 1.4738, -2.121, 2019-06-19T17:59:02, 1560967142000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.017437441301527648, 31343.20020369163, 0.1683, -2.1367, -6.2623, 2019-06-19T17:59:03, 1560967143000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.0007270247380738948, 5528.978615159628, 0.0275, -0.5333, -5.0395, 2019-06-19T17:59:12, 1560967152000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.000048067947435430124, 2958.869914074296, -0.2586, 0.7156, -11.3448, 2019-06-19T17:59:04, 1560967144000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.0014919941116623553, 38784.57077160982, -0.2091, -1.0472, -5.0571, 2019-06-19T17:59:04, 1560967144000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.0009344902149780848, 66129.30444629473, 0.5742, 0.2967, -9.9478, 2019-06-19T17:59:03, 1560967143000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.00013559679363703807, 624.2265995693069, -0.006, -2.6582, -12.8157, 2019-06-19T17:59:04, 1560967144000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.000009474893499939065, 2824.7044820435444, -0.232, -0.2088, -10.6124, 2019-06-19T17:59:02, 1560967142000, 1h
null, Zcash, ZEC, BTC, coinmarketcap, 0.01193995985715207, 48213.56749758453, -0.2495, 0.2006, 11.6862, 2019-06-19T17:59:03, 1560967143000, 1h
null, Ontology, ONT, BTC, coinmarketcap, 0.00015598348794158075, 11853.394777612513, 0.1337, -1.8258, -11.577, 2019-06-19T17:59:07, 1560967147000, 1h
null, Bitcoin Gold, BTG, BTC, coinmarketcap, 0.002947387488129692, 2150.70050843904, 0.2177, -0.2476, -9.0217, 2019-06-19T17:59:05, 1560967145000, 1h
null, VeChain, VET, BTC, coinmarketcap, 8.014842512777141E-7, 2023.7030980267873, 0.0184, 1.0571, -14.9215, 2019-06-19T17:59:09, 1560967149000, 1h
null, Dogecoin, DOGE, BTC, coinmarketcap, 3.4312393383481793E-7, 6010.018234258516, 0.6025, -0.2564, -9.3291, 2019-06-19T17:59:02, 1560967142000, 1h
null, Qtum, QTUM, BTC, coinmarketcap, 0.0003912437092836575, 22873.535891973792, -0.347, 0.0515, -1.2156, 2019-06-19T17:59:03, 1560967143000, 1h
null, Decred, DCR, BTC, coinmarketcap, 0.00308880093293074, 208.9818613771216, 0.2425, -2.9705, -11.3948, 2019-06-19T17:59:02, 1560967142000, 1h
null, Ravencoin, RVN, BTC, coinmarketcap, 0.0000071313024017265835, 2412.4418037743435, 0.0209, 7.6315, -11.782, 2019-06-19T17:59:07, 1560967147000, 1h
null, Lisk, LSK, BTC, coinmarketcap, 0.00022690427123941675, 727.7042876822309, 0.2802, -0.5506, -12.4755, 2019-06-19T17:59:02, 1560967142000, 1h
null, Waves, WAVES, BTC, coinmarketcap, 0.0002637864397064545, 2892.4535929454582, 1.1708, 0.7902, -12.1091, 2019-06-19T17:59:03, 1560967143000, 1h
null, Bitcoin Diamond, BCD, BTC, coinmarketcap, 0.00013870908653210759, 501.7436358721095, -0.6191, -1.6013, -9.1453, 2019-06-19T17:59:05, 1560967145000, 1h
null, Nano, NANO, BTC, coinmarketcap, 0.0001668118494116452, 357.8881026112842, 0.2341, -0.7947, -14.4344, 2019-06-19T17:59:03, 1560967143000, 1h
null, Bytecoin, BCN, BTC, coinmarketcap, 1.1375799001253588E-7, 6.41274280603482, 2.099, 5.3786, -3.3178, 2019-06-19T17:59:01, 1560967141000, 1h
null, Bytom, BTM, BTC, coinmarketcap, 0.00002062075075085336, 1752.8872827229845, -0.3704, -1.5347, 19.264, 2019-06-19T17:59:04, 1560967144000, 1h
null, Komodo, KMD, BTC, coinmarketcap, 0.00016845766980047447, 284.53382171094137, 1.7056, -1.4356, -17.5267, 2019-06-19T17:59:03, 1560967143000, 1h
null, ICON, ICX, BTC, coinmarketcap, 0.00004039650792329521, 877.7019058178265, -0.075, 3.1193, -17.6916, 2019-06-19T17:59:05, 1560967145000, 1h
null, BitShares, BTS, BTC, coinmarketcap, 0.000006891055583485123, 548.782953804245, 1.1197, 1.8909, -9.3376, 2019-06-19T17:59:01, 1560967141000, 1h
null, DigiByte, DGB, BTC, coinmarketcap, 0.0000015354455919139245, 262.3840326607, -0.3314, 8.0853, -1.9059, 2019-06-19T17:59:01, 1560967141000, 1h
null, MonaCoin, MONA, BTC, coinmarketcap, 0.0002520409320837362, 1902.4428919938741, 0.5957, 3.3981, 3.1131, 2019-06-19T17:59:01, 1560967141000, 1h
null, Metaverse ETP, ETP, BTC, coinmarketcap, 0.00022600380731160001, 3195.440965589775, 0.1869, 4.3216, 2.0438, 2019-06-19T17:59:03, 1560967143000, 1h
null, GXChain, GXC, BTC, coinmarketcap, 0.00026655635315345926, 1710.457854560856, -0.4133, 1.1181, -7.761, 2019-06-19T17:59:04, 1560967144000, 1h
null, Verge, XVG, BTC, coinmarketcap, 9.979746689775087E-7, 251.99425766187224, -0.074, 0.548, -11.3864, 2019-06-19T17:59:02, 1560967142000, 1h
null, Aeternity, AE, BTC, coinmarketcap, 0.000058082269093664314, 4601.0055989302555, -1.3092, 3.6607, -7.6769, 2019-06-19T17:59:04, 1560967144000, 1h
null, HyperCash, HC, BTC, coinmarketcap, 0.00033383405011671116, 1634.7445060138605, -0.1331, 9.7492, 20.6286, 2019-06-19T17:59:04, 1560967144000, 1h
null, Steem, STEEM, BTC, coinmarketcap, 0.00004547722799257543, 143.66925256938617, 0.1538, 0.6513, -14.5157, 2019-06-19T17:59:02, 1560967142000, 1h
null, Siacoin, SC, BTC, coinmarketcap, 3.4193191577745766E-7, 175.8428725024074, 0.5063, -0.6358, -13.5886, 2019-06-19T17:59:02, 1560967142000, 1h
null, Ardor, ARDR, BTC, coinmarketcap, 0.000013727369360065957, 1405.6447964331458, -0.4027, 12.8728, 4.459, 2019-06-19T17:59:02, 1560967142000, 1h
null, THETA, THETA, BTC, coinmarketcap, 0.000014476479635103905, 226.43841978515866, 0.2681, 3.5903, -17.031, 2019-06-19T17:59:06, 1560967146000, 1h
null, Zcoin, XZC, BTC, coinmarketcap, 0.0015319093001388364, 874.4192122317435, 0.3164, 10.9007, -1.5991, 2019-06-19T17:59:02, 1560967142000, 1h
null, Stratis, STRAT, BTC, coinmarketcap, 0.00010698841874754818, 209.82460539973513, -0.2058, 0.3619, -9.094, 2019-06-19T17:59:02, 1560967142000, 1h
null, ABBC Coin, ABBC, BTC, coinmarketcap, 0.00001937381531399159, 5134.790774226856, 0.2322, 0.8455, -19.817, 2019-06-19T17:59:10, 1560967150000, 1h
null, TrueChain, TRUE, BTC, coinmarketcap, 0.00010826817738153555, 6290.502055616252, 0.3787, -4.3056, -16.9459, 2019-06-19T17:59:06, 1560967146000, 1h
null, Nebulas, NAS, BTC, coinmarketcap, 0.00017040340304140156, 744.0227369557309, -0.4325, 2.3112, -15.3577, 2019-06-19T17:59:04, 1560967144000, 1h
null, Grin, GRIN, BTC, coinmarketcap, 0.0006145364833133033, 3780.2866383976325, -0.6347, 3.9385, 42.6005, 2019-06-19T17:59:11, 1560967151000, 1h
null, NULS, NULS, BTC, coinmarketcap, 0.00011496295057562615, 2095.869872313196, 0.5986, 5.6184, 3.2951, 2019-06-19T17:59:05, 1560967145000, 1h
null, Horizen, ZEN, BTC, coinmarketcap, 0.001202812714768119, 344.10402552308733, -0.1478, 3.7762, -8.2072, 2019-06-19T17:59:03, 1560967143000, 1h
null, Energi, NRG, BTC, coinmarketcap, 0.0004506633610190799, 31.3329607690215, 0.0882, 0.788, 18.3716, 2019-06-19T17:59:09, 1560967149000, 1h
null, Project Pai, PAI, BTC, coinmarketcap, 0.0000052966522182291924, 132.99045935291602, -1.8549, -2.5043, -14.8996, 2019-06-19T17:59:08, 1560967148000, 1h
null, Ark, ARK, BTC, coinmarketcap, 0.0000616802621641442, 71.32742097530101, 0.6164, 1.1472, -18.8869, 2019-06-19T17:59:03, 1560967143000, 1h
null, Factom, FCT, BTC, coinmarketcap, 0.0007214465413087536, 41.044035064277246, -0.5996, 7.6711, -2.0824, 2019-06-19T17:59:02, 1560967142000, 1h
null, ReddCoin, RDD, BTC, coinmarketcap, 2.297765579052193E-7, 137.54058193540817, -2.433, -2.6844, 3.8367, 2019-06-19T17:59:01, 1560967141000, 1h
null, Elastos, ELA, BTC, coinmarketcap, 0.0004293635467099823, 694.6063344269835, 4.4743, 5.5318, -2.2065, 2019-06-19T17:59:06, 1560967146000, 1h
null, Thunder Token, TT, BTC, coinmarketcap, 0.00000219299014821488, 1105.114221251941, -0.1397, 0.6114, -17.6568, 2019-06-19T17:59:12, 1560967152000, 1h
null, Electroneum, ETN, BTC, coinmarketcap, 6.568620712469446E-7, 36.14214112012137, 0.4548, 5.3923, 12.8664, 2019-06-19T17:59:05, 1560967145000, 1h
null, WaykiChain, WICC, BTC, coinmarketcap, 0.00003237875959698977, 525.4288591883682, 0.3872, 1.3147, -0.5714, 2019-06-19T17:59:06, 1560967146000, 1h
null, Aion, AION, BTC, coinmarketcap, 0.000017907947889092792, 133.7225426474795, 1.7507, 2.7097, -24.7799, 2019-06-19T17:59:05, 1560967145000, 1h
null, Theta Fuel, TFUEL, BTC, coinmarketcap, 0.0000013521869000967026, 568.430585398636, 0.5524, 3.5318, -19.2767, 2019-06-19T17:59:11, 1560967151000, 1h
null, IPChain, IPC, BTC, coinmarketcap, 0.00006612629828248021, 369.67454652987203, -0.0316, 0.4043, 1.6298, 2019-06-19T17:59:06, 1560967146000, 1h
null, Ether Zero, ETZ, BTC, coinmarketcap, 0.00003135806213420344, 291.9382715241262, 0.1311, 2.4962, 4.7884, 2019-06-19T17:59:08, 1560967148000, 1h
