id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 10853.7438384, 21000647068.9388, -0.200715, 1.26197, 19.5129, 2019-06-24T02:59:24, 1561345164000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 307.722135498, 8155659328.408, -0.624607, -0.609711, 14.0256, 2019-06-24T02:59:21, 1561345161000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.468563907414, 2116461781.49471, -0.869962, -1.55568, 9.59802, 2019-06-24T02:59:05, 1561345145000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 136.920871282, 4000909967.97127, -0.305356, -3.15089, 0.370763, 2019-06-24T02:59:05, 1561345145000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 475.336984839, 2314535230.40603, -0.386793, -0.941815, 10.8017, 2019-06-24T02:59:05, 1561345145000, 1h
null, EOS, EOS, USD, coinmarketcap, 7.24888250801, 2470862136.32012, -1.01918, -3.0209, 3.2668, 2019-06-24T02:59:05, 1561345145000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 37.134726216, 369969675.045698, -0.450155, -1.77968, 14.3309, 2019-06-24T02:59:04, 1561345144000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 237.366155135, 481450075.505987, -0.559287, -0.7395, 11.7205, 2019-06-24T02:59:07, 1561345147000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.096644323193, 245604694.013947, -0.0300629, 2.47534, 4.83457, 2019-06-24T02:59:03, 1561345143000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.0374121553863, 816674515.901418, -0.410208, 1.03475, 13.0575, 2019-06-24T02:59:04, 1561345144000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.127471625805, 394391584.277215, -1.33719, -1.23092, -1.53511, 2019-06-24T02:59:03, 1561345143000, 1h
