id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 2412532.2406826457, 0, 0, 0, 2019-06-22T15:59:29, 1561219169000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.027985063121796116, 906305.4124152557, -0.7474, -4.552, -8.1634, 2019-06-22T15:59:21, 1561219161000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.00004179210688565346, 191838.61863546545, -0.4745, -7.188, -10.6365, 2019-06-22T15:59:04, 1561219144000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.012700262941657086, 436179.54748216685, -1.7323, -10.0116, -18.6647, 2019-06-22T15:59:04, 1561219144000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.04091808543919974, 191397.27700474096, -1.1045, -7.2751, -14.9419, 2019-06-22T15:59:05, 1561219145000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0006583407256473242, 270026.5731668154, -1.3293, -8.3369, -14.6959, 2019-06-22T15:59:05, 1561219145000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0035064791590917223, 41798.7020901509, -2.8381, -8.3505, -7.8925, 2019-06-22T15:59:04, 1561219144000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.021858713475821537, 57582.000249142024, -2.678, -3.6739, -9.968, 2019-06-22T15:59:09, 1561219149000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.000011376806232431796, 25747.03364059039, -1.1945, -10.3989, -21.0667, 2019-06-22T15:59:03, 1561219143000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000008232790311346253, 14267.71100509502, -0.612, -10.4749, -21.5266, 2019-06-22T15:59:03, 1561219143000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.0000031705804420726587, 64596.841072445844, -1.1937, -7.0233, -14.9385, 2019-06-22T15:59:04, 1561219144000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010420535292212495, 13088.635524129337, -1.2698, -5.9779, -2.5593, 2019-06-22T15:59:01, 1561219141000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.016130812137074194, 39514.43882816462, -0.4404, -3.5497, -8.9442, 2019-06-22T15:59:02, 1561219142000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.0006022068922951158, 6176.180077288916, -2.1232, -8.9096, -15.6078, 2019-06-22T15:59:08, 1561219148000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.000040098154572926176, 2740.784341278906, -1.3071, -8.8782, -19.4571, 2019-06-22T15:59:02, 1561219142000, 1h
