id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 2542409.78059705, 0, 0, 0, 2019-06-26T15:59:32, 1561564772000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.02707549423170952, 986775.5405931638, 0.7636, -1.4983, -7.6882, 2019-06-26T15:59:18, 1561564758000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.00003842633879687717, 220848.60260701683, 0.6187, -6.379, -18.7355, 2019-06-26T15:59:04, 1561564744000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.03972749426667122, 219022.1165485373, -0.6048, -4.6387, -12.4189, 2019-06-26T15:59:05, 1561564745000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.010768077949134222, 377327.0533283955, -0.6826, -8.5743, -28.538, 2019-06-26T15:59:02, 1561564742000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0005798817388005839, 263683.89613053825, -0.6397, -7.7672, -22.7264, 2019-06-26T15:59:05, 1561564745000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0029219055907886123, 27513.574779133796, -1.0451, -9.8398, -24.4359, 2019-06-26T15:59:04, 1561564744000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.01942196996660916, 51118.936165124775, 0.7134, -7.3569, -20.799, 2019-06-26T15:59:10, 1561564750000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.0000030936893575391106, 90022.11952938598, -0.0303, -9.7118, -15.4335, 2019-06-26T15:59:05, 1561564745000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000007905439986874457, 24310.79721244131, -0.8726, -5.8402, -19.9222, 2019-06-26T15:59:04, 1561564744000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.00001014305192163245, 46776.28104234571, 0.6857, -8.8072, -25.8544, 2019-06-26T15:59:02, 1561564742000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.008406913876219542, 19815.403203223814, 0.0186, -18.1254, -22.6706, 2019-06-26T15:59:01, 1561564741000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.014235537984422552, 36606.25432076285, 0.5681, -9.6427, -18.5423, 2019-06-26T15:59:01, 1561564741000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.0015809358387042728, 87019.41504408137, -1.5241, -0.3662, 5.078, 2019-06-26T15:59:03, 1561564743000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.00003710907089842888, 2957.513184706759, -1.0208, -6.4271, -22.7371, 2019-06-26T15:59:03, 1561564743000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.0005307867694958263, 6624.622511265112, -0.4168, -8.5359, -27.1947, 2019-06-26T15:59:11, 1561564751000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.0007483700320362909, 73927.56214838928, -0.054, -7.5397, -19.7114, 2019-06-26T15:59:04, 1561564744000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.000008060962534234666, 3915.8665659408643, 2.9664, 0.9517, -15.0517, 2019-06-26T15:59:02, 1561564742000, 1h
null, Ontology, ONT, BTC, coinmarketcap, 0.00013944257382630934, 21708.075624664565, -0.9565, -3.5348, -11.4692, 2019-06-26T15:59:05, 1561564745000, 1h
null, Zcash, ZEC, BTC, coinmarketcap, 0.008518868229249191, 39490.75491186194, -0.0863, -9.9167, -29.6402, 2019-06-26T15:59:03, 1561564743000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.00008473800242810348, 805.3454642033767, 0.4934, -13.8533, -37.4501, 2019-06-26T15:59:03, 1561564743000, 1h
null, Bitcoin Gold, BTG, BTC, coinmarketcap, 0.00254749611266916, 1806.5749984304668, -0.234, -5.1746, -13.5642, 2019-06-26T15:59:04, 1561564744000, 1h
null, Qtum, QTUM, BTC, coinmarketcap, 0.00044555500165105813, 70352.03117382494, -1.1147, 16.0074, 13.1319, 2019-06-26T15:59:03, 1561564743000, 1h
null, VeChain, VET, BTC, coinmarketcap, 7.073531175977346E-7, 15141.833568371469, -1.094, -13.0641, -11.6068, 2019-06-26T15:59:08, 1561564748000, 1h
null, Dogecoin, DOGE, BTC, coinmarketcap, 2.5884434112599353E-7, 3878.007723315777, -0.5955, -12.6378, -24.2148, 2019-06-26T15:59:02, 1561564742000, 1h
null, Decred, DCR, BTC, coinmarketcap, 0.002690267478914482, 2911.7692768885154, -0.28, -3.693, -12.7771, 2019-06-26T15:59:02, 1561564742000, 1h
null, V Systems, VSYS, BTC, coinmarketcap, 0.000012467019068842694, 1087.380172965805, -1.3283, -3.2618, -12.1211, 2019-06-26T15:59:10, 1561564750000, 1h
null, Bitcoin Diamond, BCD, BTC, coinmarketcap, 0.00010888480057935019, 1007.3719656575967, 0.1289, -6.2724, -22.3074, 2019-06-26T15:59:04, 1561564744000, 1h
null, Lisk, LSK, BTC, coinmarketcap, 0.00016514791170268566, 984.1607026702385, 1.3473, -9.1133, -27.2686, 2019-06-26T15:59:02, 1561564742000, 1h
null, HyperCash, HC, BTC, coinmarketcap, 0.0004398123406122956, 7476.152171606097, 1.3292, -1.0438, 30.927, 2019-06-26T15:59:03, 1561564743000, 1h
null, Ravencoin, RVN, BTC, coinmarketcap, 0.000004735214555364553, 2874.830128971732, -3.3241, -15.0682, -33.4021, 2019-06-26T15:59:06, 1561564746000, 1h
null, Waves, WAVES, BTC, coinmarketcap, 0.00018137685971619945, 2336.5305841523887, -0.7806, -11.2112, -30.9185, 2019-06-26T15:59:03, 1561564743000, 1h
null, BitShares, BTS, BTC, coinmarketcap, 0.000005845265231331631, 1224.3648637997017, -1.1837, -3.8818, -14.3776, 2019-06-26T15:59:02, 1561564742000, 1h
null, Bytom, BTM, BTC, coinmarketcap, 0.000015495103997882385, 4095.9593088150186, 0.198, -6.6312, -25.2642, 2019-06-26T15:59:03, 1561564743000, 1h
null, Nano, NANO, BTC, coinmarketcap, 0.00011180167391587954, 793.2063068655345, -1.8936, -14.3493, -32.9487, 2019-06-26T15:59:02, 1561564742000, 1h
null, MonaCoin, MONA, BTC, coinmarketcap, 0.00022299673474007463, 2019.8322929845813, -0.1264, -10.9937, -11.7422, 2019-06-26T15:59:01, 1561564741000, 1h
null, Bytecoin, BCN, BTC, coinmarketcap, 7.921018817997362E-8, 16.607584366871333, -1.957, -13.9673, -28.9794, 2019-06-26T15:59:01, 1561564741000, 1h
null, DigiByte, DGB, BTC, coinmarketcap, 0.0000011295943354072056, 189.57178851012426, 0.7746, -8.3504, -26.3139, 2019-06-26T15:59:01, 1561564741000, 1h
null, ICON, ICX, BTC, coinmarketcap, 0.000028088492429066, 2231.514715251251, -1.0557, -6.686, -29.7447, 2019-06-26T15:59:04, 1561564744000, 1h
null, ABBC Coin, ABBC, BTC, coinmarketcap, 0.000024394112906338196, 6543.544976835756, -0.5025, 7.02, 27.304, 2019-06-26T15:59:09, 1561564749000, 1h
null, Energi, NRG, BTC, coinmarketcap, 0.0006963466514817311, 192.4059354052213, -0.2393, -5.5503, 58.7296, 2019-06-26T15:59:08, 1561564748000, 1h
