id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 12582.3244728, 31160460717.6742, -1.04237, 11.0894, 37.423, 2019-06-26T10:59:26, 1561546766000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 331.127715572, 11716667034.5213, -0.342082, 5.70004, 23.5129, 2019-06-26T10:59:18, 1561546758000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.473565211156, 2553219896.04646, -0.377821, 1.18369, 9.65094, 2019-06-26T10:59:04, 1561546744000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 488.582515095, 2586828805.85087, -0.131047, 2.01841, 17.6729, 2019-06-26T10:59:03, 1561546743000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 135.211424211, 4824883832.17368, -0.234453, -0.277802, -0.829973, 2019-06-26T10:59:03, 1561546743000, 1h
null, EOS, EOS, USD, coinmarketcap, 7.21959378387, 3235547195.16944, -0.192437, -0.230839, 5.13151, 2019-06-26T10:59:05, 1561546745000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 37.4324370262, 341663757.733803, 0.653251, 1.73429, 6.45487, 2019-06-26T10:59:04, 1561546744000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 240.063702963, 592225534.091328, 0.0742674, 0.496185, 7.06495, 2019-06-26T10:59:08, 1561546748000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.0387268510237, 1094170526.56612, -0.319474, -1.99388, 16.2266, 2019-06-26T10:59:03, 1561546743000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.0982050198048, 280791690.949501, -0.18883, 1.85275, 8.52343, 2019-06-26T10:59:03, 1561546743000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.126324246566, 582599819.876231, -0.764153, -0.914428, 0.762323, 2019-06-26T10:59:03, 1561546743000, 1h
null, Monero, XMR, USD, coinmarketcap, 106.827440539, 224350309.566521, 0.870873, -7.44779, 7.82251, 2019-06-26T10:59:02, 1561546742000, 1h
null, Dash, DASH, USD, coinmarketcap, 178.249615626, 431551802.984916, -0.469384, 0.266905, 11.7225, 2019-06-26T10:59:03, 1561546743000, 1h
null, NEO, NEO, USD, coinmarketcap, 19.602018605, 1101609152.26102, -0.505852, 10.9182, 41.7259, 2019-06-26T10:59:02, 1561546742000, 1h
null, IOTA, MIOTA, USD, coinmarketcap, 0.470300500381, 35408150.0406971, -0.317402, 4.18151, 7.69461, 2019-06-26T10:59:02, 1561546742000, 1h
null, Cosmos, ATOM, USD, coinmarketcap, 6.68912021267, 85541859.4957252, 0.806632, 2.18178, -0.483222, 2019-06-26T10:59:07, 1561546747000, 1h
null, Ethereum Classic, ETC, USD, coinmarketcap, 9.35049102236, 901993457.397312, -0.192796, 1.64737, 9.76395, 2019-06-26T10:59:03, 1561546743000, 1h
null, NEM, XEM, USD, coinmarketcap, 0.0966173099952, 40190001.3385027, 0.689142, 5.36119, 11.0315, 2019-06-26T10:59:02, 1561546742000, 1h
null, Ontology, ONT, USD, coinmarketcap, 1.74837843224, 297570180.076003, 0.375456, 9.1168, 20.8698, 2019-06-26T10:59:05, 1561546745000, 1h
null, Zcash, ZEC, USD, coinmarketcap, 106.020659045, 486778508.130603, -0.671129, -1.21901, -5.7834, 2019-06-26T10:59:03, 1561546743000, 1h
null, Tezos, XTZ, USD, coinmarketcap, 1.06958782026, 9403615.61560829, -3.51946, -7.14596, -13.7094, 2019-06-26T10:59:02, 1561546742000, 1h
null, Bitcoin Gold, BTG, USD, coinmarketcap, 32.2072919838, 22192107.7447165, -0.208774, 6.12587, 20.0694, 2019-06-26T10:59:04, 1561546744000, 1h
null, Qtum, QTUM, USD, coinmarketcap, 5.54723194418, 860836123.419654, -0.932922, 29.9503, 52.5604, 2019-06-26T10:59:03, 1561546743000, 1h
null, VeChain, VET, USD, coinmarketcap, 0.00902219076729, 218511418.339912, -3.75544, -8.00426, 22.8306, 2019-06-26T10:59:06, 1561546746000, 1h
null, Dogecoin, DOGE, USD, coinmarketcap, 0.0033111451072, 48841874.2504868, -0.673159, -1.89828, 5.92921, 2019-06-26T10:59:03, 1561546743000, 1h
null, Decred, DCR, USD, coinmarketcap, 33.8625497218, 39557945.8595279, -1.35049, 6.14053, 19.0142, 2019-06-26T10:59:01, 1561546741000, 1h
null, V Systems, VSYS, USD, coinmarketcap, 0.158140196354, 12638308.1825376, -0.35231, 6.68805, 23.2727, 2019-06-26T10:59:07, 1561546747000, 1h
null, Bitcoin Diamond, BCD, USD, coinmarketcap, 1.35749565049, 12240609.8536414, 0.829938, 2.94008, 5.38842, 2019-06-26T10:59:03, 1561546743000, 1h
null, HyperCash, HC, USD, coinmarketcap, 5.79245817187, 104713380.057221, 0.257139, 23.0028, 91.3038, 2019-06-26T10:59:02, 1561546742000, 1h
null, Lisk, LSK, USD, coinmarketcap, 2.02472785198, 11895147.1744098, -1.55503, -2.61638, -2.47554, 2019-06-26T10:59:01, 1561546741000, 1h
null, Ravencoin, RVN, USD, coinmarketcap, 0.0613352760049, 35290725.7759829, 0.330309, -3.39002, -5.23298, 2019-06-26T10:59:04, 1561546744000, 1h
null, Waves, WAVES, USD, coinmarketcap, 2.31479032387, 28167671.792587, 0.607726, -0.862321, -3.33101, 2019-06-26T10:59:01, 1561546741000, 1h
null, Bytom, BTM, USD, coinmarketcap, 0.193722698115, 51859884.7470119, 0.930656, 2.91808, 2.01858, 2019-06-26T10:59:02, 1561546742000, 1h
null, BitShares, BTS, USD, coinmarketcap, 0.071559217771, 15709351.8575218, -2.79079, 1.76108, 14.8588, 2019-06-26T10:59:01, 1561546741000, 1h
null, Nano, NANO, USD, coinmarketcap, 1.43803532, 9738517.88188451, 0.761916, -2.56833, -5.48802, 2019-06-26T10:59:02, 1561546742000, 1h
null, MonaCoin, MONA, USD, coinmarketcap, 2.84106431583, 26482297.1575062, 0.0653808, 0.974118, 22.619, 2019-06-26T10:59, 1561546740000, 1h
null, Bytecoin, BCN, USD, coinmarketcap, 0.00100108509093, 151636.646026005, -3.57017, -3.97937, -2.93403, 2019-06-26T10:59:01, 1561546741000, 1h
null, ICON, ICX, USD, coinmarketcap, 0.384098185954, 23278518.4818501, 9.01208, 11.5368, 5.88437, 2019-06-26T10:59:03, 1561546743000, 1h
null, DigiByte, DGB, USD, coinmarketcap, 0.0143654394323, 2204547.58045659, -3.41772, 3.46215, 3.82842, 2019-06-26T10:59:01, 1561546741000, 1h
null, ABBC Coin, ABBC, USD, coinmarketcap, 0.308480672655, 88515760.2016744, -0.110549, 21.5608, 75.148, 2019-06-26T10:59:07, 1561546747000, 1h
null, Aeternity, AE, USD, coinmarketcap, 0.569191415174, 43631667.0891794, -0.161409, 1.68091, 8.25003, 2019-06-26T10:59:02, 1561546742000, 1h
null, Metaverse ETP, ETP, USD, coinmarketcap, 2.13349788118, 58095034.8582778, 2.53079, 9.05299, 5.69767, 2019-06-26T10:59:02, 1561546742000, 1h
null, Energi, NRG, USD, coinmarketcap, 8.66578545629, 2698270.94131864, -5.77899, 6.66989, 117.379, 2019-06-26T10:59:06, 1561546746000, 1h
null, Komodo, KMD, USD, coinmarketcap, 1.31734991865, 5983967.48230887, 1.02032, -2.48022, -15.2157, 2019-06-26T10:59:01, 1561546741000, 1h
null, Verge, XVG, USD, coinmarketcap, 0.00951431828914, 4415272.99816939, 0.910029, 1.62174, 4.79917, 2019-06-26T10:59:01, 1561546741000, 1h
null, Siacoin, SC, USD, coinmarketcap, 0.00341982955945, 3996803.59815183, 0.311684, 4.97804, 9.59887, 2019-06-26T10:59:01, 1561546741000, 1h
null, GXChain, GXC, USD, coinmarketcap, 2.30695621939, 38822456.2920256, 0.463506, -3.20008, -5.36388, 2019-06-26T10:59:02, 1561546742000, 1h
null, Steem, STEEM, USD, coinmarketcap, 0.427831068922, 3350218.22203264, -0.299835, 3.64191, 3.02661, 2019-06-26T10:59:01, 1561546741000, 1h
null, Ardor, ARDR, USD, coinmarketcap, 0.1201688297, 1799614.97347842, -2.96173, -0.718655, -7.78063, 2019-06-26T10:59:02, 1561546742000, 1h
null, THETA, THETA, USD, coinmarketcap, 0.13433300362, 11204873.9874406, 0.751141, -2.36971, 1.18104, 2019-06-26T10:59:04, 1561546744000, 1h
null, Zcoin, XZC, USD, coinmarketcap, 12.2851262385, 3019815.59387114, -0.671237, -2.99879, -9.96753, 2019-06-26T10:59:01, 1561546741000, 1h
null, Stratis, STRAT, USD, coinmarketcap, 0.962510609084, 3872508.59117163, 0.334673, -0.868945, -1.34601, 2019-06-26T10:59:01, 1561546741000, 1h
null, Nebulas, NAS, USD, coinmarketcap, 1.76101417648, 14861559.2580444, -1.41039, 4.16065, 12.6013, 2019-06-26T10:59:02, 1561546742000, 1h
null, Project Pai, PAI, USD, coinmarketcap, 0.0535730806469, 6872855.73826398, 0.103885, 1.33709, 7.60436, 2019-06-26T10:59:05, 1561546745000, 1h
null, Grin, GRIN, USD, coinmarketcap, 5.4492403598, 51346750.238922, -1.00038, -4.37741, -8.6267, 2019-06-26T10:59:07, 1561546747000, 1h
null, TrueChain, TRUE, USD, coinmarketcap, 0.953060465549, 63378432.741338, 0.0495844, -0.734662, -3.969, 2019-06-26T10:59:04, 1561546744000, 1h
null, Elastos, ELA, USD, coinmarketcap, 4.55221590804, 13741770.840743, -1.67609, 11.3225, 20.6285, 2019-06-26T10:59:04, 1561546744000, 1h
null, Cryptonex, CNX, USD, coinmarketcap, 1.25679545529, 7297240.19733691, 0.609701, 4.97021, -0.882431, 2019-06-26T10:59:02, 1561546742000, 1h
null, ReddCoin, RDD, USD, coinmarketcap, 0.00239412556742, 964268.764399518, -0.0209182, 0.364143, 11.1935, 2019-06-26T10:59, 1561546740000, 1h
null, Horizen, ZEN, USD, coinmarketcap, 9.93928221295, 1291084.5705163, -1.41061, -2.6898, -9.37774, 2019-06-26T10:59:02, 1561546742000, 1h
null, NULS, NULS, USD, coinmarketcap, 0.920465876658, 10693151.6307168, -0.135038, -3.69512, -9.45848, 2019-06-26T10:59:03, 1561546743000, 1h
null, WaykiChain, WICC, USD, coinmarketcap, 0.303427572903, 3898874.5206299, -1.50486, 4.75082, 5.47947, 2019-06-26T10:59:03, 1561546743000, 1h
null, Ark, ARK, USD, coinmarketcap, 0.495427096268, 1369103.53858149, 0.515248, -4.483, -12.0061, 2019-06-26T10:59:02, 1561546742000, 1h
null, Factom, FCT, USD, coinmarketcap, 5.71918594613, 330825.560729558, 4.29566, -1.61606, -6.11625, 2019-06-26T10:59:01, 1561546741000, 1h
null, Beam, BEAM, USD, coinmarketcap, 2.23224230004, 76842162.1635717, 1.96851, -2.51836, 60.1694, 2019-06-26T10:59:07, 1561546747000, 1h
null, Electroneum, ETN, USD, coinmarketcap, 0.00533719704985, 409427.111346335, 0.263634, -2.42653, -6.53612, 2019-06-26T10:59:03, 1561546743000, 1h
null, Thunder Token, TT, USD, coinmarketcap, 0.0165567999142, 21808876.2534132, -0.904759, -4.74591, -17.767, 2019-06-26T10:59:07, 1561546747000, 1h
null, Aion, AION, USD, coinmarketcap, 0.141761918266, 2287620.62170429, 0.868984, -0.273529, -11.8687, 2019-06-26T10:59:02, 1561546742000, 1h
null, Wanchain, WAN, USD, coinmarketcap, 0.389665815526, 3376737.18569523, 2.77624, 3.25652, -7.69414, 2019-06-26T10:59:06, 1561546746000, 1h
null, Newton, NEW, USD, coinmarketcap, 0.003422151149, 9965688.23387705, -0.559322, -1.2525, -3.42173, 2019-06-26T10:59:08, 1561546748000, 1h
null, PIVX, PIVX, USD, coinmarketcap, 0.706935807125, 1236202.56453917, 0.0260859, -4.01247, -8.45677, 2019-06-26T10:59:01, 1561546741000, 1h
null, Theta Fuel, TFUEL, USD, coinmarketcap, 0.0102276909737, 5090322.78813847, -0.153527, -6.26151, -17.3915, 2019-06-26T10:59:07, 1561546747000, 1h
null, CyberMiles, CMT, USD, coinmarketcap, 0.0468429851222, 12647374.3252293, 0.252888, -0.425874, -1.57774, 2019-06-26T10:59:03, 1561546743000, 1h
null, Nxt, NXT, USD, coinmarketcap, 0.0374981214488, 1149142.68639441, -1.07343, -2.64801, -5.11683, 2019-06-26T10:59, 1561546740000, 1h
null, MOAC, MOAC, USD, coinmarketcap, 0.59780192353, 44133.0659836615, -2.74236, -2.53832, -14.88, 2019-06-26T10:59:03, 1561546743000, 1h
null, IPChain, IPC, USD, coinmarketcap, 0.474971335858, 2310371.3306583, 1.12131, 3.51997, -21.9595, 2019-06-26T10:59:03, 1561546743000, 1h
null, Metadium, META, USD, coinmarketcap, 0.0294477547121, 5371232.38337939, 0.801744, -6.06929, -10.4506, 2019-06-26T10:59:07, 1561546747000, 1h
null, Ether Zero, ETZ, USD, coinmarketcap, 0.221614834893, 2185543.46477972, -1.60567, -8.27033, -22.879, 2019-06-26T10:59:05, 1561546745000, 1h
null, CasinoCoin, CSC, USD, coinmarketcap, 0.00088578864034, 63773.8902311403, -0.488399, 3.73862, 12.2039, 2019-06-26T10:59, 1561546740000, 1h
null, Unobtanium, UNO, USD, coinmarketcap, 159.955310183, 3951.22451073089, -1.52713, 1.04124, 20.5858, 2019-06-26T10:59, 1561546740000, 1h
null, TomoChain, TOMO, USD, coinmarketcap, 0.528744342478, 2376753.42084578, -0.993662, 2.44506, -16.0461, 2019-06-26T10:59:04, 1561546744000, 1h
null, Apollo Currency, APL, USD, coinmarketcap, 0.00211820197715, 1967261.42157226, -1.58669, 12.6045, 39.8635, 2019-06-26T10:59:06, 1561546746000, 1h
null, Groestlcoin, GRS, USD, coinmarketcap, 0.418421412864, 1754542.10048913, -0.0453614, -0.722264, -4.41524, 2019-06-26T10:59:01, 1561546741000, 1h
null, Syscoin, SYS, USD, coinmarketcap, 0.0531000910401, 1092222.66570079, 10.6295, 6.19003, -13.38, 2019-06-26T10:59:01, 1561546741000, 1h
null, Vertcoin, VTC, USD, coinmarketcap, 0.583563820357, 731878.383876949, -1.56182, -4.80277, 6.84122, 2019-06-26T10:59, 1561546740000, 1h
null, BHPCoin, BHP, USD, coinmarketcap, 1.65309577256, 5595790.71106317, -1.45107, -1.26073, 10.1454, 2019-06-26T10:59:06, 1561546746000, 1h
null, Pirate Chain, ARRR, USD, coinmarketcap, 0.251163377452, 15719.5917769622, -4.18939, -1.47628, 29.7274, 2019-06-26T10:59:08, 1561546748000, 1h
null, Skycoin, SKY, USD, coinmarketcap, 1.74236656407, 1587571.36542249, -1.30974, -3.12771, 1.73632, 2019-06-26T10:59:01, 1561546741000, 1h
null, SaluS, SLS, USD, coinmarketcap, 25.8727308199, 6935.83186632741, 2.26859, 12.0655, 44.6596, 2019-06-26T10:59:01, 1561546741000, 1h
