id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 37.13328363845692, 85089288.25842763, 0.5449, 3.5044, 8.5741, 2019-06-26T07:59:27, 1561535967000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 32896452.24581449, 0, 0, 0, 2019-06-26T07:59:19, 1561535959000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.0014247929519702004, 6962527.529894935, -1.6382, -4.8122, -11.5845, 2019-06-26T07:59:02, 1561535942000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.4661684615032036, 7413368.08217786, -1.5783, -4.7017, -5.4902, 2019-06-26T07:59:04, 1561535944000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.40633600573316586, 13775897.261269446, -1.7719, -6.4849, -19.895, 2019-06-26T07:59:05, 1561535945000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.02183400285543284, 8783391.57170773, -1.5105, -5.9493, -14.7776, 2019-06-26T07:59:04, 1561535944000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.10941413479792093, 925453.3644229302, -0.571, -6.7245, -16.2661, 2019-06-26T07:59:04, 1561535944000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.7183113648316105, 1746961.5738420507, -1.5839, -5.6241, -14.1234, 2019-06-26T07:59:09, 1561535949000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.00011701263770424451, 3293186.137975657, -1.154, -5.8471, -5.8282, 2019-06-26T07:59:04, 1561535944000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.0002974229293737305, 752282.171958265, -2.8379, -4.1586, -11.8793, 2019-06-26T07:59:03, 1561535943000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.0003759154999944456, 1652805.1457504327, -1.8403, -8.1373, -19.7291, 2019-06-26T07:59:02, 1561535942000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.32157834431828647, 608494.3345044198, -1.6499, -13.3056, -12.6969, 2019-06-26T07:59:02, 1561535942000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.540640486594326, 1173152.8206545315, -1.2006, -4.5407, -9.268, 2019-06-26T07:59:02, 1561535942000, 1h
null, NEO, NEO, ETH, coinmarketcap, 0.059778548991792614, 3153449.3813160313, -2.304, 5.5141, 15.634, 2019-06-26T07:59:03, 1561535943000, 1h
null, IOTA, MIOTA, ETH, coinmarketcap, 0.0014093487278392233, 100257.16050874381, -1.6929, -3.0182, -13.2622, 2019-06-26T07:59:03, 1561535943000, 1h
null, Cosmos, ATOM, ETH, coinmarketcap, 0.019870754354009746, 246759.10245054288, -1.438, -5.9673, -20.7613, 2019-06-26T07:59:09, 1561535949000, 1h
null, Ethereum Classic, ETC, ETH, coinmarketcap, 0.028124271401624382, 2539552.9964262713, -1.1907, -4.1631, -11.5162, 2019-06-26T07:59:02, 1561535942000, 1h
null, Ontology, ONT, ETH, coinmarketcap, 0.005222177352952351, 867127.5538342666, -1.6198, 1.139, -3.2709, 2019-06-26T07:59:05, 1561535945000, 1h
null, NEM, XEM, ETH, coinmarketcap, 0.0002870738839231322, 107853.23508595675, -1.9932, -2.9416, -11.6164, 2019-06-26T07:59:01, 1561535941000, 1h
null, Tezos, XTZ, ETH, coinmarketcap, 0.0033907904177741294, 27068.282551512442, -0.9883, -8.9403, -26.6459, 2019-06-26T07:59:03, 1561535943000, 1h
