id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 2335062.920799207, 0, 0, 0, 2019-06-22T10:59:28, 1561201168000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.02874563913819453, 932349.8227598647, 0.4725, -2.0847, -5.8902, 2019-06-22T10:59:15, 1561201155000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.00004268885558718536, 191085.62933386472, 0.5023, -5.3002, -9.0483, 2019-06-22T10:59:03, 1561201143000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.013187982380497504, 458449.6338886644, 0.1712, -6.5003, -15.5962, 2019-06-22T10:59:04, 1561201144000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.04168585265478265, 195424.8604643701, 0.2935, -4.4144, -13.8553, 2019-06-22T10:59:05, 1561201145000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0006785087333126241, 273466.8400539307, 0.0655, -5.8305, -12.1826, 2019-06-22T10:59:03, 1561201143000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0036744053978385745, 43727.61585054192, 1.6817, -4.369, -3.8586, 2019-06-22T10:59:04, 1561201144000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.021024565835252227, 45830.908189233116, 0.2598, -7.7916, -14.4217, 2019-06-22T10:59:11, 1561201151000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.00001187405652806605, 28485.986253970597, 0.2998, -6.9098, -18.3493, 2019-06-22T10:59:02, 1561201142000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000008545752121377923, 13284.40980264395, 0.8757, -7.4228, -18.8969, 2019-06-22T10:59:03, 1561201143000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.000003245587556686784, 63367.61422566554, 0.8168, -5.1541, -13.7596, 2019-06-22T10:59:04, 1561201144000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010625167087480063, 13305.609873845644, 0.5983, -4.7199, -0.8767, 2019-06-22T10:59:01, 1561201141000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.0165647920357325, 39461.07153586293, 0.2468, -1.9382, -6.8502, 2019-06-22T10:59:02, 1561201142000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.0006295567203695342, 6317.242147982391, 1.6231, -6.6021, -12.5189, 2019-06-22T10:59:11, 1561201151000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.000041492544971281374, 2757.47819575485, 1.2068, -6.2452, -17.3096, 2019-06-22T10:59:02, 1561201142000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.0013619974003693375, 44803.285617972615, 0.2504, -3.7289, -14.9148, 2019-06-22T10:59:03, 1561201143000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.0008338081230955532, 91068.40416582071, -0.0121, -5.5949, -15.6364, 2019-06-22T10:59:03, 1561201143000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.00000836435072607727, 3045.060604943173, 0.7034, -6.2492, -15.2706, 2019-06-22T10:59:02, 1561201142000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.00010946065809639731, 669.3524610216041, 0.1213, -11.6131, -23.0114, 2019-06-22T10:59:03, 1561201143000, 1h
