id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 1712554.6974347292, 0, 0, 0, 2019-06-25T03:59:27, 1561435167000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.028073104637211604, 713007.8300783653, -0.4128, -1.2851, -4.262, 2019-06-25T03:59:21, 1561435161000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.00004251969878800566, 136035.23575150082, -0.3543, -0.7775, -11.4166, 2019-06-25T03:59:02, 1561435142000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.012366594042579174, 355438.1000920158, 0.4255, -2.3832, -14.0557, 2019-06-25T03:59:04, 1561435144000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.043002438242389834, 160925.7193305777, -0.5134, -2.1948, -7.0133, 2019-06-25T03:59:04, 1561435144000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0006560431101034796, 196707.9913848805, -0.1729, -1.91, -14.1188, 2019-06-25T03:59:05, 1561435145000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.00338499609125658, 29285.835218010845, -0.094, -1.4964, -8.2063, 2019-06-25T03:59:04, 1561435144000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.021267976386484165, 36342.154947594674, -0.3772, -2.174, -11.0902, 2019-06-25T03:59:10, 1561435150000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.0000035064880710451234, 83125.81913126986, 0.7114, 1.5975, -3.5069, 2019-06-25T03:59:05, 1561435145000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000008809175635594755, 11862.972567431778, -0.3695, -0.965, -11.7407, 2019-06-25T03:59:04, 1561435144000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.0000116355938832074, 34385.8514378556, 0.3311, -1.1497, -16.98, 2019-06-25T03:59:02, 1561435142000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010610456771118862, 11756.850211485104, -0.3204, 0.2159, -0.1085, 2019-06-25T03:59:01, 1561435141000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.015940917060066066, 29819.4777793985, -0.1675, -1.3373, -7.3599, 2019-06-25T03:59:01, 1561435141000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.000041304989198007424, 1814.3935858072373, -0.3365, -0.4364, -12.3407, 2019-06-25T03:59:02, 1561435142000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.00060220836648237, 5187.451438929376, -0.0033, -4.0972, -19.2786, 2019-06-25T03:59:09, 1561435149000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.001618342273926718, 61694.5320484867, -0.3007, 4.4668, 7.1532, 2019-06-25T03:59:02, 1561435142000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.0008366573671993178, 68261.4204662033, -0.4534, -1.2842, -11.2354, 2019-06-25T03:59:03, 1561435143000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.000008306242363340617, 2497.8351194474917, 0.1381, -1.0855, -13.9725, 2019-06-25T03:59:02, 1561435142000, 1h
null, Ontology, ONT, BTC, coinmarketcap, 0.00014668782610602335, 13919.89628988451, 0.3738, 3.6373, -10.1789, 2019-06-25T03:59:07, 1561435147000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.00010556188786215256, 508.38971338761814, 0.0906, -4.4183, -25.3775, 2019-06-25T03:59:03, 1561435143000, 1h
null, Zcash, ZEC, BTC, coinmarketcap, 0.009841741789717914, 30721.4521246883, -0.5416, -2.3593, -10.7974, 2019-06-25T03:59:03, 1561435143000, 1h
null, Bitcoin Gold, BTG, BTC, coinmarketcap, 0.002749554086703776, 1642.6537770906527, -0.2135, -3.3767, -8.0072, 2019-06-25T03:59:04, 1561435144000, 1h
null, Qtum, QTUM, BTC, coinmarketcap, 0.00038715754683578857, 24237.305981392186, 2.0446, 9.3055, -0.183, 2019-06-25T03:59:03, 1561435143000, 1h
null, Dogecoin, DOGE, BTC, coinmarketcap, 3.0609187352392686E-7, 3807.2633263729263, 0.1234, -0.068, -10.7821, 2019-06-25T03:59:02, 1561435142000, 1h
null, VeChain, VET, BTC, coinmarketcap, 6.472615753257919E-7, 7634.549068736686, 1.0535, -2.9736, -18.0918, 2019-06-25T03:59:08, 1561435148000, 1h
null, Decred, DCR, BTC, coinmarketcap, 0.0029147278275172897, 1805.0621245195823, -1.4405, -7.5308, -7.4896, 2019-06-25T03:59:01, 1561435141000, 1h
null, Ravencoin, RVN, BTC, coinmarketcap, 0.000005925368190999609, 3265.872019914596, 1.4449, 1.974, -10.5299, 2019-06-25T03:59:06, 1561435146000, 1h
null, Bitcoin Diamond, BCD, BTC, coinmarketcap, 0.00012000826427290321, 690.1959135915553, 1.0109, -1.6207, -18.2176, 2019-06-25T03:59:04, 1561435144000, 1h
null, Lisk, LSK, BTC, coinmarketcap, 0.00018995551645236685, 942.6911500010316, -0.2821, -2.2473, -15.5858, 2019-06-25T03:59:02, 1561435142000, 1h
null, Waves, WAVES, BTC, coinmarketcap, 0.00021383801753116556, 1385.1311653750288, -0.1271, -1.7102, -18.3171, 2019-06-25T03:59:03, 1561435143000, 1h
null, BitShares, BTS, BTC, coinmarketcap, 0.0000064563508221084256, 1441.9388056274925, -0.8129, 7.4136, -6.0075, 2019-06-25T03:59:01, 1561435141000, 1h
null, Nano, NANO, BTC, coinmarketcap, 0.00013205493131272086, 404.1589280703088, -0.1352, -3.5063, -21.358, 2019-06-25T03:59:02, 1561435142000, 1h
null, Bytom, BTM, BTC, coinmarketcap, 0.000016990439028450355, 2908.1008478543213, -0.4065, -4.1711, -21.4053, 2019-06-25T03:59:03, 1561435143000, 1h
null, HyperCash, HC, BTC, coinmarketcap, 0.0003830536219269814, 1222.1008817420977, 1.0208, 12.3315, 21.5261, 2019-06-25T03:59:03, 1561435143000, 1h
null, Bytecoin, BCN, BTC, coinmarketcap, 9.059894445900261E-8, 4.565985986254273, -2.2484, -3.6112, -18.5716, 2019-06-25T03:59, 1561435140000, 1h
null, MonaCoin, MONA, BTC, coinmarketcap, 0.00024633204271689376, 1006.5395040326591, 0.6231, -0.1902, -1.505, 2019-06-25T03:59, 1561435140000, 1h
null, DigiByte, DGB, BTC, coinmarketcap, 0.0000012675124119534192, 123.95262512873407, 0.4537, -1.7392, -7.3854, 2019-06-25T03:59, 1561435140000, 1h
null, ICON, ICX, BTC, coinmarketcap, 0.00003115074020525823, 808.6274211806617, -0.6838, -0.472, -20.4941, 2019-06-25T03:59:04, 1561435144000, 1h
null, Aeternity, AE, BTC, coinmarketcap, 0.00005398787439202965, 7693.3489449575745, -1.4551, 13.3446, -6.0684, 2019-06-25T03:59:03, 1561435143000, 1h
null, Komodo, KMD, BTC, coinmarketcap, 0.00012511210358234542, 341.01859599420766, -1.9216, -0.0571, -27.9113, 2019-06-25T03:59:02, 1561435142000, 1h
null, Verge, XVG, BTC, coinmarketcap, 8.383931167842052E-7, 283.7461136501926, -0.4187, -3.6617, -15.8733, 2019-06-25T03:59:01, 1561435141000, 1h
null, GXChain, GXC, BTC, coinmarketcap, 0.00021506331129402003, 4534.869595518944, -1.5656, -13.6323, -13.8629, 2019-06-25T03:59:02, 1561435142000, 1h
null, Metaverse ETP, ETP, BTC, coinmarketcap, 0.00017258786089485335, 2529.2766291612547, 0.165, 1.2868, -15.777, 2019-06-25T03:59:02, 1561435142000, 1h
null, Steem, STEEM, BTC, coinmarketcap, 0.00003782981916049599, 97.09817536672418, 0.3979, -0.0867, -15.5335, 2019-06-25T03:59:02, 1561435142000, 1h
null, Siacoin, SC, BTC, coinmarketcap, 2.9009571901438396E-7, 264.5354620238655, -0.1483, -1.4863, -15.7045, 2019-06-25T03:59:01, 1561435141000, 1h
null, ABBC Coin, ABBC, BTC, coinmarketcap, 0.000023153395700523858, 6101.306313273467, 0.7975, 10.953, 17.8154, 2019-06-25T03:59:09, 1561435149000, 1h
null, Ardor, ARDR, BTC, coinmarketcap, 0.000010703037713126776, 73.14812409836608, -0.4221, -2.1204, -5.7949, 2019-06-25T03:59:02, 1561435142000, 1h
null, THETA, THETA, BTC, coinmarketcap, 0.000012169964535773884, 332.63672047158826, -0.2096, -0.7214, -13.4212, 2019-06-25T03:59:05, 1561435145000, 1h
null, Energi, NRG, BTC, coinmarketcap, 0.0006030639790096779, 130.78534617424393, -0.8322, 13.7796, 31.8769, 2019-06-25T03:59:08, 1561435148000, 1h
null, Zcoin, XZC, BTC, coinmarketcap, 0.0011461174354662688, 266.54150959038833, -1.2216, -4.3115, -10.5408, 2019-06-25T03:59:02, 1561435142000, 1h
