id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 2349767.4698291156, 0, 0, 0, 2019-06-23T13:59:28, 1561298368000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.029041344330692376, 881490.0231249841, 0.2731, 2.6909, -2.3189, 2019-06-23T13:59:21, 1561298361000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.000044306771671721686, 319309.62938337034, 0.0379, 5.6042, -3.2931, 2019-06-23T13:59:03, 1561298343000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.013192757972149239, 455816.40302861115, 0.207, 2.0563, -11.1851, 2019-06-23T13:59:02, 1561298342000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.04528409315612111, 336843.9926240219, 0.3621, 9.7848, -3.905, 2019-06-23T13:59:05, 1561298345000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0006899107190216591, 295654.42519111984, -0.2163, 3.2608, -10.3502, 2019-06-23T13:59:05, 1561298345000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0035655111901907077, 33706.34870980718, 0.3656, -0.8141, -0.6295, 2019-06-23T13:59:04, 1561298344000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.02245492486746051, 68198.62405907812, -0.0767, 3.0602, -3.4105, 2019-06-23T13:59:09, 1561298349000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.000012128464833955137, 49461.128154433376, 0.8312, 5.2701, -13.7528, 2019-06-23T13:59:03, 1561298343000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.00000896838894465933, 25849.439240176947, -0.3564, 8.277, -10.7476, 2019-06-23T13:59:04, 1561298344000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.0000034438925691864135, 83583.77297203249, 0.3338, 7.7402, -4.7358, 2019-06-23T13:59:05, 1561298345000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010776315910511142, 11854.925845774243, -0.3436, 2.4689, 3.1047, 2019-06-23T13:59:01, 1561298341000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.016367606432006007, 39524.685806775014, 0.5821, 0.9494, -5.3757, 2019-06-23T13:59:03, 1561298343000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.00064687545572562, 7526.091849373848, -0.1991, 5.2734, -5.8233, 2019-06-23T13:59:09, 1561298349000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.00004365070988449288, 3662.5233196974787, -0.2047, 7.4735, -11.6764, 2019-06-23T13:59:03, 1561298343000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.001617459965113146, 107553.01436879698, -0.4701, 19.9538, 4.5174, 2019-06-23T13:59:03, 1561298343000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.0008615016982244435, 98432.11605836682, 0.3481, 4.8984, -9.5866, 2019-06-23T13:59:02, 1561298342000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.000008605549313574931, 3235.51524179402, -0.2017, 4.9321, -10.1322, 2019-06-23T13:59:02, 1561298342000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.00011316808772691007, 782.8426658287073, 0.1551, 6.0536, -18.4661, 2019-06-23T13:59:03, 1561298343000, 1h
null, Ontology, ONT, BTC, coinmarketcap, 0.00014631083854217618, 23169.067068753553, -0.014, 8.7186, -7.9835, 2019-06-23T13:59:05, 1561298345000, 1h
null, Zcash, ZEC, BTC, coinmarketcap, 0.0106025725898949, 55034.0744150816, 0.1721, 2.489, 4.2263, 2019-06-23T13:59:03, 1561298343000, 1h
null, Bitcoin Gold, BTG, BTC, coinmarketcap, 0.00285975351114223, 2785.8740164868527, 0.1185, 2.9283, -4.3214, 2019-06-23T13:59:04, 1561298344000, 1h
null, VeChain, VET, BTC, coinmarketcap, 7.055706769537847E-7, 5098.91874983651, 0.3409, 16.6737, -11.6456, 2019-06-23T13:59:07, 1561298347000, 1h
null, Dogecoin, DOGE, BTC, coinmarketcap, 3.0891290198394197E-7, 4664.949790365112, 0.4021, 3.4827, -12.1646, 2019-06-23T13:59:02, 1561298342000, 1h
null, Qtum, QTUM, BTC, coinmarketcap, 0.0003691761931898703, 32673.628822072085, -0.2271, 10.5522, -6.1488, 2019-06-23T13:59:03, 1561298343000, 1h
null, Decred, DCR, BTC, coinmarketcap, 0.002874568339425423, 5432.769991229416, -1.0734, 4.2551, -8.5624, 2019-06-23T13:59:01, 1561298341000, 1h
null, Lisk, LSK, BTC, coinmarketcap, 0.00019953465024971642, 1089.1350536077264, 0.4355, 2.8282, -15.4983, 2019-06-23T13:59:02, 1561298342000, 1h
null, Bitcoin Diamond, BCD, BTC, coinmarketcap, 0.00012530947879457554, 1576.429834766595, 0.3429, 2.6207, -7.9824, 2019-06-23T13:59:04, 1561298344000, 1h
null, Ravencoin, RVN, BTC, coinmarketcap, 0.000005961511747646856, 2828.028289320846, 0.4854, 7.6168, -11.8409, 2019-06-23T13:59:05, 1561298345000, 1h
null, Waves, WAVES, BTC, coinmarketcap, 0.00022601899155540747, 2118.532760947328, -0.2197, 4.4655, -14.1745, 2019-06-23T13:59:02, 1561298342000, 1h
null, Nano, NANO, BTC, coinmarketcap, 0.00014413369082864967, 881.7496396231714, -0.2856, 7.8459, -16.1413, 2019-06-23T13:59:02, 1561298342000, 1h
null, Bytom, BTM, BTC, coinmarketcap, 0.000018309811078831932, 2931.40923583313, -0.5642, 4.2552, -7.293, 2019-06-23T13:59:03, 1561298343000, 1h
null, Bytecoin, BCN, BTC, coinmarketcap, 9.808685110943938E-8, 7.414595306401284, 0.3505, 4.1616, -8.851, 2019-06-23T13:59:01, 1561298341000, 1h
null, BitShares, BTS, BTC, coinmarketcap, 0.000006073762131252145, 798.0252775751613, -0.102, 1.8039, -13.3394, 2019-06-23T13:59:01, 1561298341000, 1h
null, DigiByte, DGB, BTC, coinmarketcap, 0.0000013603747467023707, 163.08347018455976, -0.7999, 5.2479, -3.3802, 2019-06-23T13:59:01, 1561298341000, 1h
null, MonaCoin, MONA, BTC, coinmarketcap, 0.00024503936473442957, 2681.8681829886127, 0.2533, -3.6143, 12.9085, 2019-06-23T13:59:01, 1561298341000, 1h
null, Komodo, KMD, BTC, coinmarketcap, 0.00013654126659851963, 705.3216021773072, 2.9518, 10.9771, -21.0833, 2019-06-23T13:59:02, 1561298342000, 1h
null, ICON, ICX, BTC, coinmarketcap, 0.0000327359181505419, 1494.2708510328407, 0.3408, 6.4324, -19.9079, 2019-06-23T13:59:04, 1561298344000, 1h
null, HyperCash, HC, BTC, coinmarketcap, 0.0003500704767443351, 1824.5387778123318, 0.2373, 12.5359, 20.7242, 2019-06-23T13:59:03, 1561298343000, 1h
null, GXChain, GXC, BTC, coinmarketcap, 0.00025221377409785065, 4154.063079837274, 1.3208, 21.0382, -0.429, 2019-06-23T13:59:02, 1561298342000, 1h
null, Verge, XVG, BTC, coinmarketcap, 9.259014934592826E-7, 612.4139858314572, -0.4476, 14.5062, -8.786, 2019-06-23T13:59:01, 1561298341000, 1h
null, Aeternity, AE, BTC, coinmarketcap, 0.000048539095105701625, 4623.726869848811, -0.2779, 3.1162, -16.4349, 2019-06-23T13:59:02, 1561298342000, 1h
null, Metaverse ETP, ETP, BTC, coinmarketcap, 0.00017796168928469017, 3355.822646101504, 1.2939, -0.4384, -13.888, 2019-06-23T13:59:02, 1561298342000, 1h
null, Siacoin, SC, BTC, coinmarketcap, 3.026986836646952E-7, 343.58048144822783, -0.1664, 6.663, -14.2008, 2019-06-23T13:59:01, 1561298341000, 1h
null, Steem, STEEM, BTC, coinmarketcap, 0.000038477120874791084, 234.6284606354718, -0.4164, 7.0333, -15.0075, 2019-06-23T13:59:02, 1561298342000, 1h
null, Ardor, ARDR, BTC, coinmarketcap, 0.000011515285315503325, 222.969285436485, 1.8611, 6.6791, 1.9804, 2019-06-23T13:59:02, 1561298342000, 1h
null, THETA, THETA, BTC, coinmarketcap, 0.000012530794124119494, 500.97319918031735, 0.5436, 5.1393, -10.6429, 2019-06-23T13:59:05, 1561298345000, 1h
null, ABBC Coin, ABBC, BTC, coinmarketcap, 0.000021149720520522576, 4490.87393745546, 1.1716, 15.6167, -0.1762, 2019-06-23T13:59:08, 1561298348000, 1h
null, Zcoin, XZC, BTC, coinmarketcap, 0.0012370479291315154, 579.3272345218037, -0.1, 4.8121, -5.1592, 2019-06-23T13:59:02, 1561298342000, 1h
null, Stratis, STRAT, BTC, coinmarketcap, 0.00009182670706586175, 333.3382940482303, -0.1237, 9.5322, -23.1549, 2019-06-23T13:59:02, 1561298342000, 1h
null, Energi, NRG, BTC, coinmarketcap, 0.0004850211962003024, 67.31096005404835, -4.1855, 3.0809, 5.7067, 2019-06-23T13:59:07, 1561298347000, 1h
null, Nebulas, NAS, BTC, coinmarketcap, 0.00015715793484107987, 1317.4620131740683, 2.0456, 15.9995, -11.8668, 2019-06-23T13:59:03, 1561298343000, 1h
null, Grin, GRIN, BTC, coinmarketcap, 0.0005559023920829885, 6248.7300215615915, -0.6845, 19.0448, 6.7899, 2019-06-23T13:59:08, 1561298348000, 1h
null, TrueChain, TRUE, BTC, coinmarketcap, 0.00009363944789496758, 5981.9523878002, 0.6232, 2.8901, -18.5717, 2019-06-23T13:59:06, 1561298346000, 1h
null, Horizen, ZEN, BTC, coinmarketcap, 0.0010089161915692911, 82.61300597871201, 0.5066, 3.8206, -10.9357, 2019-06-23T13:59:02, 1561298342000, 1h
null, Project Pai, PAI, BTC, coinmarketcap, 0.000004690558762643246, 331.62550522347385, 0.4751, 7.6, -21.3279, 2019-06-23T13:59:06, 1561298346000, 1h
null, NULS, NULS, BTC, coinmarketcap, 0.00009121647004071817, 1152.9620642619082, 0.6195, 6.1922, -14.4302, 2019-06-23T13:59:04, 1561298344000, 1h
null, ReddCoin, RDD, BTC, coinmarketcap, 2.1402835673388278E-7, 57.02236873905338, -1.2969, -4.4877, 2.3307, 2019-06-23T13:59:01, 1561298341000, 1h
null, Ark, ARK, BTC, coinmarketcap, 0.00005224006353091933, 99.9825975039083, 3.4886, 12.1054, -17.2666, 2019-06-23T13:59:02, 1561298342000, 1h
