id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 34.55211781778308, 59807793.21680134, -0.0249, 1.4587, 10.1556, 2019-06-20T11:59:28, 1561031968000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 21630598.80269825, 0, 0, 0, 2019-06-20T11:59:21, 1561031961000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.0015980356216390471, 4412999.132433395, -0.3488, -1.0142, 2.68, 2019-06-20T11:59:02, 1561031942000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.503986321142002, 15484102.921864474, -0.035, -1.4979, -3.3501, 2019-06-20T11:59:02, 1561031942000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.5299672363220835, 4709789.893088412, -0.4908, -1.3584, -1.0422, 2019-06-20T11:59:04, 1561031944000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.025317040998128496, 6169129.071630806, -0.0631, -1.3981, 0.642, 2019-06-20T11:59:06, 1561031946000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.1299155095415139, 1836240.4979239781, -0.0647, -1.0184, -4.9095, 2019-06-20T11:59:05, 1561031945000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.8278354630374186, 1040791.1795948986, -0.6317, -1.0925, 4.5686, 2019-06-20T11:59:10, 1561031950000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.0004580471156822131, 995649.3766072117, 0.0866, -2.1677, -5.9641, 2019-06-20T11:59:03, 1561031943000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.0003283106371188134, 524835.4311239786, -0.3372, -3.0589, -8.6808, 2019-06-20T11:59:05, 1561031945000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.00012342864712637825, 1977851.2630732115, -0.26, -0.9365, -3.8173, 2019-06-20T11:59:06, 1561031946000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.3891811408010357, 622798.6223363901, -0.6776, 4.3803, 11.0509, 2019-06-20T11:59:02, 1561031942000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.601604634277599, 994460.3976573488, 0.1558, 0.6962, -0.3608, 2019-06-20T11:59:02, 1561031942000, 1h
