id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 10596.2542801, 29972630534.02, -0.358655, 6.79765, 19.7067, 2019-06-23T00:59:27, 1561251567000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 304.309978037, 10515607277.6078, -0.432087, 4.06339, 12.866, 2019-06-23T00:59:21, 1561251561000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.472586055514, 3532683194.59158, -0.580688, 7.16761, 14.7687, 2019-06-23T00:59:03, 1561251543000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 141.225927326, 5409555255.12624, -0.31487, 2.79402, 2.6438, 2019-06-23T00:59:03, 1561251543000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 478.00164048, 3496958637.98354, -0.148074, 9.85809, 13.2416, 2019-06-23T00:59:05, 1561251545000, 1h
null, EOS, EOS, USD, coinmarketcap, 7.43676563341, 3595355946.78661, -0.398075, 5.78936, 7.93626, 2019-06-23T00:59:06, 1561251546000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 38.2258414178, 446049516.06123, -0.092701, -0.36924, 16.4962, 2019-06-23T00:59:04, 1561251544000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 240.14123655, 788352171.065037, 0.64842, 8.89986, 13.7935, 2019-06-23T00:59:10, 1561251550000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.130497817565, 529781441.483597, 0.531294, 5.8683, 3.23137, 2019-06-23T00:59:04, 1561251544000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.0949931886889, 240441581.056281, -0.0215256, 6.30091, 3.46143, 2019-06-23T00:59:05, 1561251545000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.0367509109121, 936787408.23555, 0.0977521, 10.4298, 12.1373, 2019-06-23T00:59:05, 1561251545000, 1h
null, Monero, XMR, USD, coinmarketcap, 113.920903733, 146216607.350748, -0.224428, 6.32664, 20.8684, 2019-06-23T00:59:02, 1561251542000, 1h
null, Dash, DASH, USD, coinmarketcap, 175.796529608, 477522494.524756, -0.0739628, 6.16733, 13.0565, 2019-06-23T00:59:03, 1561251543000, 1h
null, IOTA, MIOTA, USD, coinmarketcap, 0.469124369382, 41115639.4430594, 1.75438, 10.9845, 7.13345, 2019-06-23T00:59:04, 1561251544000, 1h
null, Cosmos, ATOM, USD, coinmarketcap, 6.63117689659, 81484897.1387362, -0.353394, 1.8017, 7.10266, 2019-06-23T00:59:11, 1561251551000, 1h
null, NEO, NEO, USD, coinmarketcap, 17.6551442379, 1042434841.95497, 1.87097, 27.1467, 25.784, 2019-06-23T00:59:04, 1561251544000, 1h
null, Ethereum Classic, ETC, USD, coinmarketcap, 9.12146003978, 1097027781.25309, 0.174483, 4.75898, 5.64936, 2019-06-23T00:59:04, 1561251544000, 1h
null, NEM, XEM, USD, coinmarketcap, 0.0915601088272, 33384255.8779545, -0.285471, 4.41972, 6.86098, 2019-06-23T00:59:02, 1561251542000, 1h
null, Tezos, XTZ, USD, coinmarketcap, 1.21519310464, 10069512.7371737, 0.223611, 3.92184, -2.58736, 2019-06-23T00:59:04, 1561251544000, 1h
null, Ontology, ONT, USD, coinmarketcap, 1.59698663698, 266755927.942778, -0.0837635, 13.2714, 10.863, 2019-06-23T00:59:07, 1561251547000, 1h
null, Zcash, ZEC, USD, coinmarketcap, 112.70240127, 710613469.912066, -0.542176, 2.70118, 21.6177, 2019-06-23T00:59:03, 1561251543000, 1h
null, Bitcoin Gold, BTG, USD, coinmarketcap, 30.4789646121, 31550237.7160539, -0.406741, 7.3953, 13.0865, 2019-06-23T00:59:05, 1561251545000, 1h
null, VeChain, VET, USD, coinmarketcap, 0.00707431622591, 59765587.2980022, -0.549677, 3.80547, -3.98409, 2019-06-23T00:59:09, 1561251549000, 1h
null, Dogecoin, DOGE, USD, coinmarketcap, 0.00325425705883, 56653903.8015379, -0.799757, 1.98943, 2.98444, 2019-06-23T00:59:03, 1561251543000, 1h
null, Qtum, QTUM, USD, coinmarketcap, 3.94623099965, 346432952.449866, 0.730561, 10.7106, 11.5318, 2019-06-23T00:59:04, 1561251544000, 1h
null, Decred, DCR, USD, coinmarketcap, 30.5158959745, 49338940.2349681, -0.0848758, 4.18745, 10.361, 2019-06-23T00:59:02, 1561251542000, 1h
null, Ravencoin, RVN, USD, coinmarketcap, 0.065702529628, 34617466.2541702, 0.2563, 7.02549, 6.50369, 2019-06-23T00:59:07, 1561251547000, 1h
null, Bitcoin Diamond, BCD, USD, coinmarketcap, 1.34270710773, 15461336.5819576, -0.373886, 4.40305, 9.01501, 2019-06-23T00:59:05, 1561251545000, 1h
null, Lisk, LSK, USD, coinmarketcap, 2.09587618697, 12538543.6401364, -0.311224, 2.19441, 3.86147, 2019-06-23T00:59:03, 1561251543000, 1h
null, Waves, WAVES, USD, coinmarketcap, 2.37915029788, 25271985.3069173, -1.83174, 1.52361, -0.705429, 2019-06-23T00:59:03, 1561251543000, 1h
null, Nano, NANO, USD, coinmarketcap, 1.55661886958, 10089368.8536208, 2.41296, 9.12698, -1.78654, 2019-06-23T00:59:03, 1561251543000, 1h
null, Bytom, BTM, USD, coinmarketcap, 0.191711151146, 30726214.3861127, -0.975033, 4.21983, 13.0907, 2019-06-23T00:59:04, 1561251544000, 1h
