id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 34.442409461206445, 59540917.94421083, -0.3607, 1.0806, 9.7719, 2019-06-20T12:59:29, 1561035569000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 21547486.090228636, 0, 0, 0, 2019-06-20T12:59:21, 1561035561000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.0016002202882892062, 4354212.900213651, -0.0783, -0.9439, 2.9026, 2019-06-20T12:59:04, 1561035544000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.5041181949458641, 15385643.45148217, 0.0976, -1.5761, -3.3373, 2019-06-20T12:59:03, 1561035543000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.526849555224513, 4714066.901035318, -0.2834, -1.6198, -1.5217, 2019-06-20T12:59:06, 1561035546000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.02528733537292648, 6136250.324369846, -0.1339, -1.4923, 0.5811, 2019-06-20T12:59:05, 1561035545000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.12918813572574822, 1813300.5263691535, -0.5901, -1.5904, -5.4719, 2019-06-20T12:59:04, 1561035544000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.8237268763536185, 1048103.3252242969, -0.4981, -1.4901, 3.2782, 2019-06-20T12:59:11, 1561035551000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.0004560744079401735, 979461.1206831895, -0.3653, -2.5039, -6.3785, 2019-06-20T12:59:04, 1561035544000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.0003287831294726803, 529982.0335976662, 0.1406, -2.882, -8.4332, 2019-06-20T12:59:05, 1561035545000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.00012346464879197543, 1976379.0441887502, 0.0825, -0.9464, -3.712, 2019-06-20T12:59:06, 1561035546000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.38476251178908666, 605126.1179031876, -1.1766, 3.0688, 9.705, 2019-06-20T12:59:02, 1561035542000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.5990793311276258, 966147.5438289911, -0.3198, 0.0668, -0.7058, 2019-06-20T12:59:03, 1561035543000, 1h
null, Cosmos, ATOM, ETH, coinmarketcap, 0.023938124691238943, 175330.67691705504, 0.3604, -3.9092, -0.1106, 2019-06-20T12:59:11, 1561035551000, 1h
null, IOTA, MIOTA, ETH, coinmarketcap, 0.0015841653911045394, 156597.02182955667, -0.2903, -3.3597, -6.4256, 2019-06-20T12:59:04, 1561035544000, 1h
null, NEO, NEO, ETH, coinmarketcap, 0.050051744602719876, 1305903.8981709278, -0.0641, -2.7717, -1.4602, 2019-06-20T12:59:04, 1561035544000, 1h
null, Ethereum Classic, ETC, ETH, coinmarketcap, 0.03154738846586168, 2106999.0646216325, 0.1932, -0.8681, -4.3667, 2019-06-20T12:59:05, 1561035545000, 1h
null, NEM, XEM, ETH, coinmarketcap, 0.0003200846602008934, 79186.52821713891, -0.2124, -1.3689, -3.3674, 2019-06-20T12:59:03, 1561035543000, 1h
null, Tezos, XTZ, ETH, coinmarketcap, 0.004338915117774506, 26419.996426129823, 0.0292, -6.521, -11.8868, 2019-06-20T12:59:04, 1561035544000, 1h
