id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 11044.2478206, 18913878484.8018, 0.121604, 3.06896, 18.934, 2019-06-25T03:59:27, 1561435167000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 310.046324707, 7874635173.41372, -0.291713, 1.74438, 13.865, 2019-06-25T03:59:21, 1561435161000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.469598090672, 1502406855.97332, -0.233105, 2.26763, 5.35575, 2019-06-25T03:59:02, 1561435142000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 136.579729303, 3925546462.29945, 0.547639, 0.612609, 2.21701, 2019-06-25T03:59:04, 1561435144000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 474.929584839, 1777303524.99522, -0.392462, 0.806802, 10.5928, 2019-06-25T03:59:04, 1561435144000, 1h
null, EOS, EOS, USD, coinmarketcap, 7.24550268898, 2172491805.14707, -0.0515189, 1.10038, 2.1419, 2019-06-25T03:59:05, 1561435145000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 37.3847357036, 323440021.780967, 0.0274417, 1.52665, 9.17394, 2019-06-25T03:59:04, 1561435144000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 234.888801855, 401371765.57588, -0.256048, 0.828273, 5.74402, 2019-06-25T03:59:10, 1561435150000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.0387265232366, 918062146.776117, 0.833844, 4.71551, 14.7631, 2019-06-25T03:59:05, 1561435145000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.0972907188147, 131017608.923696, -0.248395, 2.07439, 4.97029, 2019-06-25T03:59:04, 1561435144000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.128506382386, 379765864.802012, 0.453081, 1.88397, -1.26102, 2019-06-25T03:59:02, 1561435142000, 1h
null, Monero, XMR, USD, coinmarketcap, 117.18451407, 129845567.325315, -0.199195, 3.29153, 18.8049, 2019-06-25T03:59:01, 1561435141000, 1h
null, Dash, DASH, USD, coinmarketcap, 176.055438499, 329333702.476552, -0.0461435, 1.6906, 10.1806, 2019-06-25T03:59:01, 1561435141000, 1h
null, IOTA, MIOTA, USD, coinmarketcap, 0.45618253693, 20038612.4057622, -0.215288, 2.61913, 4.25672, 2019-06-25T03:59:02, 1561435142000, 1h
null, Cosmos, ATOM, USD, coinmarketcap, 6.65093843907, 57291499.2488641, 0.118257, -1.154, -3.99479, 2019-06-25T03:59:09, 1561435149000, 1h
null, NEO, NEO, USD, coinmarketcap, 17.8733731318, 681369701.119436, -0.179422, 7.67286, 27.4416, 2019-06-25T03:59:02, 1561435142000, 1h
null, Ethereum Classic, ETC, USD, coinmarketcap, 9.24025130428, 753896044.214926, -0.332319, 1.74536, 5.57131, 2019-06-25T03:59:03, 1561435143000, 1h
null, NEM, XEM, USD, coinmarketcap, 0.0917361991187, 27586710.0741761, 0.259869, 1.95016, 2.31595, 2019-06-25T03:59:02, 1561435142000, 1h
null, Ontology, ONT, USD, coinmarketcap, 1.62005670378, 153734784.262535, 0.495876, 6.8179, 6.82779, 2019-06-25T03:59:07, 1561435147000, 1h
null, Tezos, XTZ, USD, coinmarketcap, 1.16585164996, 5614781.98409666, 0.212281, -1.48489, -11.2485, 2019-06-25T03:59:03, 1561435143000, 1h
null, Zcash, ZEC, USD, coinmarketcap, 108.694635312, 339295330.673756, -0.420621, 0.637207, 6.09217, 2019-06-25T03:59:03, 1561435143000, 1h
null, Bitcoin Gold, BTG, USD, coinmarketcap, 30.3667567297, 18141875.3976338, -0.0921519, -0.411407, 9.41068, 2019-06-25T03:59:04, 1561435144000, 1h
null, Qtum, QTUM, USD, coinmarketcap, 4.27586389287, 267682813.762206, 2.16874, 12.66, 18.7164, 2019-06-25T03:59:03, 1561435143000, 1h
null, Dogecoin, DOGE, USD, coinmarketcap, 0.00338055450707, 42048359.6947445, 0.245162, 2.9989, 6.1104, 2019-06-25T03:59:02, 1561435142000, 1h
null, VeChain, VET, USD, coinmarketcap, 0.00714851724265, 84317851.9136589, 1.1764, 0.0040668, -2.58334, 2019-06-25T03:59:08, 1561435148000, 1h
null, Decred, DCR, USD, coinmarketcap, 32.1909764567, 19935553.434773, -1.32069, -4.69292, 10.0263, 2019-06-25T03:59:01, 1561435141000, 1h
null, Ravencoin, RVN, USD, coinmarketcap, 0.0654412347297, 36069099.9383003, 1.56826, 5.1035, 6.41037, 2019-06-25T03:59:06, 1561435146000, 1h
null, Bitcoin Diamond, BCD, USD, coinmarketcap, 1.32540101115, 7622694.71447056, 1.13372, 1.39853, -2.73292, 2019-06-25T03:59:04, 1561435144000, 1h
null, Lisk, LSK, USD, coinmarketcap, 2.09791579859, 10411314.6788978, -0.160842, 0.752723, 0.397175, 2019-06-25T03:59:02, 1561435142000, 1h
null, Waves, WAVES, USD, coinmarketcap, 2.36168005908, 15297731.8544383, -0.00561082, 1.30631, -2.85129, 2019-06-25T03:59:03, 1561435143000, 1h
null, BitShares, BTS, USD, coinmarketcap, 0.0713055384961, 15925129.51149, -0.692326, 10.7101, 11.789, 2019-06-25T03:59:01, 1561435141000, 1h
null, Nano, NANO, USD, coinmarketcap, 1.45844738735, 4463631.36051654, -0.0137274, -0.544946, -6.46794, 2019-06-25T03:59:02, 1561435142000, 1h
null, Bytom, BTM, USD, coinmarketcap, 0.187646619211, 32117786.4510001, -0.285385, -1.2302, -6.52417, 2019-06-25T03:59:03, 1561435143000, 1h
null, HyperCash, HC, USD, coinmarketcap, 4.23053912914, 13497184.9997335, 1.14363, 15.7789, 44.5359, 2019-06-25T03:59:03, 1561435143000, 1h
null, Bytecoin, BCN, USD, coinmarketcap, 0.00100059719489, 50427.8807775789, -2.12953, -0.653029, -3.15399, 2019-06-25T03:59, 1561435140000, 1h
null, MonaCoin, MONA, USD, coinmarketcap, 2.72055212592, 11116471.7237605, 0.745468, 2.87294, 17.1441, 2019-06-25T03:59, 1561435140000, 1h
null, DigiByte, DGB, USD, coinmarketcap, 0.0139987211933, 1368963.50993567, 0.575882, 1.27635, 10.1502, 2019-06-25T03:59, 1561435140000, 1h
null, ICON, ICX, USD, coinmarketcap, 0.344036494622, 8930681.63405192, -0.56303, 2.58252, -5.4404, 2019-06-25T03:59:04, 1561435144000, 1h
null, Aeternity, AE, USD, coinmarketcap, 0.596255464093, 84967252.318463, -1.33525, 16.8231, 11.7166, 2019-06-25T03:59:03, 1561435143000, 1h
null, Komodo, KMD, USD, coinmarketcap, 1.38176907732, 3766293.8855931, -1.80229, 3.0101, -14.262, 2019-06-25T03:59:02, 1561435142000, 1h
null, Verge, XVG, USD, coinmarketcap, 0.00925942135285, 3133762.39728486, -0.297617, -0.705073, 0.0552341, 2019-06-25T03:59:01, 1561435141000, 1h
null, GXChain, GXC, USD, coinmarketcap, 2.37521250705, 50084223.6470153, -1.44592, -10.9817, 2.44635, 2019-06-25T03:59:02, 1561435142000, 1h
null, Metaverse ETP, ETP, USD, coinmarketcap, 1.90610310655, 27933957.8993087, 0.286763, 4.39523, 0.169783, 2019-06-25T03:59:02, 1561435142000, 1h
null, Steem, STEEM, USD, coinmarketcap, 0.417801897817, 1072376.31167818, 0.519985, 2.97962, 0.45943, 2019-06-25T03:59:02, 1561435142000, 1h
null, Siacoin, SC, USD, coinmarketcap, 0.00320388901249, 2921595.19992849, -0.0268704, 1.53706, 0.256028, 2019-06-25T03:59:01, 1561435141000, 1h
null, ABBC Coin, ABBC, USD, coinmarketcap, 0.255711840005, 67384338.9531835, 0.920109, 14.3581, 40.1226, 2019-06-25T03:59:09, 1561435149000, 1h
null, Ardor, ARDR, USD, coinmarketcap, 0.118207000937, 807866.010154358, -0.301002, 0.883496, 12.0419, 2019-06-25T03:59:02, 1561435142000, 1h
null, THETA, THETA, USD, coinmarketcap, 0.134408104301, 3673722.37511987, -0.0882486, 2.32539, 2.97167, 2019-06-25T03:59:05, 1561435145000, 1h
null, Energi, NRG, USD, coinmarketcap, 6.66038803586, 1444425.77445131, -0.711572, 17.2715, 56.8465, 2019-06-25T03:59:08, 1561435148000, 1h
null, Zcoin, XZC, USD, coinmarketcap, 12.6580049888, 2943750.48639308, -1.10151, -1.37481, 6.39737, 2019-06-25T03:59:02, 1561435142000, 1h
null, Stratis, STRAT, USD, coinmarketcap, 0.974432817529, 1949140.16075928, 0.164034, 2.37076, -1.26083, 2019-06-25T03:59:02, 1561435142000, 1h
null, Nebulas, NAS, USD, coinmarketcap, 1.74247543488, 23677108.5162914, -2.22172, 1.39306, 13.1276, 2019-06-25T03:59:03, 1561435143000, 1h
null, Grin, GRIN, USD, coinmarketcap, 5.95153253767, 50016228.7347253, 1.7365, -3.46814, -2.39213, 2019-06-25T03:59:10, 1561435150000, 1h
null, TrueChain, TRUE, USD, coinmarketcap, 0.96713872312, 57281095.3947329, -0.0987728, -2.17204, -7.85551, 2019-06-25T03:59:06, 1561435146000, 1h
null, Project Pai, PAI, USD, coinmarketcap, 0.0523546198376, 3032105.00159504, -0.156362, 6.21424, 1.30987, 2019-06-25T03:59:07, 1561435147000, 1h
null, Horizen, ZEN, USD, coinmarketcap, 10.1866706109, 530056.487516638, -0.400277, -1.28966, -3.01166, 2019-06-25T03:59:02, 1561435142000, 1h
null, Cryptonex, CNX, USD, coinmarketcap, 1.22797008046, 7192371.02711869, 0.737928, 3.3965, -17.6058, 2019-06-25T03:59:03, 1561435143000, 1h
null, NULS, NULS, USD, coinmarketcap, 0.948346218364, 9502980.70234889, 0.0527035, 1.65804, -6.19622, 2019-06-25T03:59:04, 1561435144000, 1h
null, ReddCoin, RDD, USD, coinmarketcap, 0.00231821245167, 226663.784670019, -1.95787, 0.906399, 7.81135, 2019-06-25T03:59, 1561435140000, 1h
null, Elastos, ELA, USD, coinmarketcap, 4.02021477313, 6037123.51447013, -1.30037, 0.254502, 3.91086, 2019-06-25T03:59:05, 1561435145000, 1h
null, Ark, ARK, USD, coinmarketcap, 0.531386714855, 611873.989852234, 0.469994, 4.4113, -6.28753, 2019-06-25T03:59:02, 1561435142000, 1h
null, Factom, FCT, USD, coinmarketcap, 5.97724554489, 213076.635403263, -0.646161, 5.04899, 1.10681, 2019-06-25T03:59:01, 1561435141000, 1h
null, Electroneum, ETN, USD, coinmarketcap, 0.00582715650988, 180895.201275581, 0.582617, -1.71583, -6.83443, 2019-06-25T03:59:04, 1561435144000, 1h
null, Beam, BEAM, USD, coinmarketcap, 2.28733592452, 70619051.5262756, 2.46126, 5.42086, 73.317, 2019-06-25T03:59:09, 1561435149000, 1h
null, WaykiChain, WICC, USD, coinmarketcap, 0.283721427142, 2239252.06353469, 0.888453, 1.2947, -2.44237, 2019-06-25T03:59:05, 1561435145000, 1h
null, Thunder Token, TT, USD, coinmarketcap, 0.0175229556883, 15120852.6447785, 0.0405987, 0.345418, -11.7768, 2019-06-25T03:59:09, 1561435149000, 1h
null, Aion, AION, USD, coinmarketcap, 0.144238058467, 2131086.65992453, -1.66121, 1.31096, -13.2234, 2019-06-25T03:59:04, 1561435144000, 1h
null, PIVX, PIVX, USD, coinmarketcap, 0.755277946631, 603957.096949489, 0.452149, 4.12816, 2.02972, 2019-06-25T03:59:01, 1561435141000, 1h
null, Theta Fuel, TFUEL, USD, coinmarketcap, 0.0111147354875, 3506446.73729657, -0.813918, 1.23291, -8.30964, 2019-06-25T03:59:09, 1561435149000, 1h
null, Newton, NEW, USD, coinmarketcap, 0.00349260701822, 11706463.6577661, -0.488171, -1.03544, -2.64845, 2019-06-25T03:59:09, 1561435149000, 1h
null, Ether Zero, ETZ, USD, coinmarketcap, 0.255062553875, 2266624.05972352, -0.464609, -3.87071, -9.32207, 2019-06-25T03:59:08, 1561435148000, 1h
null, Metadium, META, USD, coinmarketcap, 0.0323989032133, 2206678.92417642, 0.879472, -0.527105, -6.18385, 2019-06-25T03:59:08, 1561435148000, 1h
null, Wanchain, WAN, USD, coinmarketcap, 0.377380817755, 1146739.73369803, -0.256404, -0.203734, -10.63, 2019-06-25T03:59:06, 1561435146000, 1h
null, Nxt, NXT, USD, coinmarketcap, 0.038553178237, 1124045.53180713, 0.508872, 1.99748, 7.14871, 2019-06-25T03:59, 1561435140000, 1h
null, MOAC, MOAC, USD, coinmarketcap, 0.60882021906, 50055.0504582051, -3.70499, -4.8327, -11.2758, 2019-06-25T03:59:05, 1561435145000, 1h
null, IPChain, IPC, USD, coinmarketcap, 0.486074834705, 3646935.87444556, -0.680826, -5.90312, -20.6524, 2019-06-25T03:59:05, 1561435145000, 1h
null, CyberMiles, CMT, USD, coinmarketcap, 0.0455544632793, 8619778.30406464, -0.185157, -0.109639, -4.46492, 2019-06-25T03:59:04, 1561435144000, 1h
null, CasinoCoin, CSC, USD, coinmarketcap, 0.000849077126054, 39261.9882734172, -0.30104, 6.5947, 9.65501, 2019-06-25T03:59, 1561435140000, 1h
null, TomoChain, TOMO, USD, coinmarketcap, 0.532722917435, 2642142.85211917, -0.60046, -10.3012, -7.44648, 2019-06-25T03:59:06, 1561435146000, 1h
null, Vertcoin, VTC, USD, coinmarketcap, 0.619398254793, 498501.400733778, -0.018887, 3.15902, 13.7115, 2019-06-25T03:59, 1561435140000, 1h
