id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 2429747.140595875, 0, 0, 0, 2019-06-26T08:59:28, 1561539568000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.026423088960378288, 917532.6585617977, -1.2868, -4.8534, -9.6512, 2019-06-26T08:59:21, 1561539561000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.00003780761478203878, 199741.6633573666, -1.0774, -8.9411, -19.776, 2019-06-26T08:59:04, 1561539544000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.038811380076127416, 206339.51715564265, -1.308, -9.0637, -14.4391, 2019-06-26T08:59:05, 1561539545000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.010750271331521679, 379384.2426371224, -1.127, -10.6477, -27.5452, 2019-06-26T08:59:04, 1561539544000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.0005742699052402526, 251634.68693139992, -1.7023, -10.7988, -23.3791, 2019-06-26T08:59:04, 1561539544000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0028985225521840807, 25851.158796921725, -1.059, -10.609, -24.2472, 2019-06-26T08:59:04, 1561539544000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.019009341507729705, 48173.51570218601, -1.1155, -10.1346, -22.2936, 2019-06-26T08:59:09, 1561539549000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.0000030742445509924043, 87764.63666661124, -1.776, -11.6137, -15.4261, 2019-06-26T08:59:04, 1561539544000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000007868062985091624, 21633.686269709648, -1.2349, -8.2357, -20.313, 2019-06-26T08:59:03, 1561539543000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.000010071920499842745, 45749.57453746818, -0.0418, -11.2121, -26.4302, 2019-06-26T08:59:02, 1561539542000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.008662142252586004, 17079.628528068908, 0.6411, -15.6307, -19.7156, 2019-06-26T08:59:02, 1561539542000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.014339772712894385, 34136.99550474652, -1.1042, -8.7439, -17.688, 2019-06-26T08:59:02, 1561539542000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.001571739176661957, 86693.56487726008, -2.051, -0.0414, 3.9784, 2019-06-26T08:59:03, 1561539543000, 1h
