id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 10751.8844157, 26691880670.9799, 0.194237, 0.525493, 19.063, 2019-06-23T06:59:27, 1561273167000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 314.111746383, 9738893406.53106, 0.572407, 2.93203, 15.4993, 2019-06-23T06:59:21, 1561273161000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.482377223987, 3493688311.13001, 0.828194, 6.40333, 15.824, 2019-06-23T06:59:03, 1561273143000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 141.719556524, 5017430693.37261, 0.108277, 0.118164, 3.30628, 2019-06-23T06:59:04, 1561273144000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 490.64896809, 3610207188.4794, 0.209258, 9.85995, 14.5986, 2019-06-23T06:59:06, 1561273146000, 1h
null, EOS, EOS, USD, coinmarketcap, 7.53283641433, 3210795780.48011, 0.38908, 3.20009, 7.70163, 2019-06-23T06:59:06, 1561273146000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 37.6863079234, 376240731.547585, -0.285226, -1.88614, 14.5264, 2019-06-23T06:59:04, 1561273144000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 241.366537839, 753047097.215967, 0.383673, 7.15518, 13.4218, 2019-06-23T06:59:09, 1561273149000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.130753713077, 498214994.459135, 0.5357, 3.26959, 2.27649, 2019-06-23T06:59:03, 1561273143000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.096160647555, 237645267.274627, 0.673431, 5.44959, 4.24234, 2019-06-23T06:59:04, 1561273144000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.0371350208383, 923680790.786831, 0.315336, 7.44511, 12.459, 2019-06-23T06:59:05, 1561273145000, 1h
null, Monero, XMR, USD, coinmarketcap, 116.623373602, 132839179.489788, 0.712652, 2.97502, 22.2923, 2019-06-23T06:59:02, 1561273142000, 1h
null, Dash, DASH, USD, coinmarketcap, 177.223870487, 436708035.738364, 0.550969, 2.29932, 12.6253, 2019-06-23T06:59:02, 1561273142000, 1h
null, Cosmos, ATOM, USD, coinmarketcap, 6.86502999747, 73602164.8235207, 1.93231, 2.94037, 9.9365, 2019-06-23T06:59:11, 1561273151000, 1h
null, NEO, NEO, USD, coinmarketcap, 18.3214907008, 1122030098.97639, 0.266162, 25.6141, 30.1279, 2019-06-23T06:59:03, 1561273143000, 1h
null, IOTA, MIOTA, USD, coinmarketcap, 0.462913277664, 36766970.2951698, 0.303536, 5.79806, 3.94081, 2019-06-23T06:59:03, 1561273143000, 1h
null, Ethereum Classic, ETC, USD, coinmarketcap, 9.42895944409, 1047247203.67485, 1.72035, 5.3087, 8.59744, 2019-06-23T06:59:03, 1561273143000, 1h
null, NEM, XEM, USD, coinmarketcap, 0.0933622898488, 38283893.811835, 0.652022, 4.10586, 7.846, 2019-06-23T06:59:02, 1561273142000, 1h
null, Tezos, XTZ, USD, coinmarketcap, 1.239652391, 10023021.2252589, 0.958077, 5.3002, -1.83227, 2019-06-23T06:59:04, 1561273144000, 1h
null, Ontology, ONT, USD, coinmarketcap, 1.63312370433, 261543566.54748, 0.168592, 10.9331, 12.5693, 2019-06-23T06:59:06, 1561273146000, 1h
null, Zcash, ZEC, USD, coinmarketcap, 113.553761555, 626592832.401891, 0.415716, 1.54364, 22.1737, 2019-06-23T06:59:03, 1561273143000, 1h
null, Bitcoin Gold, BTG, USD, coinmarketcap, 30.5613580495, 30781025.5804145, -0.0932209, 3.99169, 12.4071, 2019-06-23T06:59:04, 1561273144000, 1h
null, VeChain, VET, USD, coinmarketcap, 0.00724523259062, 57401410.3371051, 1.20581, 8.21191, -0.535523, 2019-06-23T06:59:08, 1561273148000, 1h
null, Dogecoin, DOGE, USD, coinmarketcap, 0.00327886792114, 50803246.6962336, 0.185741, -0.817282, 2.5509, 2019-06-23T06:59:03, 1561273143000, 1h
